"Omg-2450","Stx1a-2645"
"Cct8-2079","Rgs19-112203487"
"Gdf1-75081205","Hook3-1197"
"Prlr-1268","Slc8a1-73512193"
"Arf1-199390","Rasal2-71670719"
"Rgs19-112203487","Rtn2-909"
"Grp-1363","Syt4-2651"
"Prrg2-276063","Thbs4-77874596"
"Gpr146-2059","Zbtb20-1143"
"Fez2-74272477","Snd1-77869128"
"Lypd6b-73635774","Thpo-2671"
"Grp-1363","Tmem218-1960"
"Kcnh3-74641310","Pparg-2495"
"Dbh-79907893","Fhdc1-73925717"
"Cdkn2d-1603","Xbp1-1119"
"Btg2-72283802","Pax6-764"
"Nudc-2442","Slc2a3-1840"
"F3-77280341","Serpina3n-75043155"
"Cux1-79556618","Pak6-75084501"
"1700086L19Rik-1643","Itga3-598"
"Chst2-266","St3gal3-2567"
"Dbp-1193","Htr1b-584"
"Heg1-74958616","Runx2-1278"
"Agpat3-85","Gpr89-67881554"
"Cds2-250","Tecr-544902"
"Alg5-75774105","Cds2-250"
"Rcsd1-75934525","Syt2-1023"
"Dad1-74819345","Ephb3-1492"
"Axin2-74819487","Thpo-2671"
"Ccnl2-211","Eif2ak3-2181"
"Lmo4-2385","Trim25-1545"
"Phyhip-544328","Vim-79907904"
"Irx2-1752","Per1-791"
"Hcrtr2-80517329","Map3k7-2393"
"Ano2-71587834","Chrnb2-2097"
"Ddc-334","Wnt8a-1115"
"Dcn-329","Polr1e-75774108"
"Fam89b-1898","Slc7a6-293662"
"Ergic1-1952","Prrg2-276063"
"Dpysl5-73635770","Kctd17-72340180"
"Ddx3x-337","Scarb1-2551"
"Chrnb2-2097","Nxph3-356852"
"Phyhip-544328","Plk2-74743272"
"1500002O20Rik-1954","Col18a1-287"
"Prkcb-72129247","Smpd4-75651226"
"Arhgef2-2043","Grb7-112204995"
"Mlxipl-1932","Rabep2-1970"
"Gm10413-73929885","Mlxipl-1932"
"Agtr1b-74724627","Trim9-1074"
"Med24-2675","Rgs4-1569"
"Iffo2-322962","Mmp15-1383"
"Bcl6-75651139","Tmeff1-1299"
"Gss-74273307","ND3-675"
"Nid1-75084474","Pvalb-868"
"Tmeff1-1299","Wif1-1111"
"Chga-2093","Kcnj15-2339"
"Pgrmc1-2478","Stmn2-74819695"
"Galr2-80517343","Htr2b-79556708"
"Ndufv3-12","Plcz1-74988296"
"Copa-1689","Rassf4-74988636"
"Axin2-74819487","Eif4a3-2143"
"A4galt-71717165","Tmem215-73636150"
"Scn3b-73512195","Ybx2-75080250"
"Pmp22-825","Pwp2-112645814"
"Guk1-2279","Slc7a6-293662"
"Htr2b-79556708","Magel2-79591571"
"Eif2ak3-2181","Sfrp1-2563"
"Gpr171-1713","Magi1-73519705"
"Apba2-2031","Gm10413-73929885"
"Cd33-75043153","Thbs4-77874596"
"Klc2-618","Polr1e-75774108"
"Grp-1363","Syngr3-1860"
"Itm2c-77414652","Szt2-1446"
"Syt13-1864","Yeats2-74988249"
"Mdk-1227","Oxtr-75081001"
"Ankrd54-1677","Htr1b-584"
"Htr1b-584","S100b-79591593"
"Ephb3-1492","Gss-74273307"
"Arhgap12-71836846","Sh2b3-1633"
"Fez2-74272477","Kdr-2347"
"Rasal2-71670719","Slco4a1-2625"
"Acta1-60","Ucn3-1091"
"Dcaf4-2717","E2f1-2171"
"Il11ra1-2315","Zmiz1-74988259"
"Aff4-2363","Neurod2-75651126"
"Phyhip-544328","Pwp2-112645814"
"E4f1-1199","Hes1-556"
"Dbr1-2141","Nrip1-739"
"Yjefn3-74750064","Zic1-72103843"
"Efna5-383","Prlr-1268"
"Rgs16-1567","Tbc1d1-71670698"
"Asb6-1599","Fam105a-74819326"
"Reep5-2159","Synpr-1862"
"Anln-33","Btd-2069"
"Arhgap12-71836846","Scarb1-2551"
"Ano2-71587834","Brd8-1673"
"Hbb-b1-67936011","Slc25a27-74988334"
"Prlr-1268","Tmeff1-1299"
"Rara-1528","Sox14-73636036"
"Eps8-1705","Tmem33-356284"
"Garnl3-73994668","Mmaa-1772"
"Alkbh6-77414882","Fbln7-73929875"
"9430020K01Rik-75988537","Satb1-927"
"Gm261-73636032","Greb1-71924412"
"En2-74988733","Gpr139-79490116"
"Matn4-77371795","Tcf7l1-1424"
"Cnih2-2109","Smpd4-75651226"
"C2cd2-1986","Myo10-74743255"
"Kdm4b-2331","Pcdhga12-770"
"Lhx6-635","Mlxipl-1932"
"Cd33-75043153","Syt3-1026"
"Eif5a-2183","Runx2-1278"
"D930028M14Rik-73512190","Hs3st1-2305"
"Rbm19-71016585","Synpo-75080644"
"Clock-273","Fgf12-424"
"Aldh2-74819240","Gjb5-2259"
"Mapre2-659","Yeats2-74988249"
"Pknox1-1401","Tgfb1-80343319"
"Scube3-74988656","Slc12a8-1836"
"Kif5b-2353","Synpr-1862"
"Rbm19-71016585","Tm7sf3-77874614"
"E2f4-1195","Ttc3-1079"
"Mdk-1227","Nid1-75084474"
"Nfia-1239","Serpinb1b-544327"
"Sdccag3-2075","Wnt3-2731"
"Eif4a3-2143","Pitrm1-74273117"
"Agpat3-85","Gss-74273307"
"Cryaa-2127","Smpd4-75651226"
"Epha4-2187","Sema3f-72007563"
"Cdkn2c-1683","Ndufv3-12"
"Itgb5-71920512","Stmn4-1006"
"Lims2-75145999","Tmem86b-72472763"
"Ergic1-1952","Nrtn-741"
"5330421K23Rik*-75043138","Mtif2-677"
"Ccnl2-211","Tmbim6-2663"
"Agtr1b-74724627","Scube3-74988656"
"C2cd2-1986","Cd24a-79591541"
"Pot1b-73925715","Thpo-2671"
"Kcnmb4-72283793","Raf1-1816"
"Cbfa2t3-75038485","Igf2-2313"
"Cry2-302","Rbbp6-170"
"Arf3-655120","Dpysl4-1345"
"E4f1-1199","Hectd2-2002"
"Mtf1-2409","Syt1-1014"
"Gphn-1211","Rela-2523"
"Gpc4-1617","Rara-1528"
"Slc12a8-1836","Tmbim6-2663"
"Ngef-72119591","Prdx4-74819229"
"D830029A09Rik-72472778","Htr2b-79556708"
"Fgf12-424","Lrsam1-74583161"
"Eif2ak3-2181","Scube3-74988656"
"Arhgap12-71836846","Inpp1-67870434"
"1700086L19Rik-1643","Cpe-1691"
"Cdkn2d-1603","Mapre2-659"
"Galns-70612726","Per2-793"
"Cx3cl1-2135","Kcnj15-2339"
"Kcnj14-67853369","Polr1e-75774108"
"Srgap3-316","Tcf19-2659"
"Dner-1699","Ntf3-2440"
"Ptprm-864","Sema3c-939"
"Bcl6-75651139","Dbp-1193"
"Gm261-73636032","Nrgn-69153759"
"Crhr1-297","Nr5a1-734"
