"Bcl2l12-71064289","Plxnd1-77340482"
"Etv1-72119595","Nrm-75042265"
"Ppp1r1b-73732146","Rasl10a-73636038"
"Dach2-74819331","Tmem29-75080656"
"Sox10-79556652","Ssrp1-74819346"
"Galp-79556611","Ngfrap1-1786"
"1700086L19Rik-1643","Hook3-1197"
"Cd33-75043153","Slc12a3-2573"
"Hook3-1197","Pip4k2c-799"
"Klhl1-73520995","Lhx8-2379"
"Chrnb3-70436747","Ptprk-74743303"
"Ifnar1-588","Prdx1-836"
"Aff4-2363","Clic6-1984"
"Ets1-2199","Phox2b-2480"
"Galp-79556611","Ppapdc1a-74881927"
"Pth1r-112202195","Rims3-75042242"
"Synpr-1862","Tnfaip8-75038412"
"Insrr-71670480","Wdr18-1551"
"Aldh1a1-72103809","Tcf19-2659"
"Adcy2-73","Mtap-79568030"
"Camk2g-189","Tmem91-75651161"
"Trpc4-1305","Txnip-1084"
"Cct2-356082","Elf2-1349"
"Clip4-75774680","Gnrh1-75080152"
"Actr10-64","Krt73-74750042"
"Ntf5-1393","Vstm2b-77869820"
"Junb-2335","Slc4a10-1922"
"Creb3l1-112197858","Rfxank-67881545"
"Cda-74425539","Zfp61-75749409"
"Cep72-74988742","LOC434300-75988611"
"Efemp2-2177","Gas5-483"
"Ccnd2-205","Sorcs3-75988635"
"Fbxl5-422","Rad23b-881"
"BC031353-77371767","Tubb4a-1081"
"Kcna1-73994714","Pgf-77869838"
"Cyr61-80343407","Rasa4-74425552"
"Nr2f2-112646890","Smpd1-77413684"
"Ap2b1-96","Pls3-355886"
"5330421K23Rik*-75043138","Sparc-73512200"
"Copg2-74819259","Hebp1-74988456"
"Bcas1-77371831","Tmeff1-77395095"
"Clic6-1984","Dbi-71836880"
"Cyr61-80343407","Pcdhb2-74743271"
"Ly6g6e-77280582","Vti1a-74641238"
"Cdh13-77869863","Ntf5-1393"
"Mme-77371755","Tspyl4-67936212"
"Adipor1-61210","Rab1-878"
"Cbs-1335","Ndel1-1514"
"Mmaa-1772","Nceh1-74881744"
"Pcp2-77413702","Trpc4-1305"
"Syt6-1032","Trpc4-1305"
"Hook3-1197","Magix-74581446"
"Lrrtm3-73931637","Tcf7l1-1424"
"Bdnf-79587720","Slc6a15-73929609"
