"Cap1-323396","Prss39-74749944"
"Kcnj14-67853369","Odz3-79908833"
"Fam84b-75081395","TC1541413-74641209"
"Rpl23-74819237","Taldo1-74988562"
"Mgat5-73931638","Plxna3-1403"
"Odz3-79908833","Pou4f1-74641304"
"Col18a1-287","Syt13-1020"
"Camk1d-73992927","Ptgds-851"
"Drd3-75038431","Letmd1-1635"
"Col25a1-71924301","Eif2d-323588"
"Map2k5-323585","Tnfaip8-75038412"
"Baz1a-73635977","Itga11-74882626"
"P2rx7-75551477","Panx2-74581443"
"Kcng1-77340480","Susd2-75146000"
"Epha10-73930823","Vwa5a-71836830"
"B3gnt2-75988600","Rpl8-74749928"
"Ltk-75988666","P2rx7-75551477"
"Calml3-79490064","Vdr-112204135"
"Aldh5a1-77925007","Ephb3-1492"
"Lass4-176962","Ndufb8-74743256"
"Ola1-293038","Uggt1-74957909"
"Clk2-356286","Tmem206-75774106"
"Prrx2-1522","Vdr-112204135"
"Bcl11a-71836837","Mtfp1-75774673"
"Grik4-75551478","Rap2b-75934918"
"LOC434368-74819253","Rcsd1-75934525"
"P2ry14-76135748","Syap1-1858"
"Slc4a10-1922","Spock1-72340122"
"1810031K17Rik-227165","Krt73-74750042"
"Clk2-356286","Ttll6-74363338"
"Arhgdia-75774677","Ina-71836833"
"LOC433088-71924504","Ltk-75988666"
"Atp11c-74047410","Pip5k1b-74425520"
"Lrrc3-112649047","Slc31a2-75773700"
"Dbnl-74819497","Il11ra1-2315"
"Ltk-75988666","Plxna2-77280424"
"Aldoc-79556636","Arf1-77414125"
"Npepps-844","Slc10a3-74047876"
"Dkk4-112647536","Dok4-1486"
"Axin1-2053","Hcrtr1-77868713"
"Dbnl-74819497","Gnat1-2265"
"Fbxw7-72128750","Nin-76115736"
"Decr1-74425550","Gm5083-73930833"
"Aars-74641317","Camk1d-73992927"
"Aars-74641317","Eps8l2-74658244"
"Cdk5r1-247","Clk2-356286"
"Folr2-1717","Hnrnph2-112649906"
"Ddx26b-75988610","Fkbp10-2220"
"Mxra7-77332080","Pomc-2493"
"Gm4887-73931418","Syne2-74640880"
"Bend6-77280313","Zscan22-247974"
"B3galt2-71064081","Igsf21-74357578"
"Ddit4l-71836878","Grb7-112204995"
"Chn1-73718053","Csrp3-77332671"
"Cyp4v3-74882196","Npnt-71670677"
"2310042E22Rik-74357582","Cyhr1-77414565"
"D8Ertd82e-73931630","Npr1-71670678"
"Ldb2-74641311","Vdr-112204135"
"F13a1-74882565","Rgs19-112203487"
"Manea-74882656","Nfix-77413698"
"Mef2c-79567505","Pfkl-795"
"Fxyd5-74819694","Slc11a2-2571"
"Akr1b3-70813922","Supt5h-2647"
"Htr5b-71247644","Palm3-74958547"
"Calml3-79490064","Hmgcr-75079789"
"Mxra7-77332080","Zfp189-79490078"
"Gpx2-74819652","Gsta4-77278951"
"Arf1-199390","Pak6-75084501"
"Slc26a10-74273116","Yme1l1-356849"
"Baz1a-73635977","Ngef-72129292"
"Hs3st2-74988765","Ptn-77866882"
"Cdk5r1-247","Dpy19l3-71836886"
"1810031K17Rik-227165","Pde1a-782"
"Parvg-70813925","Pde9a-785"
"Syt13-1020","Tdg-71020392"
"Grin3b-77869800","Htr2b-79556708"
"B230362M20Rik-77340460","LOC433740-77340490"
"Nr5a1-734","Six1-1834"
"Rapgef6-75041528","Rara-1528"
"Jdp2-73930842","Mx2-1778"
"Col4a6-72103841","Dad1-74819345"
