"C130096N06Rik-73635978","Pomp-75774685"
"Crispld1-72077456","Ephb1-72077478"
"Kctd16-73636009","LOC545854-73732153"
"Galm-2249","Suv39h2-1538"
"Khdrbs3-73769321","Krt73-74750042"
"Chrm3-2095","Cx3cl1-2135"
"C130096N06Rik-73635978","Ddit4l-71836878"
"Cadm2-73635999","Nkd1-74586666"
"Clip4-75774680","Thbs2-73929578"
"Calcr-75080999","Ptcd1-74882764"
"Matn4-77371795","Tacr1-79591721"
"Fam124a-72472790","Shb-71670695"
"Nol4-76115737","Rasgrp1-76115742"
"1500032L24Rik-75651168","Dyrk1a-79907941"
"Ntf5-1393","Tnfaip8-75038412"
"Pttg1-293036","Vps35-77869144"
"Ano6-77887878","Cdh9-72472764"
"Fam124a-72472790","Gpr146-77371845"
"Agpat3-85","Trpc4-1305"
"Oprk1-80517217","Sox10-79556652"
"Strada-74819330","Tnfaip8-75038412"
"BC005537-321201","S100a6-77278967"
"Gpr146-77371845","Rgs2-73635771"
"Ddn-73636031","F11r-75773698"
"Clip4-75774680","Zfp932-75774665"
"Alg14-75081004","Chat-252"
"4931408A02Rik-112645384","Samd14-73930839"
"Pvr-119504","Slc25a5-2591"
"Apbb2-73512196","L3mbtl4-72472779"
"Scube3-74988656","Slx1b-74819688"
"Dok2-2155","Homer3-356087"
"Nova1-73931640","Rreb1-72340134"
"Eef1b2-75934526","Ero1lb-72340145"
"Lyst-73994715","Ppp2r3d-77414925"
"Serinc1-77413696","Slc35f2-74819683"
"Efnb3-79556601","Shb-71670695"
"Dnajc6-71358627","Gria4-71358628"
"Cdh9-72472764","Kpnb1-77340472"
"Mfsd6-75651167","Palmd-74581442"
"Klf7-112202624","Palmd-74581442"
"B3gnt2-75988600","Rpl8-74749928"
"Pdzd2-74988286","Slc12a2-74882926"
"Ptgs2-71016664","Trem2-67870433"
"Calcr-75080999","Slc2a6-71670696"
"LOC434368-74819253","Uaca-74800883"
"Htr5b-71247644","Stat5a-77413690"
"Resp18-71015810","Ubr3-74988721"
"Etfa-74581380","Vangl1-71670709"
"Cxcl12-79907936","Rcsd1-75934525"
"Gnrh1-75080152","Pafah1b1-2460"
"Slc35f2-74819683","Ttc9b-71249081"
"Ndrg2-79568051","Terf2ip-112196711"
"Cdh13-77869863","Pttg1-293036"
"Cntfr-75651138","Pdgfd-1910"
"Ndufa10-74658173","Pafah1b1-2460"
"Asb8-276276","Gpr35-112649690"
"Cdk14-71670684","Zfp790-356855"
"Gpr123-71924056","Tmem29-75080656"
"Gpr83-72338696","Lyst-73994715"
"Hpcal4-73520985","Pomp-75774685"
"Btg3-168","Fgfr3-448"
"Ipo4-74658174","Mafb-73771240"
"Grik4-75551478","Rps4y2-75934917"
"C130096N06Rik-73635978","Ednrb-74750017"
"Aars-74641317","C130018E23Rik*-75144623"
"2010111I01Rik-71717630","Serinc1-77413696"
"Eps8l2-74658244","Htr5b-71247644"
"B3galt5-77280578","Etfa-74581380"
"B630019K06Rik-74881160","Pbx3-76085744"
"Lct-73931621","Ptgs2-71016664"
"Dbi-71836880","Nr1h3-112205214"
"Ccdc37-74581372","Gpr151-74724649"
"Syt4-2651","Vti1a-74641238"
"1110037F02Rik-74988462","LOC380720-73931422"
"Ccdc85a-75081006","Decr1-74425550"
"Bmp4-79556702","Ramp1-1912"
"Cxcl12-79907936","Slc6a2-73615562"
"C030046I01Rik-74881890","Slx1b-74819688"
"Chat-252","Slc35f2-74819683"
"Kpnb1-77340472","Mmp14-74658084"
"Atp5h-77371785","Mylk-74819252"
"B630019K06Rik-74881160","Mxra7-77332080"
"Pck2-71836804","Rgs2-73635771"
"2010111I01Rik-71717630","Rasa4-74425552"
"Gabbr2-71247614","Slc6a2-73615562"
"Fam69c-73636086","St8sia6-73929596"
"Grsf1-73994670","Lct-73931621"
"0610010F05Rik-74957923","Tmx4-74882217"
"Vsx2-1687","Wbscr17-1934"
"Meis3-74047845","Scube3-74988656"
"Dnahc9-72472774","Kank4-76085741"
"Crispld1-72077456","Grk5-77371851"
"Fbln7-73929875","Hpcal4-73520985"
"C530008M17Rik-75080646","Chst11-73931625"
"Sart3-74819691","Zfp932-75774665"
"Gabra4-71924402","Insrr-71670480"
"Col9a2-74750022","Opn1sw-75773699"
"Chn2-77280428","Rfx4-71249068"
"Eef1b2-75934526","Slc22a23-72128754"
"Creb3l1-112197858","Pacsin1-74047926"
"Thbs4-77874596","Trhde-75774669"
"Cd44-224","Cdh9-72472764"
"Gpr123-71924056","Shb-71670695"
"Hpse-77340468","Mrap2-71924480"
"1500032L24Rik-75651168","Eps8l2-74658244"
"Dok2-2155","Slc18a1-2583"
"1500032L24Rik-75651168","Sult1a1-75774114"
"Gnas-509","Vsnl1-1106"
"LOC434368-74819253","Stk24-73635773"
"Gpr88-79567811","Srsf9-75043152"
"Gmfb-1726","Tomm70a-320"
"Itgav-74658082","Pmm1-67936010"
"Gpr18-71015809","Stat5a-77413690"
"LOC545352-74988758","Npy1r-72103807"
"Gpnmb-74581367","Slc35f2-74819683"
"Gpr151-74724649","Pias4-77414895"
"Fxyd5-74819694","Setd5-37"
"Grk5-77371851","Pmm1-67936010"
"LOC545810-71924492","Slc6a4-79591679"
"C230081A13Rik-73931624","Nxn-72007747"
"Ephb1-72077478","Grk5-77371851"
"Mmp14-74658084","Rgnef-74272892"
"C030046I01Rik-74881890","Hapln1-77332706"
"Nprl2-2701","Tsc22d4-1464"
"2310042E22Rik-74357582","Bmp4-79556702"
"BC005537-321201","Slc6a2-73615562"
"Ckb-70927826","Gprc5b-71836881"
"Elmod1-71924269","Sprn-73512367"
"Lyst-73994715","Nhlh2-74657929"
"Mtap1a-76115734","Ptprk-74743303"
"Rgs14-2529","Stat1-2635"
"Ptgs2-71016664","Uaca-74800883"
"9830001H06Rik-77340458","Ttc9b-71249081"
"St8sia6-73929596","Tspan32-72129242"
"D0H4S114-72472773","Ttll6-74363338"
"Chn2-77280428","Oprk1-80517217"
"Ctxn1-74586669","Map2k4-276073"
"Copg2-74819259","Nol4-76115737"
"Ephb3-1492","Gsta4-77278951"
"Aldh1a1-72103809","Rassf4-74988636"
"Iqsec3-73636153","Neto1-72129248"
"Eps8l2-74658244","Itgav-74658082"
"Gpx2-74819652","Tmx4-74882217"
"Ctsb-67779877","Otc-74581369"
"Map2k4-276073","Ngb-79556712"
"Aars-74641317","Rps4y2-75934917"
"Leprotl1-2373","Ywhae-2739"
"Htr2b-79556708","LOC545352-74988758"
"Bend6-77280313","Pak6-75084501"
"Rbm18-356083","Slc31a1-2603"
"Nhlh2-74657929","Ppapdc1a-74881927"
"Fbxo34-74882585","Gng2-77414160"
"Ctsb-67779877","Pde5a-73931641"
"Itgav-74658082","Zfp790-356855"
"Baalc-73520964","Msrb2-76135795"
"Epha1-74640882","LOC434300-75988611"
"Sacm1l-74882832","Tdrd3-77887882"
