"Dlx6as1-79912544","Phox2b-2480"
"Bmp4-79556702","Slc2a6-71670696"
"Cblb-74988451","Chst1-71836872"
"Avil-72340234","Mfsd6-75651167"
"Acvrl1-79488929","Il17ra-73520990"
"Ids-73994671","Ttc27-74819241"
"Rpl11-276067","Sigmar1-112196265"
"Bend6-77280313","Paf1-293469"
"Kcnh8-70562113","Sall3-74363352"
"2010300C02Rik-70743898","Atpif1-75774682"
"Lipm-74272035","Trav3-3-71670720"
"Npepps-844","Sirt2-75651224"
"Dpy19l1-75042226","Pgr15l-73615804"
"Dcbld2-73992944","Gsg1l-73636097"
"Arid5a-75042267","Ttll6-74363338"
"Calcrl-74988670","Hs3st2-74988765"
"Gpr56-71015815","Hars-554"
"Pttg1-293036","Thsd7a-71924155"
"Hs3st2-74988765","Rftn1-71920515"
"Chst10-74657931","Decr1-74425550"
"B230362M20Rik-77340460","Sytl4-75651223"
"Gpr85-1738","Kifc2-614"
"1500002O20Rik-1954","Prkg1-73521817"
"Ogfrl1-73818756","Scnn1a-70562125"
"Gsta4-77278951","Pacsin1-74047926"
"1110037F02Rik-74988462","Golga7b-76097699"
"Pitpnc1-75144644","Rassf4-74988636"
"C1ra-77874604","Paip2-77869857"
"Clip2-2137","Xbp1-1119"
"Pvrl4-2511","Rpl8-74749928"
"Lgi3-73520996","Slc7a6-293662"
"Sox10-79556652","Ttc9b-71249081"
"Mycl1-74881158","Pvrl3-73521804"
"Col24a1-73636093","Gm6753-77340486"
"1810031K17Rik-227165","Tac1-1038"
"Arhgap39-73992939","Sub1-356490"
"2010111I01Rik-71717630","Sirt2-75651224"
"B230362M20Rik-77340460","Cxcl14-74272041"
"Rock2-75988621","Sox11-79912528"
"Mrpl39-673","Tdrd3-77887882"
"Cyc1-357103","Kank4-76085741"
"Scnn1a-70562125","Ttn-74047746"
"AW046396-72340236","Cish-70634310"
"LOC433093-71924514","Rnf152-75043151"
"Ngef-72129292","Ppapdc1a-74881927"
"Clic5-77874610","Pde11a-75081007"
"Golga7b-76097699","Med8-112196048"
"Gabrb2-472","Hes7-2289"
"Clip2-2137","Stac2-293472"
"Epha1-74640882","Sox10-79556652"
"Bcl6-75651139","Ngfr-79591691"
"Polr1e-75774108","Thra-79912542"
"Arid5a-75042267","Kcnh8-70562113"
"Dhdds-70612728","Nova1-73931640"
"Acvr1c-71250307","Clcn5-75749741"
"Fam19a4-72472752","Ptpn3-72109295"
"Alg14-75081004","Bmp3-72472749"
"Gm17746-73931423","P2rx4-75551474"
"Otx2-112194935","Ptgds-79567709"
"Hrh3-73636034","Smarca2-1972"
"Dnahc9-72472774","Pvrl4-2511"
"Ero1lb-72340145","Igsf11-72103820"
"C130096N06Rik-73635978","P2rx7-75551477"
"Prss39-74749944","Rufy4-75041573"
"Gpr88-79567811","Nkx2-1-74988460"
"Gsta4-77278951","Sssca1-79556714"
