"Nfkbie-2425","Sh2b3-1633"
"Apln-67850953","Oprk1-80517217"
"Ccdc37-74581372","Tnfrsf21-71836885"
"Hmx3-74641309","Pde11a-75081007"
"Fzd4-77925095","Ppapdc1a-74881927"
"Postn-77371799","Slc25a1-2587"
"Gnb1-61413","Vav3-76085746"
"9030425E11Rik-71924353","B3gnt2-75988600"
"Bpgm-77414641","Myo10-74743255"
"Fam195a-1996","Irak1-2323"
"Lass4-176962","St8sia2-77925023"
"Cdhr1-72104186","Rpl8-74749928"
"Ece2-77332686","Scn5a-73907501"
"Ddx26b-75988610","Heg1-74958616"
"Gphn-1211","Hoxd9-1623"
"Blnk-74819692","Nfkbie-2425"
"Klf7-112202624","Mapk3-32576"
"Atp10b-73635826","LOC436099-73512350"
"Cdh13-77869863","Palm3-74958547"
"Trip4-1924","Whrn-77371813"
"Dnahc9-72472774","Ppp1r1a-75773706"
"Acan-77869840","Synpo-75080644"
"Ankrd6-71247671","Pex14-1397"
"Drd4-112650336","Ybx2-75080250"
"Gnb1-61413","St8sia3-73929595"
"Cblb-74988451","Htr5b-71247644"
"Slc22a23-72128754","Stat5a-77413690"
"Cblb-74988451","Pcdhac1-73512189"
"Fdps-76085745","Inpp5a-73994713"
"Ogfrl1-73818756","Tmem159-76135828"
"9030425E11Rik-71924353","Fam46a-75042237"
"Ids-73994671","Mdfi-112648831"
"Nol4-76115737","Sorbs1-74425572"
"Gm5607-72109337","Pcp4l1-75084520"
"Gm4887-73931418","Klhl1-73520995"
"Actc1-62","Dnajb12-2153"
"B630019K06Rik-74881160","Tbl2-1868"
"Cdhr1-72104186","Ybx2-75080250"
"Elavl2-72340123","Sh3bgr-1416"
"Pop4-77869859","Thsd7a-71924155"
"Ankrd34c-72472747","Col25a1-71924301"
"Baalc-73520964","Cyp26b1-79568022"
"Hspb1-74363357","Kcnj14-75651203"
"Hoxd9-1623","Prlr-1268"
"Ctsb-67779877","Sorcs3-75988635"
"Galnt13-72472803","Slc35a4-112647750"
"Edc3-77414911","Mup5-73997144"
"Pcsk1n-777","Tcerg1-1872"
"Drd4-112650336","Rpl8-74749928"
"Slc31a2-75773700","Tmeff1-77395095"
"Acan-77869840","Fam65a-75774668"
"Acan-77869840","Sox10-79556652"
"Fdps-76085745","Vangl1-71670709"
"Acsl5-73931635","BC032203-77867708"
"Gm5607-72109337","Tmem176b-77866852"
"Nfix-77413698","Slc22a23-72128754"
"C030034I22Rik-72472751","Kcng1-77340480"
"L3mbtl4-72472779","Ndrg2-79568051"
"Cdkn1b-112204566","Entpd2-73732144"
"Cd33-75043153","LOC380720-73931422"
"Dok5-80343394","Gtf2f1-67870080"
"Gng2-67936006","Grin2b-74988710"
"Glt8d2-71249079","Lrrc38-72340184"
"Alg5-75774105","Lhcgr-77869818"
"Clec11a-112195815","Galr2-80517343"
"Cd1d1-219","D16Ertd472e-318"
"Nol4-76115737","Ntf5-1393"
"Ankrd33-2006","Cyb5-75043146"
"Hdc-71016663","Pop4-77869859"
"C1ra-77874604","Itga11-74882626"
"B230362M20Rik-77340460","Grik4-75551478"
"Acan-77869840","Edc3-77414911"
"Fkbp10-2220","Irx1-2325"
"Gabre-75749417","Phospho1-71670685"
"P2rx3-75888751","Slc22a23-72128754"
"1110037F02Rik-74988462","L3mbtl4-72472779"
"Glt8d2-71249079","Trip4-1924"
"Blnk-74819692","Galnt13-72472803"
"Pitpnc1-75144644","Rasgrp4-76135807"
"Thrsp-71587845","Ttc39c-70743885"
"9030425E11Rik-71924353","P2rx7-75551477"
"Mllt11-89","Nr4a1-1792"
"Hgf-77867710","Magi1-73519705"
"C230081A13Rik-73931624","Mup5-73997144"
"Pknox2-76135815","Tnip2-74425540"
"Drd4-112650336","Myo10-74743255"
"Gdnf-112647321","Msrb2-76135795"
"Ankrd33-2006","Slc29a4-77414149"
"Agtr1a-2021","Pkig-2483"
"Scd1-71836746","Sult1a1-75774114"
"Krt73-74750042","Mafb-73771240"
"Ccdc85a-75081006","Hmgcs1-80517057"
"Gpr139-79490116","Tac2-77279001"
"Khdrbs3-73769321","Pitx1-199398"
"Inpp5a-73994713","Phospho1-71670685"
"D0H4S114-72472773","Rps4y2-75934917"
"Pkp2-73997149","Wnt5a-79556660"
"Slc35a4-112647750","Ubl4-75774670"
"Fam163b-73520970","Fam65a-75774668"
"Glt8d2-71249079","Sox10-79556652"
"Fdps-76085745","Prokr1-74724728"
"Npr1-71670678","St8sia3-73929595"
