"Cap1-323396","Svil-77332748"
"Htr4-72119658","Notum-73732151"
"Mtap-79568030","Nnat-77887874"
"Fam46a-73520967","Kcnj15-2339"
"Mecp2-79908808","Sh3bgr-1416"
"Trem2-67870433","Vtn-67752116"
"Ankrd34c-72472747","LOC380720-73931422"
"Fam124a-72472790","Mtap1a-76115734"
"B4galt5-73635976","Ngb-79556712"
"Ptp4a1-75079765","Vamp1-75651233"
"Gdi2-491","Nrbp2-75774686"
"Cdk14-71670684","Cstf2-2131"
"Fbln7-73929875","Gng2-67936006"
"Midn-71670739","Zdhhc2-72128751"
"Rasgrp4-76135807","Sbno1-930"
"Gm5607-72109337","Vps39-74047842"
"Col9a2-74750022","Gpx2-74819652"
"Gabrg1-75551469","Ltbp3-76115733"
"Anxa1-70813897","Grid1-74724739"
"Gca-74641159","Map2k4-276073"
"Crispld1-72077456","Smarca2-1972"
"Agxt2l1-75079777","Zscan22-247974"
"Apbb1-2033","Rgnef-74272892"
"9030425E11Rik-71924353","Pde11a-75081007"
"Dlx2-1482","Inpp4b-72080054"
"Bok-71064032","Pacsin1-74047926"
"C130096N06Rik-73635978","Mgat5-73931638"
"Lynx1-655","Trhr-1303"
"Fryl-73512207","Spint2-74047774"
"Kcnh8-70562113","Rps4y2-75934917"
"Cyc1-357103","Mgat5-73931638"
"Slc6a7-71016653","Uaca-74800883"
"Ccdc37-74581372","Grik3-75749418"
"Susd4-75774678","Tacr1-79591721"
"Anxa1-70813897","Pdgfd-1910"
"Pdgfra-77280309","Ssr2-77869814"
"Crls1-1148","Inhbb-73636087"
"Apbb1-2033","Fryl-73512207"
"Erf-2195","Slc43a2-74425544"
"BC005537-321201","Ngfr-79591691"
"Eomes-80516770","Ptgs2-71016664"
"Mchr1-74724669","Wnt1-112644522"
"Copb2-1341","Mllt11-89"
"BC057022-72077480","Fbln2-321208"
"Flot1-67752111","Gpr83-72338696"
"Aldh1a1-72103809","LOC545810-71924492"
"E130012A19Rik-74363349","Tspan32-72129242"
"Cyp39a1-77874608","Lrrtm3-73931637"
"Arhgap39-73992939","Kcnj4-74357568"
"Ipo4-74658174","Slc43a2-74425544"
"Neurl1a-73769327","Ramp1-1912"
"Atp5h-77371785","Nr1h3-112205214"
"Itga5-74882636","Kank4-76085741"
"Elmod1-71924269","Pafah1b1-2460"
"Dlst-321200","Opn1sw-75773699"
"Bok-71064032","Cish-70634310"
"Sema4g-71587856","Terf2ip-112196711"
"Ap2s1-71836889","Scube3-74988656"
"C130096N06Rik-73635978","Tspan32-72129242"
"Epha8-72472794","Pdgfra-77280309"
"A130014H13Rik-75041574","Ppp1r7-832"
"Gpr137-75651149","Scn1a-77340528"
"Rps5-77868800","Syt12-79556632"
"2310042E22Rik-74357582","Rrad-75080239"
"Gpnmb-74581367","Serpinb8-293668"
"Cap1-323396","St6galnac5-73787946"
"Cish-70634310","Trav3-3-71670720"
"Pak6-75084501","Zscan22-247974"
"Fbln7-73929875","Pvrl4-2511"
"Icosl-1217","Snap47-3"
"1500032L24Rik-75651168","Nfix-77413698"
"Alk-77371829","Trem2-67870433"
"Ntf5-1393","Sema4g-71587856"
"Dlx2-1482","Grid1-74724739"
"Nol4-76115737","Zfp358-2743"
"Postn-77371799","Tpm3-275873"
"Stxbp2-75774667","Vangl1-71670709"
"1200011I18Rik-77414569","Pck2-71836804"
"Kpnb1-77340472","Ly6h-71924388"
"Fbxo2-2210","Ndufv3-12"
"Hrh3-73636034","Mmgt1-77414585"
"Camk1d-73992927","St8sia6-73929596"
"Nup93-75774679","Rcsd1-75934525"
"Ankrd24-80343396","Ptger4-112203056"
"Chrna2-75551460","Fam46a-73520967"
"Kcns3-77371817","Ssr2-121097"
"Tfam-67936016","Tmem204-73769320"
"Cdh13-77869863","LOC380720-73931422"
"Mchr1-74724669","Stra6-75041492"
"Copg2-74819259","Slc39a3-2619"
"Ptprk-74743303","Sh3d19-74425516"
"Dtnbp1-75651202","Rpl8-74749928"
"Armc2-74988750","Rps5-77868800"
"Pot1b-73925715","Rcsd1-75934525"
"Apbb1-2033","Tmx4-74882217"
"Dab1-74750263","Iyd-71015205"
"9030425E11Rik-71924353","Plxna2-77280424"
"Bmp3-72472749","Gabra4-71924402"
"Cpne8-73520974","Grsf1-73994670"
"Gpr35-112649690","St8sia3-73929595"
"Bend6-77280313","Grsf1-73994670"
"Dlx5-1450","Pip5k1b-77887888"
"Hbb-77340464","Mpp6-73994666"
"Cyc1-357103","Pacrg-74743258"
"Chd7-71836884","Ddit4l-71836878"
"Crispld1-72077456","Hnrnph2-112649906"
"Chrm4-261","Usp21-2711"
"Arf1-199390","Nup93-75774679"
"Bmp3-72472749","Nrm-75042265"
"Cpne8-73520974","Eef1g-74819238"
"Alk-77371829","Mylk3-73992942"
"Klhl36-77371861","Pacrg-74743258"
"Bend6-77280313","Eef1g-74819238"
"Hnrnph2-112649906","Tbl2-1868"
"Crispld1-72077456","Ndufs8-74819243"
"Gpr151-74724649","Sik3-74881867"
"Cacng7-74750054","Gpr101-79591639"
"Caml-79568047","Hs3st2-74988765"
"Cyp39a1-77874608","Dlx5-1450"
"Dlx5-1450","Elavl2-72340123"
"Cldn11-77280580","Erf-2195"
"Ndrg2-79568051","Scd1-71836746"
"Ddn-73636031","Terf2ip-112196711"
"Cirh1a-77925143","P2ry14-76135748"
"Chrnb2-2097","Sema3c-939"
"2010111I01Rik-71717630","Six1-1834"
"Npy1r-72103807","Uggt1-74957909"
"Armc2-74988750","Htr4-72119658"
"Cks2-80517357","Gpx2-74819652"
"Bmp4-79556702","Htr2b-79556708"
"Grm1-537","Nrbp2-75774686"
"Fam196a-75042244","Gng12-73512194"
"Mx2-1778","Rasal1-75774111"
"Cyc1-357103","Tmem206-75774106"
"C030034I22Rik-72472751","Ltk-75988666"
"9330182L06Rik-75081005","BC100451-73615805"
"Golga7b-76097699","Kctd16-73636009"
"Rcsd1-75934525","Zfp365-73929873"
"Grsf1-73994670","Lct-73931621"
"Camk4-75038464","Thnsl1-74988343"
"Pou2f1-1563","Spint2-74047774"
"Ero1lb-72340145","Pdzd2-74988286"
"Dlx2-1482","Lct-73931621"
"Fbxo2-2210","Slc10a3-74047876"
"Pomp-75774685","St8sia3-73929595"
"Htr4-72119658","Nomo1-1697"
"Prkg1-73521817","Zdhhc2-72128751"
"Fam196a-75042244","Nog-75084476"
"Magel2-79591571","Sssca1-79556714"
"3110082D06Rik-74581400","Dlst-321200"
"Baalc-73520964","Slc35c2-2615"
"Eif2d-323588","Manea-74882656"
"Magix-74581446","Utp23-71924008"
"Diras1-72103819","Kpna4-2359"
"Mdk-1227","Six1-1834"
"Ngfrap1-1786","Rec8-77278975"
"Sult1a1-75774114","Thsd7a-71924155"
"Gpr137-75651149","Pvalb-79556738"
"Hnrnph2-112649906","Rasgrp1-76115742"
"Dlx3-350","Rgnef-74272892"
"Cep72-74988742","Mapk13-2397"
"1500032L24Rik-75651168","Chst1-71836872"
"Ipo4-74658174","Mef2c-79567505"
"Cdh3-1337","Gtf3c2-7"
"LOC545854-73732153","Mxra7-77332080"
"Ankrd24-80343396","Mpp6-73994666"
"Etfa-74581380","Ttpal-74641323"
"B630019K06Rik-74881160","Golga7b-76097699"
"LOC545854-73732153","Zfp358-2743"
"Cwh43-74819236","Prkg1-73521817"
"Tmem206-75774106","Trim3-73732147"
"Kpnb1-77340472","Ubl4-75774670"
"Cuedc2-79556640","Hbb-77340464"
"Cyc1-357103","Svil-77332748"
"C130096N06Rik-73635978","Pvrl4-2511"
"Adrb1-77340494","Tac2-77279001"
"Neurod6-698","Tpm3-275873"
"Cstf2-2131","Ero1lb-72340145"
"Ddx26b-75988610","Pvrl4-2511"
"Chrng-75551466","Sub1-356490"
"Prkar2a-77332735","Rfxank-67881545"
"Bace1-73520965","Vps39-74047842"
"Camk4-75038464","Spint2-74047774"
"Pls3-355886","Suv39h2-1538"
"Jup-74425547","Rpl8-74749928"
"Calcr-75080999","Ppapdc1a-74881927"
