Gene1,Gene2
"Col5a1-75147768","Cxcl14-74272041"
"Med8-112196048","Reps2-76135799"
"LOC380720-73931422","Pcdhac1-73512189"
"Bok-71064032","Fbxw7-72128750"
"Chd7-71836884","Etfa-74581380"
"Chrnb2-2097","Ola1-293038"
"Ndrg2-79568051","Pcdhac1-73512189"
"Ndufs8-74819243","Sox11-79912528"
"Arhgap39-73992939","Trem2-67870433"
"Golga7b-76097699","Ndrg2-79568051"
"Ptcd1-74882764","Ramp1-1912"
"B3gnt2-75988600","Ccdc88c-74363346"
"Ndrg2-79568051","S1pr5-112651200"
"Aars-74641317","Tspan32-72129242"
"Anxa1-70813897","Slc6a7-71016653"
"Agxt2l1-75079777","Grid1-74724739"
"Htr5b-71247644","Zfp358-2743"
"B3gnt2-75988600","Plxna2-77280424"
"Hmgcr-75079789","Slc25a25-544516"
"9630013P03Rik*-77280434","Trim3-73732147"
"Baalc-73520964","Lef1-77866900"
"Jdp2-73930842","Svil-77332748"
"Slc6a7-71016653","Stk24-73635773"
"Bpgm-77414641","Susd2-75146000"
"Plxna2-77280424","Trim3-73732147"
"Mx2-1778","Pde5a-73931641"
"Nkiras2-2429","Pmp22-825"
"9630013P03Rik*-77280434","Ddit4l-71836878"
"Agxt2l1-75079777","Lass4-176962"
"Ppp1r1a-75773706","Synj2bp-77414884"
"Cish-70634310","Ifit2-74988457"
"B4galt5-73635976","Lef1-77866900"
"Ankrd34c-72472747","Napb-75651234"
"Col18a1-287","Syt13-1020"
"B230362M20Rik-77340460","Ctsb-67779877"
"Cstf2-2131","Otx2-112194935"
"Vamp1-75651233","Wnt1-112644522"
"LOC380720-73931422","Pdzd2-74988286"
"Ddit4l-71836878","Map2k4-276073"
"Mx2-1778","Tspan32-72129242"
"Fam69c-73636086","Itga5-74882636"
"LOC545854-73732153","Tbl2-1868"
"Chrm5-75826557","Slc6a2-73615562"
"Bok-71064032","Gpr156-74641322"
"Dnahc9-72472774","Dtnbp1-75651202"
"Lyst-73994715","Rrad-75080239"
"Hnrnph2-112649906","Pcdhac1-73512189"
"Pdgfd-1910","Trem2-67870433"
"Lass4-176962","Tfam-67936016"
"Madcam1-2389","Tat-2657"
"Col5a1-75147768","Itga5-74882636"
"Cyc1-357103","Gabra5-72077453"
"C1qtnf5-293664","Slc7a6-293662"
"Map2k4-276073","Pacrg-74743258"
"Ptgs2-71016664","Trem2-67870433"
"Greb1-71924412","Syap1-1858"
"Col5a1-75147768","Dnahc9-72472774"
"Anxa1-70813897","Eef1g-74819238"
"C130096N06Rik-73635978","St6galnac5-73787946"
"Palm3-74958547","S1pr5-112651200"
"Mx2-1778","Plxna2-77280424"
"Chd7-71836884","Cxcl14-74272041"
"Grk5-77371851","Pttg1-293036"
"Bok-71064032","Cish-70634310"
"Gng2-67936006","Prss39-74749944"
"Arhgap39-73992939","Slc6a7-71016653"
"Hrh3-73636034","Pdzd2-74988286"
"Gca-74641159","Itpk1-71923998"
"Map2k4-276073","Plxna2-77280424"
"Fbxw7-72128750","Vamp1-75651233"
"Ankrd34c-72472747","Smarca2-1972"
"LOC380720-73931422","Zfp358-2743"
"S1pr5-112651200","Smarca2-1972"
"Hrh3-73636034","Tcerg1l-75041511"
"Dtnbp1-75651202","St8sia3-73929595"
"Ifit2-74988457","Pacsin1-74047926"
"Gpr35-112649690","Ttll6-74363338"
"Baalc-73520964","Dtnbp1-75651202"
"Ephb1-72077478","Pkp2-73997149"
"Rasgrp1-76115742","Zfp358-2743"
"Gabra5-72077453","Trim3-73732147"
"Gpr35-112649690","Map2k4-276073"
"Flot1-67752111","Lyst-73994715"
"Kalrn-73930821","Kctd16-73636009"
"LOC545854-73732153","Sema4g-71587856"
"D0H4S114-72472773","St8sia6-73929596"
"Anxa1-70813897","Lgi3-73520996"
"Dnahc9-72472774","Plxna2-77280424"
"B230362M20Rik-77340460","Gng2-67936006"
"Kalrn-73930821","Scd1-71836746"
"Pak1-73521001","Tfam-67936016"
"Ola1-293038","Vps39-74047842"
"Gpr83-72338696","Slc2a6-71670696"
"Napb-75651234","Smarca2-1972"
"4930451C15Rik-74750011","Lyst-73994715"
"Flot1-67752111","Sema3c-939"
"Mgat5-73931638","St6galnac5-73787946"
"Mgat5-73931638","Pacrg-74743258"
"Fkbp10-2220","Klhl36-77371861"
"Pitx1-199398","Tcea1-227534"
"Rasgrp1-76115742","Thsd7a-71924155"
"Pdgfd-1910","Tfam-67936016"
"Avil-72340234","Pacsin1-74047926"
"Per2-793","Stx1a-2645"
"Camk1d-73992927","St8sia6-73929596"
"Ankrd34c-72472747","Tbl2-1868"
"Ccdc88c-74363346","Vangl1-71670709"
"Accn4-71924089","Slc6a2-73615562"
"Stxbp2-75774667","Svil-77332748"
"Camk1d-73992927","Ddit4l-71836878"
"9030425E11Rik-71924353","Ttll6-74363338"
"Ddit4l-71836878","Prss39-74749944"
"Golga7b-76097699","Ndufs8-74819243"
"Chd7-71836884","Prss39-74749944"
"B630019K06Rik-74881160","Ndufs8-74819243"
"Bend6-77280313","Trem2-67870433"
"B3gnt2-75988600","Dtnbp1-75651202"
"Hdc-71016663","S1pr5-112651200"
"Chrnb1-75888752","Uqcr11-67870133"
"B630019K06Rik-74881160","Ephb1-72077478"
"Trim3-73732147","Ttll6-74363338"
"Ndrg2-79568051","Sult1a1-75774114"
"Cyc1-357103","Ttll6-74363338"
"Gpr18-71015809","Ptgds-79567709"
"Chrm5-75826557","Ptgs2-71016664"
"S1pr5-112651200","Scd1-71836746"
"Gpr35-112649690","Pde5a-73931641"
"Grsf1-73994670","LOC434368-74819253"
"Htr5b-71247644","Rasgrp1-76115742"
"Ptcd1-74882764","Uggt1-74957909"
"B3galt5-77280578","Ttpal-74641323"
"Ankrd34c-72472747","Pla2g16-112650769"
"B4galt5-73635976","Mx2-1778"
"9030425E11Rik-71924353","Kank4-76085741"
"Aars-74641317","Gabra5-72077453"
"Adrb1-77340494","Rasgrp4-76135807"
"Golga7b-76097699","Gpr18-71015809"
"Ccdc88c-74363346","Prss39-74749944"
"LOC545854-73732153","Vps35-77869144"
"B230362M20Rik-77340460","Col5a1-75147768"
"Smarca2-1972","Tbl2-1868"
"Mcl1-112647104","Oit1-227164"
"Cxcl14-74272041","Gabra5-72077453"
"Doc2g-74881341","Ola1-293038"
