Gene1,Gene2
"Dbi-71836880","Rassf4-74988636"
"Grk5-77371851","Palm3-74958547"
"Mtpn-2411","Vamp1-75651233"
"Atp6v0a2-357094","Lass4-176962"
"Kcnj4-74357568","Stk24-73635773"
"Fzd9-73907498","Mmel1-76135804"
"N4bp2-74363354","Ttc9b-71249081"
"Anxa1-70813897","Xk-71670735"
"Ephb3-1492","Pitx2-79556607"
"Lipm-74272035","Rassf3-71836799"
"Ptprk-74743303","Thrsp-77874606"
"Mdk-1227","Tmem29-75080656"
"Eomes-80516770","Xk-71670735"
"Nin-76115736","Pacsin1-74047926"
"1200011I18Rik-77414569","Rgs2-73635771"
"Grsf1-73994670","Pak1-73521001"
"Ccdc37-74581372","Rfx4-71249068"
"Dpysl5-73635770","Rassf4-74988636"
"Mfsd6-75651167","Rnf152-75043151"
"Hmg20a-357093","Mdk-1227"
"Alg14-75081004","Matk-76135823"
"Gpr123-71924056","Slc22a3-73931644"
"AW046396-72340236","Avil-72340234"
"Hcrtr1-77868713","Setd5-37"
"Fdps-76085745","Hpcal1-74581395"
"Heg1-74958616","Tpbg-76085743"
"Gabra4-71924402","Ptbp1-356857"
"Hs3st2-74988765","Rreb1-72340134"
"Avil-72340234","Nell1-74357567"
"Gpr123-71924056","Icam5-73520989"
"Lass4-176962","Ptgs2-71016664"
"Chrm5-75826557","Tmem204-73769320"
"Bend6-77280313","Pak6-75084501"
"Foxp1-71249056","Neurod2-75651126"
"Acsl5-73931635","St8sia6-73929596"
"Gpr156-74641322","Rreb1-72340134"
"Ccdc37-74581372","Nr1h3-112205214"
"Baalc-73520964","Itga5-74882636"
"Adora2a-72109410","Matk-76135823"
"Col16a1-74273122","Dbi-71836880"
"Rcsd1-75934525","Spsb4-75773701"
"Filip1l-74363347","Gm261-73636032"
"Insrr-71670480","Mmel1-76135804"
"Apc-74881517","LOC434300-75988611"
"Paf1-293469","Pus7-79556638"
"Avil-72340234","Nova1-73931640"
"Epha1-74640882","Rgs2-73635771"
"Fam124a-72472790","Gpr123-71924056"
"Cdhr1-72104186","Satb1-927"
"Apc-74881517","Gnal-71670716"
"Dpysl5-73635770","Ptbp1-356857"
"Accn4-71924089","Filip1-73635796"
"Gm10413-73929885","Six1-1834"
"1200011I18Rik-77414569","Kcnj9-72119580"
"Bcl6-75651139","Grid1-74724739"
"Pck2-71836804","Serinc1-77413696"
"Bmp3-72472749","Vti1a-74641238"
"Dpysl5-73635770","Vti1a-74641238"
"Arf1-199390","Ptgs2-71016664"
"Cux1-79556618","Tnip2-74425540"
"Anxa1-70813897","Dlx2-1482"
"Alg14-75081004","Gpr151-74724649"
"Tfam-67936016","Zfp365-73929873"
"Arf1-199390","Slc6a2-73615562"
"Hpd-356492","Smpd1-77413684"
"Pck2-71836804","Slc35f2-74819683"
"Fbxw7-72128750","Tmem109-74988461"
"Ptgs2-71016664","Slc7a6-293662"
"Chst10-74657931","Usp11-355883"
"Grb7-112204995","Satb1-927"
"Arhgdia-75774677","Tomm20-74819230"
"Cntfr-75651138","Spsb4-75773701"
"BC005537-321201","Trp53-67855414"
"LOC434300-75988611","Vti1a-74641238"
"Greb1-71924412","Rreb1-72340134"
"Accn4-71924089","Grsf1-73994670"
"Eef1g-74819238","Trem2-67870433"
"Rnf152-75043151","Trav3-3-71670720"
"Gpr88-79567811","Palmd-74581442"
"Gpr146-77371845","Tbl3-77413694"
"Mmel1-76135804","Vti1a-74641238"
"Ltk-75988666","Sccpdh-73635772"
"Gpr151-74724649","Tex261-74047919"
"9830001H06Rik-77340458","Hmg20a-357093"
"Pak1-73521001","Rarb-75038442"
"Mdk-1227","Serinc1-77413696"
"Neurod2-75651126","Vegfb-75079746"
"Gsta4-77278951","Pitx2-79556607"
"Chat-252","Tex261-74047919"
"E330009J07Rik-74658077","Pgr15l-73615804"
"C030034I22Rik-72472751","Satb1-927"
"C1qtnf5-293664","Gabrr2-79589524"
"Gpr123-71924056","Ptprk-74743303"
"Fzd9-73907498","Slc35f2-74819683"
"Gm10413-73929885","Sik3-74881867"
"Bcl6-75651139","Pus7-79556638"
"Filip1-73635796","Grsf1-73994670"
"Fam124a-72472790","Gm10413-73929885"
"Fzd9-73907498","Serinc1-77413696"
"Eomes-80516770","Pus7-79556638"
"AW046396-72340236","Tm2d3-77414123"
"Mfsd6-75651167","Ryr1-71247657"
"Hmg20a-357093","Tspyl4-67936212"
"Bok-71064032","Sigmar1-112196265"
"Emp1-77280421","Tmem109-74988461"
"Gabra4-71924402","Pias4-77414895"
"Gpr123-71924056","Insrr-71670480"
"Rpl8-74749928","Utp23-71924008"
"Gpr146-77371845","Gpr151-74724649"
"Gsta4-77278951","Stra6-75041492"
"Slc35f2-74819683","Tmc6-77887880"
"Nell1-74357567","Rorb-2539"
"Icam5-73520989","Il16-71064290"
"Calcrl-74988670","Dhdds-70612728"
"Nova1-73931640","Tmem109-74988461"
"1200011I18Rik-77414569","Ptbp1-356857"
"Foxp1-71249056","Hmgcr-75079789"
"Ephb3-1492","Necab1-72472791"
"LOC434300-75988611","Sox10-79556652"
"Chst10-74657931","Il16-71064290"
"Eomes-80516770","Uaca-74800883"
"2010111I01Rik-71717630","Pck2-71836804"
"Apc-74881517","Chat-252"
"Pdgfd-1910","Pus7-79556638"
"Cdhr1-72104186","Egr4-74800827"
"Insrr-71670480","Mdk-1227"
"Mmel1-76135804","Shb-71670695"
"Ccdc37-74581372","LOC434300-75988611"
"2010300C02Rik-70743898","Fzd9-73907498"
"Gm12429-77340488","Hcrtr1-77868713"
"Armc2-74988750","Htr4-72119658"
"Mmel1-76135804","Tmc6-77887880"
"AW046396-72340236","Nova1-73931640"
"LOC434300-75988611","Nr1h3-112205214"
"Dkk4-112647536","F2r-1711"
"Trem2-67870433","Trp53-67855414"
"Il16-71064290","Rgs2-73635771"
"Gpr156-74641322","Klf7-112202624"
"Col16a1-74273122","Tmc6-77887880"
"Gpr123-71924056","Usp11-355883"
"Nin-76115736","Trav3-3-71670720"
"Ctsb-67779877","Trim3-73732147"
"BC032203-77867708","Dapk1-72472784"
"Chrm5-75826557","Inpp4b-72080054"
"Arf1-199390","Lass4-176962"
"Mfsd6-75651167","Rreb1-72340134"
"Ctsb-67779877","E130012A19Rik-74363349"
"BC005537-321201","Lass4-176962"
"Gabbr2-71247614","Tmem204-73769320"
"Gabrr2-79589524","Tfam-67936016"
"Cd97-112646460","Ptbp1-356857"
"Gm12429-77340488","Slc31a2-75773700"
"Caml-79568047","Pacsin1-74047926"
"Paf1-293469","S100a6-77278967"
"Magi1-73519705","Plxnd1-77340482"
"Il17rd-74958537","Neurod2-75651126"
"Il16-71064290","Pck2-71836804"
"Nova1-73931640","Ptp4a1-75079765"
"Dbi-71836880","Six1-1834"
"Il17rb-2317","Styk1-71250308"
"Ccdc37-74581372","Gpr123-71924056"
"Gpnmb-74581367","N4bp2-74363354"
"Rasa4-74425552","Ttc9b-71249081"
"Arf1-199390","Spsb4-75773701"
"F2r-1711","Odz3-79908833"
"Gpr139-79490116","LOC434368-74819253"
"Filip1l-74363347","Gpr123-71924056"
"Hmg20a-357093","Mtap1a-76115734"
"Hs3st2-74988765","Klf7-112202624"
"Fbxw7-72128750","Rnf152-75043151"
"Nell1-74357567","Stra6-75041492"
"C1qtnf5-293664","Pak1-73521001"
"Tmc6-77887880","Tspyl4-67936212"
"1200011I18Rik-77414569","Tbl3-77413694"
"Pitx2-79556607","Ptp4a1-75079765"
"Tex261-74047919","Tspyl4-67936212"
"Mdk-1227","Ptbp1-356857"
"Pak1-73521001","S100a6-77278967"
"Grid1-74724739","Pak6-75084501"
"Nr1h3-112205214","Usp11-355883"
"Gabra4-71924402","Slc6a4-79591679"
"Chrm5-75826557","Lass4-176962"
"2010300C02Rik-70743898","Fam124a-72472790"
"Rspo2-71016632","Vti1a-74641238"
"N4bp2-74363354","Shb-71670695"
"Arf1-199390","Ndufb8-74743256"
"Ggt7-75145998","Rapgef6-75041528"
"Cyr61-80343407","Thrsp-77874606"
"Fbxw2-355882","Slc31a2-75773700"
"N4bp2-74363354","Rfx4-71249068"
"Nell1-74357567","Pitx2-79556607"
"Gpr146-77371845","Slc35f2-74819683"
"Filip1-73635796","S100a6-77278967"
"Alg14-75081004","Sik3-74881867"
"Greb1-71924412","Rassf3-71836799"
"Chat-252","Gnal-71670716"
"Itgbl1-74988458","Slc31a2-75773700"
"F2r-1711","Itgbl1-74988458"
"Chchd3-67870084","Cux1-79556618"
"Acta1-60","Slc29a1-1838"
"Fam124a-72472790","Gabra4-71924402"
"Cyc1-357103","Fkbp10-2220"
"Pck2-71836804","Tmem29-75080656"
"Icam5-73520989","Slc35f2-74819683"
"Ephb3-1492","Sigmar1-112196265"
"Decr1-74425550","Ttc9b-71249081"
"Paf1-293469","Uaca-74800883"
"BC005537-321201","Rcsd1-75934525"
"Epha1-74640882","Gm261-73636032"
"Ctps-1185","Psmd4-2503"
"9830001H06Rik-77340458","Vti1a-74641238"
"C1qtnf5-293664","Gabbr2-71247614"
"Chrm5-75826557","S100a6-77278967"
"Gpr88-79567811","Gsta4-77278951"
"Dlx6as1-79912544","Sidt1-71587812"
"Cish-70634310","Rpl11-276067"
"Pitx2-79556607","Tmem109-74988461"
"Dbi-71836880","Sik3-74881867"
"Gpnmb-74581367","LOC434300-75988611"
"Samd14-73930839","Tmem33-356284"
"Gm261-73636032","Sox10-79556652"
"Ephb3-1492","Gpr88-79567811"
"2010300C02Rik-70743898","Icam5-73520989"
"Arf1-199390","Cntfr-75651138"
"Epha1-74640882","Vti1a-74641238"
"Gm12429-77340488","Setd5-37"
"Six1-1834","Tspyl4-67936212"
"Nova1-73931640","Vamp1-75651233"
"Caml-79568047","Ifnar1-588"
"Dlx2-1482","Gabbr2-71247614"
"Icam5-73520989","Insrr-71670480"
"Pdxk-788","Slco4a1-2625"
"Arhgap39-73992939","Filip1-73635796"
