Gene1,Gene2
"Cadm2-73635999","Tmx4-74882217"
"Gng12-73512194","Satb1-79488931"
"Grsf1-73994670","LOC434236-73615572"
"BC005537-321201","Rarb-75038442"
"Mcm6-71358638","Syne1-74640879"
"Atp5h-77371785","Nkd1-74586666"
"Clip4-75774680","Nkd1-74586666"
"Tex261-74047919","Tmc6-77887880"
"Adora2a-72109410","Serinc1-77413696"
"Dbi-71836880","Ptbp1-356857"
"Mef2c-79567505","Ssr2-121097"
"Prr15l-74819231","Prss12-71836879"
"Inhbb-73636087","Ipo4-74658174"
"Apbb1-2033","Nrtn-741"
"2010111I01Rik-71717630","Rgs2-73635771"
"Slc43a2-74425544","Tmie-74957868"
"Cldn11-77280580","Ndufa10-74658173"
"Ar-2039","Pkp2-73997149"
"Slc20a2-70231308","Tmc6-77887880"
"Insrr-71670480","Tmem29-75080656"
"Ly6h-71924388","Slx1b-74819688"
"9830001H06Rik-77340458","Rfx4-71249068"
"9130024F11Rik-71","Gabrg3-71587875"
"Lass4-176962","Nup93-75774679"
"Nup93-75774679","Rcsd1-75934525"
"Mtap1a-76115734","Pck2-71836804"
"Grik3-75749418","Mdk-1227"
"Mef2a-199392","Ptn-2507"
"Ly6h-71924388","Ndufa10-74658173"
"Ankrd34c-72472747","Grin3a-73907499"
"Ap2s1-71836889","Sostdc1-77874602"
"Atp5h-77371785","Hapln1-77332706"
"Dlst-321200","Mmp14-74658084"
"Clta-74819690","P2rx7-75551477"
"Elmod1-71924269","Pitrm1-74273117"
"Nomo1-1697","Trap1-1966"
"Pgrmc2-74882697","Ppp1r7-832"
"F2rl1-199391","Six1-1834"
"Fhdc1-73925717","LOC545810-71924492"
"Adora2a-72109410","Grik3-75749418"
"2010300C02Rik-70743898","Fam124a-72472790"
"Ogt-758","Tsen34-1944"
"Grin2b-74988710","Susd2-75146000"
"Anxa1-70813897","Cxcl12-79907936"
"Sart3-74819691","Tsen34-1944"
"Igsf5-79488939","Sash1-71924225"
"Anxa1-70813897","Gabbr2-71247614"
"Anxa1-70813897","LOC434236-73615572"
"Ppp1r7-832","Thbs2-73929578"
"Rspo2-71016632","Snd1-77869128"
"Bmp3-72472749","Gpr151-74724649"
"Gpr151-74724649","Mtap-79568030"
