gene1,gene2
"Klhl36-77371861","Slc26a8-2597"
"Fzd9-73907498","Vamp1-75651233"
"Nkain4-112648182","Syap1-1858"
"Fbxw2-355882","Pou6f2-71249067"
"Adamts1-69","Lef1-77866900"
"Grm3-539","Khdrbs3-73769321"
"Kcnj4-74357568","Ube2e3-75651166"
"Hspb1-74363357","Il17ra-73520990"
"Cacng7-74750054","Nmb-71836874"
"1810031K17Rik-227165","Pou4f1-74641304"
"Adamts19-73635973","Lims2-75145999"
"Rgs5-74357571","Tex261-74047919"
"Adssl1-72104185","Sgcz-74749942"
"Tbck-79567760","Utp23-71924008"
"Pitpnc1-75144644","Slc26a8-2597"
"Arhgdia-75774677","Ina-71836833"
"Arf1-199390","Dmbx1-1484"
"Camk1d-73992927","Ptgds-851"
"Gng2-67936006","Il13ra1-74819256"
"Aco1-76135819","Kank2-112644736"
"Adamts1-69","Tinf2-77414587"
"Cacng7-74750054","Kctd16-73636009"
"Fndc3b-74988759","Serpina3k-72081514"
"Aqp4-79556722","Cd24a-79591541"
"Igsf5-79488939","Lipm-74272035"
"Adra2b-74724532","Stc2-80343330"
"C130018E23Rik*-75144623","Magix-74581446"
"Fgd5-74357548","Kcnj6-609"
"B3gnt2-75988600","Eps8l2-74658244"
"Alg2-73931383","Ldlr-1766"
"Greb1-71924412","Tcf19-2659"
"Gabpb1-121098","Svil-77332748"
"Gng2-67936006","Slc26a8-2597"
"Col27a1-74272916","Nicn1-75773512"
"Lrrc55-73931406","Tns3-75080694"
"Anxa1-70813897","Shh-1418"
"Slc38a1-75043149","Wdr47-74819248"
"Ddit4l-71836878","Lamc1-77868319"
"Fbxl5-422","Nav1-77280430"
"Psme2-74800893","Slc28a3-70927425"
"Anxa6-77332100","Rasal2-75147758"
"Dad1-74819345","Vwc2-77332096"
"Chd7-71836884","Slc26a8-2597"
"Agtr1b-74724627","D830029A09Rik-72472778"
"Fstl1-71016596","Zfp385b-72128752"
"Dbnl-74819497","Kcnb2-74581424"
"Kcnj5-72119660","Vps35-77869144"
"Cacna2d3-79591395","Psmb2-74988552"
"Cish-70634310","Serpina3k-72081514"
"Hs3st2-74988765","Kiss1r-80343334"
"Mchr1-74724669","Pax3-2464"
"Hgf-558","Hiatl1-77414177"
"Gm5607-72109337","Tnnt1-77280576"
"Ramp1-1912","Sall3-74363352"
"Arf1-199390","Rapgef6-75041528"
"Pomc-2493","Scg2-934"
"LOC380720-73931422","Slc26a10-74273116"
"Igsf21-74357578","Npepps-844"
"Slc41a3-73512484","Syt12-79556632"
"C1qa-77371775","Ptprj-73521803"
"Emp1-77280421","Tcf19-2659"
"Cblb-74988451","Manea-74882656"
"Cbfa2t3-75038485","Sub1-356490"
"Mrc1-74581428","Nprl2-2701"
"Serpinb6a-74425564","Vps39-74047842"
"Fhl2-70743903","Pde3a-71717083"
"Map3k15-73788441","Tcea3-1870"
"Mafb-73771240","Plxna3-1403"
"Ccr1-73718058","Trim28-1071"
"Psmc6-73512205","Robo2-75080998"
"Gpr165-70560278","Hepacam-35"
