gene1,gene2
"Cd4-74819249","Cit-75079801"
"Stard7-74800953","Stx12-70928169"
"Cyp39a1-77874608","Nxph3-356852"
"Rplp0-74047927","Traf2-2691"
"Hdac6-74819462","Kcnj2-79490118"
"Heatr7a-73992940","Kcnj14-67853369"
"Arxes1-45841","Prrg2-276063"
"Dbndd2-45668","Prpsap2-293663"
"Sart3-74819691","Slc22a3-73931644"
"Cdkn1b-112204566","Slc20a2-70231308"
"Dpysl5-73635770","Pole4-75651230"
"E2f4-67855419","Lix1-643"
"Sema4d-945","Ube2g2-1547"
"Fzd9-73907498","Rab1-878"
"Dcc-72472785","Scn1a-77340528"
"Csrp1-2129","Plxnc1-820"
"Kcnj14-67853369","Prox1-73520980"
"Shroom1-1315","Ube2i-45666"
"Efha1-1946","Prpsap2-293663"
"Gabrb3-75551468","Ssr2-121097"
"Ptger4-112203056","Ube2i-45666"
"Agrn-73925722","Entpd2-73732144"
"E2f4-67855419","Ptger4-112203056"
"Bsn-73992923","Lhfp-73769323"
"Tmed3-71015196","Tspan18-74357573"
"Grid1-74724739","Iqgap2-73615573"
"Itpr3-74047776","Kcnj2-79490118"
"Cep72-74988742","Pttg1ip-1956"
"Fam196a-75042244","Tnfrsf25-121096"
"Ccdc85a-75081006","Npnt-71670677"
"Cuedc2-79556640","Rfx7-1998"
"Nsun7-77332090","Rfx7-1998"
"Col19a1-74658066","E2f4-67855419"
"Slc22a3-73931644","Zfp932-75774665"
"Igf2-2313","Ube2g2-1547"
"Epn3-74357584","Tnfrsf25-121096"
"Cbs-1335","Tcerg1-1872"
"Nkd1-74586666","Tm2d3-83167"
"Cdkn1b-112204566","Rasa4-74425552"
"Hars-554","Tm2d3-77414123"
"Col19a1-74658066","Neurod6-698"
"Dpy19l1-75042226","Lhfp-73769323"
"Gprc5a-77414145","Lhfp-73769323"
"Epn3-74357584","Rfx7-1998"
"Kcnj14-67853369","Lhfp-73769323"
"Cd4-74819249","Dbh-326"
"Igf2-2313","Odz4-754"
"C1qc-77340474","Tnfrsf25-121096"
"Cpt1a-1478","Rps15-75774687"
"Ankrd24-80343396","C230081A13Rik-73931624"
"C1qc-77340474","Chrna7-74511738"
"Alg5-75774105","Lhfp-73769323"
"Gabbr2-71247614","Med23-112649261"
"C230081A13Rik-73931624","Cd8b1-73732149"
"Arhgap17-1413","Tm2d3-77414123"
"Adam33-75147767","Cdkn1b-112204566"
"Anapc16-293463","Dhdds-70612728"
"Efha1-1946","Fez2-74272477"
"Lhfp-73769323","Ptrf-73521818"
"Iqgap2-73615573","Lass4-176962"
"9330182L06Rik-75081005","Chrna7-74511738"
"Clcn5-75749741","Tm2d3-77414123"
"Smpd1-67881552","Traf2-2691"
"Dbndd2-45668","Mpzl1-77332711"
"Csrp1-2129","Igsf5-592"
"Epha7-402","Pcp4-772"
"Cdkn1b-112204566","Slc35f2-74819683"
"Cep78-322963","Traf2-2691"
"Gch1-70813921","Tmem176a-75650863"
"Slc22a3-73931644","Tsen34-1944"
"Cpt1c-2117","Slc22a3-73931644"
"Magel2-79591571","Ube2i-45666"
"Il17rb-2317","Nxph3-356852"
"C230081A13Rik-73931624","Postn-77371799"
"Cd4-74819249","Stard8-73521808"
"Ece2-77332686","Tm2d3-77414123"
"Atm-1329","Lypd6b-73635774"
"Cpt1a-1478","E2f4-67855419"
"Magel2-79591571","Rfx7-1998"
"C230081A13Rik-73931624","Kcna1-73994714"
"Magel2-79591571","Tnfrsf25-121096"
"Ctsl-1187","Unc13c-2707"
"Cep78-322963","Ltn1-2747"
"Arxes1-45841","Nrbp2-75774686"
"Dbh-326","Robo1-73521820"
"Cbs-1335","Nsun7-77332090"
"Donson-2157","Slc22a3-73931644"
"Nxph3-356852","Pdgfra-77280309"
"E2f4-67855419","Plcb1-75084969"
"Csrp1-2129","Wrb-1117"
"E2f4-67855419","Tgfb2-77869842"
"Sqrdl-74047907","Ube2i-45666"
"Fam196a-75042244","Zfand3-293694"
"Cdkn1b-112204566","Chat-252"
"Nrbp2-75774686","Ube2i-45666"
"Neurod6-698","Nsun7-77332090"
"C230081A13Rik-73931624","Sqrdl-74047907"
"Filip1l-74363347","Zfp932-75774665"
"Efha1-1946","Gng12-73512194"
"Cdkn1b-112204566","Tmem29-75080656"
"Efha1-1946","Mpzl1-77332711"
"Ankrd24-80343396","Sox2-77280331"
"Col19a1-74658066","Ube2i-45666"
"Dyrk1b-71717583","Tnfrsf25-121096"
"Chrna7-74511738","Grm1-537"
"Pus7-79556638","Rtn3-83161"
"Sqrdl-74047907","Tcerg1-1872"
"Ankrd10-2027","C230081A13Rik-73931624"
"Rer1-323586","Tnfrsf25-121096"
"Kcna1-73994714","Traf2-2691"
"Hdac6-74819462","Ptrf-73521818"
"Gpr137-75651149","Nxph3-356852"
"Efha1-1946","Iscu-74819565"
"Chrna7-74511738","Enpp2-77413700"
"Cbs-1335","Cuedc2-79556640"
"Lrrc38-72340184","Znrf1-74581382"
"Cdkn1b-112204566","Fzd9-73907498"
"Agap3-2089","Chrna7-74511738"
"Cbs-1335","Hbb-77340464"
"Robo1-73521820","Tm2d3-77414123"
"2610017I09Rik-77280584","Pde4dip-1994"
"Arxes1-45841","Chrna7-74511738"
"Gabrb3-75551468","Nkd1-74586666"
"Efha1-1946","Grm1-537"
"C1qc-77340474","Sox2-77280331"
"Fez2-74272477","Sox2-77280331"
"LOC545810-71924492","Rab1-878"
"Neurod6-698","Shroom1-1315"
"Gprc5a-77414145","Kcnj14-67853369"
"Mapk13-2397","Nr1h3-112205214"
"Decr1-74425550","Rab1-878"
"2010300C02Rik-70743898","Rab1-878"
"Nog-75084476","Rfx7-1998"
"Ctsl-1187","Igf2-2313"
"Arxes1-45841","Cep78-322963"
"Mpzl1-77332711","Zfand3-293694"
"Cbs-1335","Sox2-77280331"
"Kcnj2-79490118","Ttc27-74819241"
"Ece2-77332686","Kcnj2-79490118"
"Gpnmb-74581367","Rab1-878"
"LOC381765-74425521","Lhfp-73769323"
"9130024F11Rik-71","Wrb-1117"
"C130060K24Rik-1164","Itpr3-74047776"
"Cd4-74819249","Ptrf-73521818"
"Rab1-878","Tmem29-75080656"
"Arxes1-45841","Rps15-75774687"
"Fzd4-77925095","S100a16-77371787"
"Nr1h3-112205214","Tsen34-1944"
"9330182L06Rik-75081005","E2f4-67855419"
"Ntm-77866868","Rab1-878"
"Cd4-74819249","Eya4-77280436"
"Cd8b1-73732149","Col19a1-74658066"
"Kcnj14-67853369","Plcd3-77414915"
"Ltn1-2747","Shroom1-1315"
"Filip1l-74363347","Gbx2-77868786"
"Ctsl-1187","Ube2g2-1547"
"Atp6v0a2-357094","Epha7-402"
"Arhgap17-1413","Kcnj2-79490118"
"Mpzl1-77332711","Ube2i-45666"
"Kcnj14-67853369","Ttc27-74819241"
"C130060K24Rik-1164","Dpp4-79568049"
"Kcnj2-79490118","St6gal1-74658241"
"Rtn3-83161","Uaca-74800883"
"Cacng8-72108823","Sox2-77280331"
"Clcn5-75749741","Ptrf-73521818"
"Rfx7-1998","Shroom1-1315"
"E2f4-67855419","Tcerg1-1872"
"0610010F05Rik-74957923","Col5a3-74272917"
"Col19a1-74658066","Rer1-323586"
"Dbndd2-45668","Hmox2-75774681"
"Magel2-79591571","Zfand3-293694"
"Cpt1a-1478","Tcerg1-1872"
"Cdkn1b-112204566","Svip-73931622"
"Dbndd2-45668","Ptger4-112203056"
"Cbs-1335","Prrg2-276063"
"Dok1-75042248","Zfand3-293694"
"Nsun7-77332090","Sssca1-79556714"
"Inpp4b-72080054","Iqgap2-73615573"
"Fam196a-75042244","Ltn1-2747"
"Iqgap2-73615573","LOC434368-74819253"
"C230081A13Rik-73931624","Iscu-74819565"
"Filip1l-74363347","Nrtn-741"
"Arxes1-45841","Zmiz1-74988259"
