gene1,gene2
"F3-77280341","Midn-71670739"
"Homer1-1748","Pgrmc2-74882697"
"Hmga1-2295","Mgp-1229"
"Exosc1-2203","Pvalb-79556738"
"Glra4-75551476","Selk-74800903"
"Exosc1-2203","Zdhhc2-72128751"
"2610109H07Rik-74272038","Homer1-1748"
"Dnahc11-73520976","Dynlrb1-323592"
"Cwh43-74819236","Cyp39a1-77874608"
"Aktip-1355","Icosl-1217"
"Dnahc11-73520976","Syt12-79556632"
"Hmga1-2295","Tnni3-1065"
"Armc2-74988750","Rmnd1-77371805"
"Mgp-1229","Slc27a4-1920"
"Ltbp3-76115733","Sh3bgr-1416"
"B3gat2-74658033","Elavl2-72340123"
"Ncdn-684","Pknox1-1401"
"C130060K24Rik-1164","Glud1-503"
"Mpp6-73994666","Slc10a3-74047876"
"Gabarap-2245","Thbs2-73929578"
"Nr1h3-112205214","Opn1sw-75773699"
"Gpr137-75651149","Ttn-74047746"
"Fndc3b-74988759","Gabarap-2245"
"Cwh43-74819236","Pdgfra-77280309"
"Adcy7-2017","Agt-87"
"Ap2s1-71836889","Homer1-1748"
"Bad-74881790","Slc30a3-73788094"
"Pknox1-1401","Tnni3-1065"
"Htr4-72119658","P2ry14-76135748"
"Exosc1-2203","Lrrtm3-73931637"
"BC100451-73615805","Rec8-77278975"
"Fam105a-74819326","Mpp6-73994666"
"BC031181-73718052","Gm5607-72109337"
"Gosr2-67855413","Kcns3-77371817"
"BC031181-73718052","Csrp3-77332671"
"BC057022-72077480","Exosc1-2203"
"Syt12-79556632","Trap1-1966"
"Gosr2-67855413","Sostdc1-77874602"
"Iscu-74819565","Tpm3-275873"
"Scn4b-73636111","Yme1l1-356849"
"Fbln2-321208","Ssr2-77869814"
"Ncdn-684","Pcdh9-10"
"9330182L06Rik-75081005","Tpm3-275873"
"Gng12-73512194","Pls3-355886"
"Camk4-75038464","Homer1-1748"
"Nomo1-1697","Selk-74800903"
"BC057022-72077480","Dynlrb1-323592"
"F2rl1-199391","Serpinb8-293668"
"Chrna2-75551460","Kpna4-2359"
"Homer1-1748","Slc43a2-74425544"
"Adipor1-61210","Gm10413-73929885"
"Cwh43-74819236","Sh3bgr-1416"
"Midn-71670739","Ssr2-77869814"
"Nr1h3-112205214","Ssr2-121097"
"Dbi-71836880","Egflam-74047441"
"Kpnb1-77340472","Nr1h3-112205214"
"Pls3-355886","Postn-77371799"
"Adcy7-2017","Gabrb1-2247"
"Rer1-323586","Scn5a-73907501"
"Fez2-74272477","Pls3-355886"
"Plxna2-77280424","Slc35c2-2615"
"1500002O20Rik-1954","Htr4-72119658"
"Cth-75042264","Drd3-75038431"
"Cdh3-1337","Cnr1-283"
"Camk4-75038464","Nr1h3-112205214"
"Chrna2-75551460","Ogt-758"
"Dynlrb1-323592","Sh3bgr-1416"
"1500002O20Rik-1954","Exosc1-2203"
"Gosr2-67855413","Slc43a2-74425544"
"Mpp6-73994666","Ngfrap1-1786"
"Mgp-1229","Mllt11-89"
"Cwh43-74819236","Dlx5-1450"
"Chrna2-75551460","Tsen34-1944"
"Armc2-74988750","Elavl2-72340123"
"Fgfr1-440","Gtf3c2-7"
"Gosr2-67855413","Spint2-74047774"
"Fam196a-75042244","Mpp6-73994666"
"Satb1-79488931","Tpm3-275873"
"Copb2-1341","Tnni3-1065"
"Cth-75042264","Zdhhc2-72128751"
"Cwh43-74819236","Pip5k1b-77887888"
"Dynlrb1-323592","Tm7sf3-77874614"
