gene1,gene2
"Gng11-1732","Tgfb3-2667"
"Ntrk1-71670679","Tdrd3-77887882"
"Aldh1a2-2025","Dlx1-348"
"Alox12b-72128779","Cdh4-2083"
"C2cd2-1986","Syt7-1035"
"Per1-791","Wif1-74511885"
"Arhgap25-72128789","Pdgfa-1516"
"Agpat3-85","Hoxb13-2299"
"Igsf11-72103820","Sacm1l-74882832"
"Psap-846","Trap1-1966"
"Dyrk1a-79907941","Stat5a-77413690"
"Agap3-2089","Usp16-1886"
"Agap3-2089","Pdgfa-1516"
"Acot7-145","Usp16-1886"
"Rasal2-75147758","Tnfaip8-75038412"
"Hectd2-2002","Suv39h2-1538"
"Atp10a-72128790","Gckr-74274683"
"1500002O20Rik-1954","Yars-1122"
"Agap3-2089","Bcan-154"
"Agap3-2089","Strn-73521824"
"Cx3cl1-2135","Top1-74957897"
"F11r-75773698","Galr2-80517343"
"Cacng7-74750054","Tmem126a-77414913"
"Arhgap25-72128789","Prdx3-70743842"
"Papola-1251","Ralyl-72129250"
"Pdgfa-1516","Ywhaz-1133"
"Gckr-74274683","Uqcrb-323595"
"Pogk-71064277","Stoml2-74581379"
"Hpcal4-73520985","Panx2-74581443"
"Slc35a2-2607","Syt12-1291"
"Acot7-145","Map2k6-73817433"
"Col25a1-71924301","Tdrd3-77887882"
"Nacc2-70743871","Plekha5-70743870"
"Pttg1-293036","Rasal2-75147758"
"Acot7-145","Atp10a-72128790"
"Cep78-322963","Gnat1-2265"
"Acot13-75042252","Ywhaz-1133"
"Cd81-226","Mtap4-71587919"
"Slc16a4-2579","Slc31a1-2603"
"Pcdhac1-73512189","Pogk-71064277"
"Bsg-166","Mrap2-71924480"
"Mrap2-71924480","Rab3ip-71717136"
"Prdx3-70743842","Strn-73521824"
"1110037F02Rik-74988462","Tdrd3-77887882"
"Med8-112196048","Npr1-71670678"
"Irx2-1752","Slc18a1-2583"
"Cmtm4-2101","E2f6-2173"
"Map2k6-73817433","Rab3ip-71717136"
"Bmp7-2065","Gm5083-73930833"
"Col25a1-71924301","Tomm20-74819230"
"Hpse-77340468","Mrap2-71924480"
"Pdzrn3-71836787","Sema4g-71587856"
"Gprasp1-70743888","Tmem130-73930834"
"Agap3-2089","Map2k6-73817433"
"Med8-112196048","Tomm20-74819230"
"Pdzrn3-71836787","Pmm1-67936010"
"Mapre2-659","Pvr-119504"
"2610017I09Rik-77280584","Iqcj-74272918"
"Khdrbs3-73769321","LOC433093-71924514"
"Htr5b-71247644","Zfp790-356855"
"B3gat1-73818755","Marcksl1-670"
"LOC433093-71924514","Mfsd2a-77280315"
"Cd8b1-73732149","Iqsec3-73636153"
"Dkk1-2149","Hspa4l-75749390"
"Hsd11b1-73520987","Zfpm2-75651162"
"Med8-112196048","Tdrd3-77887882"
"Negr1-692","Prl2c2-75077152"
"Fgfr4-1581","Ptprv-73817436"
"Fem1a-2212","Rab3ip-71717136"
"Chst1-71836872","Sacm1l-74882832"
"Agpat3-85","Slc29a1-1838"
"Hoxb13-2299","Sbf1-276264"
"Pdcl-324213","Rfx1-77371867"
"Dlx5-1450","Slc35b2-2613"
"Miat-72340194","Smarca2-76085747"
"B4galt3-357099","Cds2-250"
"Impg1-2321","Mapre1-2401"
"Epn3-74357584","Strn-73521824"
"Ascl2-1156","Gng11-1732"
"Emb-73930836","Lhx6-635"
"Gckr-74274683","Papola-1251"
"Epn3-74357584","Nacc2-74641266"
"Gata2-100","Il17rb-2317"
"Dnajb12-2153","Gfap-1357"
"Pdzd2-74988286","Tomm20-74819230"
"Barx2-2057","Bmp7-2065"
"Otp-2454","Ywhaq-1130"
"Bsg-166","Plxnb2-1263"
"Cd164-75749771","Prdx4-74819229"
"Hdc-71016663","Tomm20-74819230"
"Adamts17-71924431","Rcan2-71064278"
"F11r-75773698","Stoml2-74581379"
"P2rx3-75888751","Tomm20-74819230"
"Ptprv-73817436","Slc19a2-2585"
"Mex3d-75041562","Susd4-75774678"
"2310042E22Rik-74357582","Mex3d-75041562"
"Pde4d-1259","Ugp2-2705"
"Snx33-74882525","Tmem11-75043144"
"Frmpd1-73520978","LOC620538-73907504"
"Kifc2-614","Myo5c-75042249"
"Hsp90b1-75042251","Zmym2-73925714"
"Igsf11-72103820","Pdzrn3-71836787"
"Pmaip1-823","Slc35a2-2607"
"Eps8l1-1707","Gmfb-1726"
"D830030K20Rik-73930807","Trim28-1071"
"Negr1-692","Slc25a5-2591"
"Rfx1-77371867","Slc39a3-2619"
"Cct2-356082","Hoxb13-2299"
"Acot13-75042252","Pxn-1814"
"Arhgap17-1413","Nprl2-2701"
"Cdk14-71670684","Zfp790-356855"
"Chga-2093","Glul-74988768"
"Agtr1a-2021","Rela-2523"
"Cspg5-73931385","Hspa4l-75749390"
"D830030K20Rik-73930807","Rbm18-356083"
"Col18a1-287","Grin1-1585"
"Yars-1122","Ywhae-2739"
"Ntrk1-71670679","Tomm20-74819230"
"Dyrk1a-79907941","Tmem64-77414589"
"Col12a1-73817431","Negr1-692"
"Usp16-1886","Wnt7a-1936"
"Chst1-71836872","Eef1b2-75934526"
"Pdzd2-74988286","Rasal2-75147758"
"Eef1b2-75934526","Pogk-71064277"
"Lrp5-653","Pvr-119504"
"Rfx1-77371867","Stoml2-74581379"
"Acot13-75042252","Fem1a-2212"
"P2rx3-75888751","Rasal2-75147758"
"Dennd5a-1526","Hsp90b1-75042251"
"Eif2d-323588","Slc22a23-72128754"
"Cnih2-2109","Leprel4-2547"
"Mrap2-71924480","Uqcrb-323595"
"Cmtm4-2101","Mocs1-323590"
"2310042E22Rik-74357582","Nhlh2-74657929"
"Asgr1-2047","Copg-67779873"
"Dyrk1a-79907941","Pogk-71064277"
"Cct2-356082","Trpc4-1305"
"Cds2-250","Ldlrap1-2010"
"Lynx1-655","Slc6a9-1420"
"Bcan-154","Bsg-166"
"Prkag2-29","Rpn2-906"
"Gpr18-71015809","Pogk-71064277"
"Acyp2-73930820","Heatr7a-73992940"
"Hist1h2bc-560","Rtn2-909"
"Kctd16-73636009","Tdrd3-77887882"
"Npr1-71670678","Thsd7a-71924155"
"Chst1-71836872","Pogk-71064277"
"Pbx3-76085744","Stoml2-74581379"
"Kcnc4-1756","Trpc4-1305"
"Ntrk1-71670679","Rasal2-75147758"
"D830030K20Rik-73930807","Stx1a-2645"
"Barx2-2057","Ppm1g-2499"
"Brd8-1673","Homer3-356087"
"Pogk-71064277","Sox11-79912528"
"Ddn-73636031","Zfp790-356855"
"Palm3-74958547","Pogk-71064277"
"Hdc-71016663","Tdrd3-77887882"
"Atp5s-323589","Cacng7-74750054"
"Gnao1-506","Lrrn3-75041464"
"B630019K06Rik-74881160","Tomm20-74819230"
"Crispld1-72077456","Tomm20-74819230"
"Eif2ak3-2181","Ywhae-2739"
"Med8-112196048","Rasal2-75147758"
"Bag1-75043147","Tcf25-293034"
"Chst1-71836872","Mrpl39-673"
"Gckr-74274683","Top1-74957897"
"Smarca2-1972","Zfp790-356855"
"Stoml2-74581379","Strada-74819330"
"Pla2g16-112650769","Rasal2-75147758"
"Pogk-71064277","Terf2ip-112196711"
"Fem1a-2212","Hpse-77340468"
"Nfix-77413698","Pdzrn3-71836787"
"Gpr146-2059","Mtrr-2413"
"Atp10a-72128790","Pdgfa-1516"
"Tomm20-74819230","Zfp790-356855"
"Nrsn1-71358557","Papola-1251"
"Clip2-2137","Rwdd2b-1587"
"Aqp2-112195601","Pole4-75651230"
"Cpe-1691","Tomm70a-320"
"Ly6e-79587728","Smarca2-76085747"
"Eps8l1-1707","Rora-2537"
"Eef1b2-75934526","Rasal2-75147758"
"Gad1-479","Lhx2-2375"
"Iqcj-74272918","Tbp-67850950"
"Gpr85-1738","Lrrc4-75041463"
"Arhgap25-72128789","Map2k6-73817433"
"Chrm3-2095","Usp16-1886"
"Galnt13-72472803","Iqcj-74272918"
"Cyb5-75043146","Gm17746-73931423"
"Actr2-67","Gabrg2-474"
"Sncg-72081426","Tmsb10-73521810"
"Acot13-75042252","Epn3-74357584"
