gene1,gene2
"Tcf19-2659","Ttbk2-75147759"
"Bcl6-75651139","Wnt4-1444"
"D930028M14Rik-73512190","Homer3-356087"
"Hes3-2287","Trem2-67870433"
"Tomm70a-320","Wnt3-2731"
"Calb1-71717640","Zfp365-73929873"
"Kdelr1-130912","Rtn2-909"
"Dbp-1193","Il17rd-74958537"
"Cyp26b1-79568022","Gca-74641159"
"Camkk2-70743899","Supt5h-2647"
"Lrrtm3-73931637","Tat-2657"
"Cdca7-26","Il11ra1-2315"
"LOC433740-77340490","Mylk3-73992942"
"Ccng1-324210","Lhcgr-77869818"
"Clic6-1984","LOC433740-77340490"
"Clk2-356286","Kirrel3-71920516"
"Atp10a-72128790","Mef2c-667"
"Creb3l1-112197858","N4bp2-74363354"
"2610019F03Rik-74724511","Srgap3-316"
"Col27a1-74272916","Dpysl4-1345"
"Gm6740-1902","Il17rd-74958537"
"Prrg2-276063","Smpd4-75651226"
"Hnf4a-1746","Slc35c2-2615"
"Hes3-2287","Kirrel3-71920516"
"Ciao1-2051","Pafah1b1-2460"
"Col16a1-74273122","Kcnmb4-72283793"
"Ctps-1185","Notch3-1788"
"Otp-2454","Slc8a1-73512193"
"Gpr89-67881554","Sema3c-939"
"Dcaf4-2717","Hcrtr2-80517329"
"Hcrtr2-80517329","LOC545352-74988758"
"Mrpl12-70743841","Pwp2-112645814"
"Hmx3-74641309","Stat1-2635"
"Eif4a3-2143","Runx2-1278"
"C130018E23Rik*-75144623","Nudc-2442"
"Rora-2537","Smpd4-75651226"
"Cdkn2b-1476","Galns-70612726"
"Otud6b-83158","Rassf4-74988636"
"Pitrm1-74273117","Serpini1-963"
"Ptprt-866","Tsc22d4-1464"
"Eif2ak3-2181","Tmeff1-1299"
"Gm10413-73929885","Sprr1a-1534"
"Scube3-74988656","Slc6a6-1850"
"D0H4S114-72472773","Pwp2-112645814"
"Gng3-1209","Pot1b-73925715"
"Smpd4-75651226","Tat-2657"
"Slc26a7-2595","Svil-77332748"
"Rspo1-73636101","Sigmar1-112196265"
"Stc1-2639","Vim-79907904"
"2010300C02Rik-70743898","Pparg-2495"
"Gls-500","Gpr89-67881554"
"F3-77280341","Rgs4-1569"
"Gnrh1-75080152","Grb7-112204995"
"Rftn1-71920515","Sp8-74272904"
"Brd8-1673","Kctd16-73636009"
"Tcf19-2659","Zmiz1-74988259"
"Anln-33","Sec14l1-74988453"
"Cds2-250","Slc39a3-2619"
"Gca-74641159","Mif-2407"
"Nfia-1239","Rgs4-1569"
"Ctps-1185","Inpp1-67870434"
"Gnaz-1730","Srgap3-316"
"Ciao1-2051","Gm6740-1902"
"Mrpl12-70743841","Nr2f1-720"
"Eif5a-2183","Sec14l1-74988453"
"Frrs1-2557","Wnt7b-1113"
"Chga-2093","Stx1a-2645"
"Ano1-1472","Kcnab2-1754"
"Pgrmc1-2478","Sox9-1422"
"Nkiras2-2429","Scarb1-2551"
"5330421K23Rik*-75043138","Ptcd2-77414563"
"B4galt6-2055","Gm4887-73931418"
"Arl15-74363341","Med8-112196048"
"Cck-200","Nr2f1-720"
"Kcnj15-2339","Zfand5-1140"
"Efna5-383","Ppp1r1a-75773706"
"Gpr139-79490116","Rarg-130913"
"A130014H13Rik-75041574","Sdccag3-2075"
"Lhcgr-77869818","Rara-1528"
"Ifnar1-588","Slc35b4-75774107"
"Gng7-1734","Synpo-75080644"
"Alkbh6-77414882","Pdxk-788"
"Psmc2-356850","Slc12a2-74882926"
"Col16a1-74273122","Tulp4-2699"
"Rara-1528","Usp25-2713"
"Cryaa-2127","Rara-1528"
"Rpf2-293465","Syngr3-1860"
"Pitx1-199398","Tmem47-75081394"
"D8Ertd82e-73931630","Ppp1r1a-75773706"
"Gpr139-79490116","Ipo4-74658174"
"Pir-67870113","Ptgds-851"
"Guk1-2279","Kcnmb4-72283793"
"Ephb3-1492","Ppp1r1a-75773706"
"Axin2-74819487","Tnfrsf1a-2689"
"Snd1-77869128","Taf1d-1317"
"Enox2-70928339","Il11ra1-2315"
"Serpinb1b-544327","Slc2a3-1840"
"Plcz1-74988296","Rbbp6-170"
"Rgs16-1567","Syt4-2651"
"Pitx2-79556607","Tcf4-1044"
"Hmga1-2295","Stat1-2635"
"Bdnf-79587720","Nkx2-1-74988460"
"1500002O20Rik-1954","Stc1-2639"
"Cdh13-234","Lrrtm3-73931637"
"Pigy-276271","Traip-77887842"
"Galns-70612726","Gm10413-73929885"
"Cda-74425539","Odz3-752"
"Agtr1b-74724627","Scarb1-2551"
"Rprm-75651169","Wnt7b-1113"
"Frrs1-2557","Lhx8-2379"
"Fgf13-427","Rcsd1-75934525"
"Pdyn-71717084","Vezt-74819329"
"Spata2l-73817441","Wnt4-1444"
"Clk2-356286","Med24-2675"
"Pdlim2-2476","Prkch-73520406"
"Alg5-75774105","B3gnt2-75988600"
"Mef2c-667","Nrgn-69153759"
"Fgf13-427","Ptprt-866"
"Grb7-112204995","Pparg-2495"
"Efna5-383","Tcf19-2659"
"Ciao1-2051","Tmem47-75081394"
"LOC545352-74988758","Nid1-75084474"
"Sema3c-939","St3gal3-2567"
"Ankrd54-1677","Rest-112645169"
"Synpr-1862","Txnip-1084"
"Sept5-958","Sf3a2-74882916"
"Nr2f1-720","Pwp2-112645814"
"Glrx-73931409","Zmiz1-74988259"
"Matn4-77371795","Tnrc6a-314"
"Pfn2-1261","Syt4-2651"
"Alg5-75774105","Pwp2-112645814"
"Prpsap2-293663","Sh2b3-1633"
"Gnrh1-75080152","Ngef-72119591"
"Nr2e3-2434","Tac2-77279001"
"Ankrd54-1677","Gpr139-79490116"
"Sprr1a-1534","Srgap3-316"
"Arnt2-71358590","Mrpl12-70743841"
"Ppp1r1a-75773706","Scnn1g-1918"
"Gss-74273307","Sart3-74819691"
"Fxyd5-74819694","Tbc1d1-71670698"
"Bcl6-75651139","Nr2f1-720"
"Folr2-1717","Pafah1b1-2460"
"Gdi2-491","Med8-112196048"
"Rasal2-71670719","Sart3-74819691"
"Adipor1-61210","Slc25a25-544516"
"Ndufv3-12","Scube3-74988656"
"Oprm1-79912572","Sec14l1-74988453"
"Cdkn1a-2085","Sssca1-79556714"
"Syt12-1291","Tsc22d4-1464"
"Nxf7-75988557","Pcp2-77413702"
"Creb3l1-112197858","Hkdc1-70634299"
"ND3-675","Rbbp6-170"
"Crhr1-297","Rfxank-67881545"
"Fbxo2-2210","Tmem86b-72472763"
"Ldlr-1766","Phox2b-2480"
"Cck-200","Thpo-2671"
"Ptprt-866","Stx1a-2645"
"Chrnb2-2097","Oxtr-75081001"
"Med8-112196048","Zfp61-75749409"
"Spata2l-73817441","Tpbg-76085743"
"Acvrl1-79488929","Trappc10-1063"
"Frrs1-2557","Pax6-764"
"Abcd1-356086","Prkch-73520406"
"Ghitm-1207","Prpsap2-293663"
"Madcam1-2389","ND3-675"
"Fez2-74272477","Wdr31-2719"
"Ccng1-324210","Rbbp6-170"
"Impact-594","LOC433254-72108822"
"Gdi2-491","Mmgt1-77414585"
"Ptcd2-77414563","Slco1a5-67850945"
"Dok4-1486","F3-77280341"
"Ccnl2-211","Glrx-73931409"
"Odz3-752","Otc-74581369"
"Clk2-356286","Prlr-1268"
"Tecr-544902","Tmeff1-1299"
"Gm6740-1902","Sart3-74819691"
"Cd33-75043153","Edc3-77414911"
"Ccnl2-211","Fam105a-74819326"
"Med24-2675","Plxdc1-814"
"Garnl3-73994668","Syt6-1032"
"Ergic1-1952","Kcnh3-74641310"
"Ipo4-74658174","Syt2-1023"
"Cdca7-26","Phyhip-544328"
"Spata2l-73817441","Ttbk2-75147759"
"Col27a1-74272916","Ghitm-1207"
"Sema3c-939","Syt13-1864"
"Per2-793","Tnfrsf1a-2689"
"Ryk-2541","Sema3c-939"
"Gabra6-75551467","Supt5h-2647"
"Hmg20a-357093","Igfn1-75988547"
"Gpr146-2059","Wdr31-2719"
"Ephb6-2191","Serpinb1b-544327"
"Szt2-1446","Wdr31-2719"
"Cer1-2091","Zfp61-75749409"
"Gli3-1615","Palmd-74581442"
"Magel2-79591571","Otud6b-83158"
"Stc1-2639","Tmem90b-73931426"
"Fam78b-72472750","Mtpn-2411"
"Chrna4-1173","Pitrm1-74273117"
"Slco1a5-67850945","Srsf9-75043152"
"Fez2-74272477","Lman2-73718047"
"Prrg2-276063","Tbc1d1-71670698"
"Enox2-70928339","Srgap3-316"
"C130018E23Rik*-75144623","Ntf3-2440"
"Kcnj15-2339","Snd1-77869128"
"Abhd8-2012","Prkch-73520406"
"Mapre2-659","Scube3-74988656"
"Cck-200","Prlr-1268"
"Ano2-71587834","Ddx3x-337"
"Btd-2069","Slc6a6-1850"
"Ptprt-866","Wnt4-1444"
"Sobp-71920521","Spata13-73997152"
"Itgb5-71920512","Syt12-1291"
"Raf1-1816","Supt5h-2647"
"Gpr171-1713","Pmp22-825"
"Lancl3-73925716","Nrip1-739"
"Ascl5-ps-74988285","Ptcd2-77414563"
"D0H4S114-72472773","Rasal2-71670719"
"Rnf19a-73931414","Txnip-1084"
"E4f1-1199","Matn4-77371795"
"Sytl5-73930809","Tcerg1-1872"
"Aqp9-2037","Prpsap2-293663"
"Edc3-77414911","Inpp1-67870434"
"Hmg20a-357093","Hs3st1-2305"
"Lhx6-635","Sema3c-939"
"Greb1-71924412","Tfap2a-2661"
"Ddx3x-337","Ptprt-866"
"Mcm3ap-665","Snd1-77869128"
"Ephb3-1492","Lynx1-655"
"D0H4S114-72472773","Irf9-2329"
"Fam105a-74819326","Fgf13-427"
"Arhgef2-2043","Tmeff1-1299"
"Ppp1r3b-75084111","Rcsd1-75934525"
"Serpinb1b-544327","Vtn-67752116"
"Cck-200","Clk2-356286"
"Nkx2-1-74988460","Nrgn-69153759"
"Phf6-72080044","Ybx1-743"
"Nr1d1-1243","Rest-112645169"
"Hdc-71016663","Higd1a-2291"
"Dcn-329","Rnf19a-73931414"
"Runx2-1278","Serpinb8-293668"
"Vsx2-1687","Zmiz1-74988259"
"Cyp26b1-79568022","Syt3-1026"
"Clk2-356286","Sfrp1-2563"
"Lxn-72340108","Plxnb3-1265"
"Alkbh6-77414882","Ascl5-ps-74988285"
"Ccdc37-74581372","Ccnl2-211"
"LOC545352-74988758","Usp25-2713"
"Slc41a3-73512484","Tbck-79567760"
"Ifngr2-1460","Prdx4-74819229"
"Etv6-1353","Slc26a7-2595"
"Dtnbp1-75651202","Rcsd1-75934525"
"Arl15-74363341","Pde11a-75081007"
"Crhr1-297","Greb1-71924412"
"Eif5a-2183","Ttc3-1079"
"Gpr126-73520982","Mdk-1227"
"Atxn1-932","Mapre2-659"
"Madcam1-2389","Slco4a1-2625"
"Fgf13-427","Hes3-2287"
"Ifngr2-1460","Serpinb1b-544327"
"Hunk-2307","Mef2c-667"
"Dbi-71836880","Gm4887-73931418"
"Prkcb-72129247","Supt5h-2647"
"Pfn2-1261","Trim9-1074"
"Alg5-75774105","Ubxn11-322"
"Limk1-640","Tm7sf3-77874614"
"Slc19a2-2585","Tcf19-2659"
"Lypd6b-73635774","Sec14l1-74988453"
"Pwp2-112645814","Thap1-44"
"Ephb3-1492","Folr2-1717"
"B4galt6-2055","Pigy-276271"
"LOC433740-77340490","Rassf4-74988636"
"A130014H13Rik-75041574","Il11ra1-2315"
"Cmtm3-2099","Eif4a3-2143"
"Ano2-71587834","Ptpn2-77413686"
"Alg5-75774105","Hmx3-74641309"
"Wif1-1111","Zmiz1-74988259"
"9130024F11Rik-51","Rgs19-112203487"
"Cdkn2c-1683","Ttll6-74363338"
"Ltbp3-76115733","Mmp15-1383"
"Pafah1b1-2460","Serpinb1b-544327"
"Mdk-1227","Omg-2450"
"Prrg2-276063","Usp48-149"
"Mef2c-667","Sema3f-72007563"
"Galns-70612726","Psap-846"
"Arnt2-71358590","Tbc1d1-71670698"
"A830073O21Rik-74819036","Esyt3-72472780"
"Cdkn2c-1683","Nxph3-356852"
"Lrrtm3-73931637","Trim25-1545"
"Hepacam-35","Sema3c-939"
"Arf1-199390","Cck-200"
"Cdh24-70231307","Tmem176b-77866852"
"Cd47-357100","Rassf4-74988636"
"Fam195a-1996","Sh2b3-1633"
"Gpc4-1617","Gpr171-1713"
"Ciao1-2051","Zbtb48-1940"
"Cdh6-238","Drd1a-352"
"Cdkn1a-2085","Mafb-73771240"
"Gdi2-491","Slc5a1-2621"
"Arnt2-71358590","Prrg2-276063"
"Etv6-1353","Nr1h3-112205214"
"Cck-200","Szt2-1446"
"Ephb3-1492","Tsc22d4-1464"
"Scube3-74988656","Ucn3-1091"
"Clk2-356286","Tbc1d1-71670698"
"Ddx3x-337","Prnp-1405"
"B3gat2-74658033","Nrgn-69153759"
"Aktip-1355","Lrsam1-74583161"
"Gnat1-2265","Ubxn11-322"
"Gss-74273307","Lypd6b-73635774"
"2610019F03Rik-74724511","Phyhip-544328"
"Agpat3-85","Trem2-67870433"
"Cldn1-70612723","Txnip-1084"
"Cnr1-283","Lrrtm3-73931637"
"Arf1-199390","Ddx3x-337"
"Reep5-2159","Slc35b4-75774107"
"Rcsd1-75934525","Serpina3n-75043155"
"Btg2-72283802","Pdlim2-2476"
"Hcrtr2-80517329","Hgf-558"
"Nrf1-2438","Scube3-74988656"
"Gnaz-1730","Tmem218-1960"
"Garnl3-73994668","Nrgn-69153759"
"Ano1-1472","Dmrt3-74819342"
"C130060K24Rik-1164","Cdkn1a-2085"
"Dkk1-2149","Trem2-67870433"
"Kcnab2-1754","Spata2l-73817441"
"ND3-675","Sfn-2561"
"Gli3-1615","Kcnh3-74641310"
"Ndufv3-12","Phyhip-544328"
"Dtnbp1-75651202","Ghitm-1207"
"Chrnb2-2097","Thap1-44"
"Nfia-1239","Tyr-2703"
"Otud6b-83158","Phox2b-2480"
"Pitx2-79556607","Tnrc6a-314"
"Gdf1-75081205","Igf2-2313"
"Lypd6b-73635774","Rasal2-71670719"
"Anln-33","Thbs4-77874596"
"Rbbp6-170","Tulp4-2699"
"Gpc4-1617","Slc8a1-73512193"
"Kcnh3-74641310","Spata2l-73817441"
"Rest-112645169","Scube3-74988656"
"Dtnbp1-75651202","Tmem218-1960"
"Hoxd9-1623","Sec14l1-74988453"
"Magi1-73519705","Stat1-2635"
"Nr1d1-1243","Scarb1-2551"
"Crym-73592526","Dph2-2161"
"Ankrd54-1677","Anxa6-77332100"
