Gene1,Gene2
"Hpcal1-74581395","Mtap1a-76115734",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Hgf-77867710","Sccpdh-73635772",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Phospho1-71670685","Serpinb8-293668",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"2010111I01Rik-71717630","Hpcal1-74581395",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gm12429-77340488","Ssrp1-74819346",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Kank2-112644736","Odz3-79908833",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cpt1a-1478","Pde4dip-1994",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Apbb1-2033","Syt4-2651",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Sap30l-73907495","Shb-71670695",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Mtap-79568030","Stc1-2639",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"2010111I01Rik-71717630","LOC235953-73931419",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fam46a-75042237","Pcnt-1255",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Creb3l1-112197858","Nkx2-1-74988460",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Hes1-556","Hip1-2293",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Pls3-355886","Tspo-79556668",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Lhx4-2377","Lix1-643",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"D930028M14Rik-73512190","Glra1-72108824",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fkbp10-2220","Zim2-76135811",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"9830001H06Rik-77340458","Csrp2bp-276275",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Icam5-73520989","Tmc1-75041514",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"9830001H06Rik-77340458","Mtap1a-76115734",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Pcnt-1255","Zbtb20-79568020",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ctla4-75079745","Etv1-72119595",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cyr61-80343407","Insrr-71670480",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Slc6a4-79591679","Tex261-74047919",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Matk-76135823","Ppp1r1a-75773706",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
