Gene1,Gene2
"Epha1-74640882","Vti1a-74641238",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Acan-77869840","Dbi-71836880",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Dnahc11-73520976","Eif3j-321196",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Insrr-71670480","Slc35f2-74819683",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Alg14-75081004","Insrr-71670480",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Slc6a4-79591679","Tbl3-77413694",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Apc-74881517","Syt4-2651",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Klf7-112202624","Nkx2-1-74988460",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Insrr-71670480","Syt4-2651",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Shb-71670695","Tex261-74047919",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Bmp3-72472749","Fam124a-72472790",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fkbp10-2220","Gabre-75749417",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cdh13-77869863","Ntf5-1393",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"2010300C02Rik-70743898","Rfx4-71249068",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cd97-112646460","Col16a1-74273122",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Decr1-74425550","Fzd9-73907498",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Trp53-67855414","Zfp365-73929873",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Kcnj9-72119580","Vti1a-74641238",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ptn-2507","Syt4-2651",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Decr1-74425550","Vti1a-74641238",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Mtap1a-76115734","Rasa4-74425552",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Pcp2-79490073","Slc17a7-70436317",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fkbp10-2220","Pde11a-75081007",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gpnmb-74581367","Slc6a4-79591679",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Dlx3-350","Serinc1-77413696",[307]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
