Gene1,Gene2
"Map2k4-276073","St8sia6-73929596",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Fbxw7-72128750","P2rx2-75551473",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mylk3-73992942","Pak6-75084501",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ephb1-72077478","Golga7b-76097699",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cblb-74988451","LOC380720-73931422",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Med8-112196048","Tbl2-1868",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"B230362M20Rik-77340460","Pde5a-73931641",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kctd16-73636009","Pcdhac1-73512189",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Lyst-73994715","Neurl1a-73769327",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Aars-74641317","Col5a1-75147768",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Klhl36-77371861","Zim2-76135811",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"C130096N06Rik-73635978","Ddit4l-71836878",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Avil-72340234","Nr5a1-734",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"B230362M20Rik-77340460","Sox14-73636036",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Accn4-71924089","Kcnj4-74357568",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Palm3-74958547","Rasgrp1-76115742",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Baz1a-73635977","Uggt1-74957909",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ankrd34c-72472747","Pomc-2493",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Tmem109-74988461","Vamp1-75651233",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Camk1d-73992927","Ddit4l-71836878",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC214238-74988751","Pitx2-79556607",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"B630019K06Rik-74881160","Cstf2-2131",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Aars-74641317","Kank4-76085741",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Col25a1-71924301","Palm3-74958547",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Crhr1-297","Zim2-76135811",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Nup93-75774679","Rcsd1-75934525",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kank4-76085741","Stxbp2-75774667",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Adssl1-72104185","Jdp2-73930842",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Alg2-73931383","Fh1-355890",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pomp-75774685","Prss39-74749944",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"9030425E11Rik-71924353","Magix-74581446",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Chrm5-75826557","Pip4k2c-799",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Slc6a7-71016653","Zfp365-73929873",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Slc7a6-293662","Tfam-67936016",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Fbxw7-72128750","Rnf152-75043151",[852]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
