Gene1,Gene2
"Ntf5-1393","Zfp790-356855",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med8-112196048","Yme1l1-356849",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Itgb5-71920512","Scube3-74988656",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdc27-293466","En2-74988733",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dbi-71836880","Gdf1-75081205",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Kcng1-77340480","Ybx2-75080250",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dkk1-2149","Irx2-1752",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Edc3-77414911","Rabep2-1970",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Ifnar1-588",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cpe-1691","Sytl3-2653",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gldc-77887886","Otc-74581369",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Tnfaip8-75038412","Yme1l1-356849",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Kitl-616","Lhcgr-77869818",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Sart3-74819691","Scube3-74988656",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pitx1-199398","Ramp1-1912",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rfx1-895","Syt3-1026",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Gnal-71670716",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Atp5h-77371785","Ppp1r7-832",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Yme1l1-356849","Zfp790-356855",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnao1-506","Srgap3-316",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med24-2675","Wif1-1111",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Hmgcr-75079789","Slc25a25-544516",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnao1-506","Vsx2-1687",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bpgm-77414641","Susd2-75146000",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gm261-73636032","Gnal-71670716",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnat1-2265","Syt3-1026",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cep72-74988742","Pou2f1-1563",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Nrgn-69153759",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cx3cl1-2135","Papola-1251",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","LOC434300-75988611",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Otp-2454","Wnt3-2731",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cds2-250","Kcnc4-1756",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myc-112194721","Pip4k2c-799",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc22a23-72128754","Zfp790-356855",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Nin-76115736",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pou2f1-1563","Ppp1r7-832",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"C130018E23Rik*-75144623","D0H4S114-72472773",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lzic-276064","Prpf6-67850946",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","N4bp2-74363354",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Galr2-80517343","Slc12a2-74882926",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"B3gnt2-75988600","Ttll6-74363338",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Accn4-71924089","Bcl6-75651139",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dkk1-2149","Stx1a-2645",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med8-112196048","Tnfaip8-75038412",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med24-2675","Tcf19-2659",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdh13-77869863","P2rx3-75888751",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Sox2-77280331","Tacr1-79591721",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
