Gene1,Gene2
"Cdkn1a-2085","Foxi1-2232",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gcg-75749416","Ldhd-74425554",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cry2-302","Dkk1-2149",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Arnt2-71358590","Fxyd5-74819694",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gpr126-73520982","Ninj1-71670490",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Ankrd54-1677","Rela-2523",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Ero1lb-72340145","Il4ra-77413692",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"A830073O21Rik-74819036","Plxnc1-820",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Alkbh6-77414882","Arhgap17-1413",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Aff4-2363","Crhr1-297",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Lims2-75145999","Myo10-74743255",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Slc41a3-73512484","Tacr1-79591721",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Col15a1-74511791","Gng2-67936006",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gjb5-2259","Syt4-2651",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Mif-2407","Wash-1796",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gls-500","Plk2-74743272",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cpe-1691","Junb-2335",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Anln-33","Trem2-67870433",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cnr1-283","E2f4-1195",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Hmga1-2295","Wnt4-1444",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pitx2-79556607","Srsf9-75043152",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cd33-75043153","Slc7a6-293662",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Kcne3-2337","Papola-1251",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Il17rc-2319","Ngef-72119591",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Ramp1-1912","Rtn2-909",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Oxtr-75081001","Per1-791",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Atxn1-932","Chrnb2-2097",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Sema7a-955","Tmem215-73636150",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Prrg2-276063","Ptpn18-2509",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gm10413-73929885","Nr1h3-112205214",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Rela-2523","Syt2-1023",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Polr1e-75774108","Traip-77887842",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"2610019F03Rik-74724511","Sart3-74819691",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Mapre2-659","Pfn2-1261",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cd47-357100","Mylk3-73992942",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Atxn1-932","Wif1-1111",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Chat-252","Zfp280c-1669",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Lman2-73718047","Ninj1-71670490",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Bcl11a-71836837","Glra1-72108824",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pfkl-795","Satb1-927",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gng3-1209","Raf1-1816",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Rpf2-293465","Sdccag3-2075",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"B4galt3-357099","Ptgds-851",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cnr1-283","Slc26a8-2597",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"N4bp2-74363354","Sema7a-955",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Rasgrp1-76115742","Tmem33-356284",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Aqp9-2037","Rara-1528",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Heg1-74958616","Zmiz1-74988259",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Arf3-655120","Prune2-57",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Ptpn2-77413686","Tac2-77279001",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"LOC434300-75988611","Nrip1-739",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Magix-74581446","Ostf1-73907505",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cnih2-2109","Nkiras2-2429",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dlx5-1450","Htr2b-79556708",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pam16-2391","Synpr-1862",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pcp4-772","Tmc6-77887880",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Actr2-67","Rtn2-909",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Clec11a-112195815","Srsf9-75043152",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Efna1-1347","Gabra6-75551467",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Snd1-77869128","Stmn4-1006",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pmaip1-823","Rab6a-74047909",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Junb-2335","Polr1e-75774108",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Irf9-2329","Sh2b3-1633",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
