Gene1,Gene2
"Grik4-75551478","Otc-74581369",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Chat-252","Fhdc1-73925717",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Gnal-71670716",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","LOC434300-75988611",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc12a2-74882926","Tnfaip8-75038412",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"0610010F05Rik-74957923","Meis3-74047845",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ntf5-1393","Zfand3-77414923",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Srsf9-75043152",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dnajb12-2153","Olfml2b-1980",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rassf4-74988636","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Epdr1-74881156","Usp14-74881157",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"LOC434300-75988611","Slco1a5-67850945",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fgf13-427","Slc11a2-2571",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Acan-77869840","Gpr151-74724649",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Klf7-112202624","Srsf9-75043152",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ppp2r3d-77414925","Susd4-75774678",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"LOC381355-71924491","Rfxank-67881545",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Eps8l2-74658244","Nol4-76115737",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Apln-67850953","Khdrbs3-73769321",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Creb3l1-112197858","Pitx2-79556607",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Acan-77869840","Ccdc85a-75081006",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Gm261-73636032",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
