Gene1,Gene2
"Insrr-71670480","Mdk-1227"
"Cntfr-75651138","Stk24-73635773"
"Dpysl5-73635770","Insrr-71670480"
"Chat-252","Mdk-1227"
"Ptgs2-71016664","Zscan22-247974"
"Eomes-80516770","Lass4-176962"
"Serinc1-77413696","Shb-71670695"
"Cyhr1-77414565","Pde11a-75081007"
"Atp6v0a2-357094","Gabrr2-79589524"
"1200011I18Rik-77414569","Tbl3-77413694"
"Sigmar1-112196265","Tmem109-74988461"
"AW046396-72340236","Khdrbs3-73769321"
"Lct-73931621","Slc6a2-73615562"
"Apc-74881517","Fzd9-73907498"
"Dhrs3-112650553","Inpp4b-72080054"
"Csf2rb2-73992937","Vdr-112204135"
"Cadm2-73635999","Hapln1-77332706"
"Cd97-112646460","Nr1h3-112205214"
"Avil-72340234","Stra6-75041492"
"Filip1l-74363347","Gdf1-75081205"
"Anxa1-70813897","Cxcl12-79907936"
"Avil-72340234","Fbxw7-72128750"
"LOC434368-74819253","Tmem204-73769320"
"Ifnar1-588","Pacsin1-74047926"
"Nr1h3-112205214","Traip-77887842"
"BC005537-321201","Slc6a2-73615562"
"Gpr88-79567811","Tm2d3-77414123"
"Ccdc37-74581372","N4bp2-74363354"
"Fbxw2-355882","Gm12429-77340488"
"Atp6v0a2-357094","Pot1b-73925715"
"LOC235953-73931419","Tex261-74047919"
"Ccdc37-74581372","Chat-252"
"Ccdc85a-75081006","Sh3d19-74425516"
"Slc18a2-79591703","Tfam-67936016"
"Anxa1-70813897","Bcl6-75651139"
"Col16a1-74273122","Lhcgr-77869818"
"Eef1g-74819238","Pak6-75084501"
"Arf1-199390","Eef1g-74819238"
"Fam124a-72472790","LOC545810-71924492"
"Cntfr-75651138","Kcnj4-74357568"
"BC005537-321201","Kcnj4-74357568"
"Serinc1-77413696","Slco1a5-67850945"
"Dbi-71836880","Hmg20a-357093"
"Mef2c-79567505","Tmx4-74882217"
"Cxcl12-79907936","Slc7a6-293662"
"Inpp4b-72080054","Stk24-73635773"
"Nup93-75774679","S100a6-77278967"
"Klk8-72129241","Mfsd6-75651167"
"Chst10-74657931","Lhcgr-77869818"
"2010111I01Rik-71717630","Mtap-79568030"
"Dnahc9-72472774","Map2k4-276073"
"Kcnj9-72119580","Vti1a-74641238"
"Avil-72340234","Greb1-71924412"
"2010111I01Rik-71717630","Alg14-75081004"
"Apbb2-73512196","Hmgcr-75079789"
"Eomes-80516770","Inpp4b-72080054"
"Apc-74881517","Ttc9b-71249081"
"Dvl2-112649476","Sox2ot-74658020"
"Fndc3b-74988759","Pou2f1-1563"
"Grin2b-74988710","Ybx2-75080250"
"C1qtnf5-293664","Inpp4b-72080054"
"Chst10-74657931","Hmg20a-357093"
"Slc18a2-79591703","Tmem204-73769320"
"AW046396-72340236","Nin-76115736"
"Bmp3-72472749","Mmel1-76135804"
"Atp6v0a2-357094","Slc7a6-293662"
"C1qtnf5-293664","Uaca-74800883"
"LOC545810-71924492","Slco1a5-67850945"
"Creb3l1-112197858","Nin-76115736"
"Icam5-73520989","Pias4-77414895"
"Oprk1-80517217","Rfx4-71249068"
"Gdf1-75081205","Ptbp1-356857"
"Arhgap39-73992939","Pak6-75084501"
"Fzd9-73907498","Rasa4-74425552"
"Srsf9-75043152","Trav3-3-71670720"
"Kcnj9-72119580","Sh3d19-74425516"
"Mef2c-79567505","Spint2-74047774"
"AW046396-72340236","Nkx2-1-74988460"
"Dhrs3-112650553","Lct-73931621"
"Bmp3-72472749","LOC434300-75988611"
"Cyr61-80343407","Sik3-74881867"
"Gabrr2-79589524","Stk24-73635773"
"Creb3l1-112197858","Hbb-b1-67936011"
"Fam114a2-79583813","Itga5-74882636"
"Pip4k2c-799","Vdr-112204135"
"Necab1-72472791","Ptp4a1-75079765"
"Chst10-74657931","Filip1l-74363347"
"Grsf1-73994670","Slc18a2-79591703"
"Pitx2-79556607","Stra6-75041492"
"Eomes-80516770","Grsf1-73994670"
"LOC434300-75988611","Tmc6-77887880"
"Fzd9-73907498","Oprk1-80517217"
"Aldh1a1-72103809","N4bp2-74363354"
"Gpr35-112649690","Pacrg-74743258"
"Apc-74881517","Gpr123-71924056"
"Rftn1-71920515","Zfyve28-75934919"
"Ltk-75988666","Sccpdh-73635772"
"Oprk1-80517217","Vti1a-74641238"
"Cyr61-80343407","Epha1-74640882"
"AI593442-71250312","Ldb2-74641311"
"Greb1-71924412","Tm2d3-77414123"
"Gpr151-74724649","Tmc6-77887880"
"Chrng-75551466","Spsb4-75773701"
"F2r-1711","Slc31a2-75773700"
"Kcnj9-72119580","Matk-76135823"
"Dvl2-112649476","Grid1-74724739"
"Chst10-74657931","Nr1h3-112205214"
"Fbxw7-72128750","Hbb-b1-67936011"
"Neurod2-75651126","Slc25a25-544516"
"Krt73-74750042","Rassf3-71836799"
"LOC235953-73931419","Rassf4-74988636"
"Gpr151-74724649","Ptprk-74743303"
"Pak1-73521001","Slc18a2-79591703"
"BC005537-321201","Eomes-80516770"
"Fbxw2-355882","Ier2-71836849"
"Apc-74881517","Gpnmb-74581367"
"Mylk3-73992942","Nup93-75774679"
"Gng2-77414160","Slc29a4-77414149"
"Mfsd6-75651167","Trav3-3-71670720"
"2010300C02Rik-70743898","Tex261-74047919"
"9830001H06Rik-77340458","Fhdc1-73925717"
"Gnrh1-75080152","Pafah1b1-2460"
"Myc-112194721","Zfp365-73929873"
"Gdf1-75081205","Gnal-71670716"
"Pth1r-112202195","Rprm-75651169"
"Ttc9b-71249081","Vti1a-74641238"
"Fhdc1-73925717","Sik3-74881867"
"Gnal-71670716","Traip-77887842"
"Cops7b-356493","Gnal-71670716"
"Oprk1-80517217","Tbl3-77413694"
"N4bp2-74363354","Rasa4-74425552"
"Bend6-77280313","Stk24-73635773"
"Cxcl12-79907936","Zscan22-247974"
"Dkk4-112647536","Hspbp1-75774674"
"Cish-70634310","Pacsin1-74047926"
"Abhd6-74047923","Tnr-73930819"
"Hpcal1-74581395","Slc38a1-75988508"
"Gpr88-79567811","Krt73-74750042"
"Rassf4-74988636","Slc6a4-79591679"
"Lct-73931621","Pus7-79556638"
"Gng7-77371857","Rgs2-73635771"
"Gpnmb-74581367","Vti1a-74641238"
"Csf2rb2-73992937","Cxcl12-79907936"
"Gpr146-77371845","Tbl3-77413694"
"2010111I01Rik-71717630","LOC235953-73931419"
"Kank4-76085741","St8sia6-73929596"
"Lipm-74272035","Pitx2-79556607"
"L3mbtl4-72472779","Vav3-76085746"
"Rfx1-895","Slc35a2-2607"
"Sik3-74881867","Slc6a4-79591679"
"Fndc3b-74988759","Gnrh1-75080152"
"Apln-67850953","Wnt1-112644522"
"Gng7-77371857","LOC545810-71924492"
"Pck2-71836804","Tspyl4-67936212"
"Insrr-71670480","Kcnj9-72119580"
"Myc-112194721","Zscan22-247974"
"Bmp3-72472749","Slco1a5-67850945"
"Rassf4-74988636","Rgs2-73635771"
"Cpne8-73520974","Ubap1-74957898"
"Ptprk-74743303","Sh3d19-74425516"
"Pak1-73521001","Uaca-74800883"
"Chat-252","Pck2-71836804"
"Pdgfd-1910","Pus7-79556638"
"Inpp4b-72080054","Pak1-73521001"
"Dlx2-1482","Rcsd1-75934525"
"Pias4-77414895","Tmc6-77887880"
"Acsl5-73931635","Ngb-79556712"
"Ifnar1-588","Mchr1-74724669"
"Kcnj4-74357568","Nup93-75774679"
"Kcnj4-74357568","Uaca-74800883"
"Fam124a-72472790","Sox10-79556652"
"Pip4k2c-799","Zfp365-73929873"
"Grik3-75749418","Ttc9b-71249081"
"Slc35f2-74819683","Tspyl4-67936212"
"Bmp3-72472749","Ptprk-74743303"
"Mtap1a-76115734","Ptprk-74743303"
"Yme1l1-356849","Zfp790-356855"
"Fzd9-73907498","Gng7-77371857"
"Fzd9-73907498","Tmc6-77887880"
"Trem2-67870433","Zfp365-73929873"
"Gpr88-79567811","Lamc1-77868319"
"Gng7-77371857","Tex261-74047919"
"AW046396-72340236","Bok-71064032"
"BC005537-321201","Trem2-67870433"
"Avil-72340234","Nkx2-1-74988460"
"Gpr146-77371845","Rassf4-74988636"
"Dhrs3-112650553","Filip1-73635796"
"Bmp3-72472749","Cyr61-80343407"
"9830001H06Rik-77340458","Kcnj9-72119580"
"LOC545810-71924492","Pck2-71836804"
"Gabrr2-79589524","Pdgfd-1910"
"Dpysl5-73635770","Gpnmb-74581367"
"Mchr1-74724669","Stra6-75041492"
"Cntfr-75651138","Pus7-79556638"
"Cxcl12-79907936","Ptgs2-71016664"
"Gpr89-67881554","S100a6-77278967"
"Apln-67850953","Nkx2-1-74988460"
"Lims2-75145999","Setbp1-1532"
"Dbi-71836880","Gdf1-75081205"
"Gpr89-67881554","Lass4-176962"
"Anxa1-70813897","Csf2rb2-73992937"
"Cyr61-80343407","Gpr146-77371845"
"Fzd9-73907498","Rfx4-71249068"
"Cdhr1-72104186","Ybx2-75080250"
"Accn4-71924089","Stk24-73635773"
"Pdgfd-1910","Xk-71670735"
"Arhgap39-73992939","Sox2ot-74658020"
"Cyr61-80343407","Gabra4-71924402"
"Matk-76135823","Syt4-2651"
"Epha1-74640882","N4bp2-74363354"
"1200011I18Rik-77414569","Tmem29-75080656"
"Alg14-75081004","Tbl3-77413694"
"Apc-74881517","Mmel1-76135804"
"Cntfr-75651138","Nup93-75774679"
"Gm261-73636032","Traip-77887842"
"Anxa1-70813897","Eomes-80516770"
"B630019K06Rik-74881160","Eps8l2-74658244"
"Dhrs3-112650553","Pus7-79556638"
"Ier2-71836849","Itgbl1-74988458"
"Klf7-112202624","Krt73-74750042"
"Epha1-74640882","Tmc6-77887880"
"Gpr146-77371845","Icam5-73520989"
"Caml-79568047","Nova1-73931640"
"Fbxw7-72128750","Ptp4a1-75079765"
"Mdk-1227","Pias4-77414895"
"Cpt1c-2117","Tmx4-74882217"
"C1qtnf5-293664","Eef1g-74819238"
"Pacsin1-74047926","Stra6-75041492"
"A130014H13Rik-75041574","Zfp932-75774665"
"Pias4-77414895","Tmem29-75080656"
"Gabrr2-79589524","S100a6-77278967"
"Necab1-72472791","Palmd-74581442"
