Gene1,Gene2
"Clic5-77874610","Yme1l1-356849"
"Bpgm-77414641","Grin2b-74988710"
"Dnajb12-2153","Psap-846"
"Edc3-77414911","Pcsk2-72080025"
"Hmgcr-75079789","Nol4-76115737"
"Actr2-67","Vsx2-1687"
"Ctps-1185","Syt13-1864"
"Prlr-1268","Tmbim6-2663"
"Cd44-79556644","Mgat2-74988614"
"Setbp1-1532","Zfp790-356855"
"Sorcs3-75988635","Vav3-76085746"
"B3gnt2-75988600","Hmx3-74641309"
"Impact-594","Tmem86b-72472763"
"E130012A19Rik-74363349","Fam46a-75042237"
"Fkbp10-2220","Kcng1-77340480"
"Hmgcr-75079789","Rasgrp1-76115742"
"1600021P15Rik-71924290","Rps5-77868800"
"Nol4-76115737","Slc12a2-74882926"
"Bpgm-77414641","E130012A19Rik-74363349"
"Itga3-598","Lzic-276064"
"Apba2-2031","Sod1-994"
"Gpr56-71015815","Matn4-77371795"
"Dtnbp1-75651202","Sox14-73636036"
"Dgkg-343","Vsx2-1687"
"Agpat3-85","Sod1-994"
"Iffo2-322962","Srgap3-316"
"Tmem86b-72472763","Tnfrsf21-71836885"
"Magix-74581446","Vav3-76085746"
"Cyp26b1-79568022","Sox14-73636036"
"Anxa6-77332100","Ltbp3-76115733"
"Myo10-74743255","Susd2-75146000"
"Ctps-1185","Hoxd9-1623"
"Gphn-1211","Xbp1-1119"
"Il17rd-74958537","Inpp1-67870434"
"Eif4a3-2143","Kdm4b-2331"
"Grb10-522","Syt13-1864"
"Magix-74581446","Ybx2-75080250"
"Nfib-1555","Zfand5-1140"
"Mmgt1-77414585","Slc22a23-72128754"
"Cdkn2c-1683","Plk1-2487"
"Svil-77332748","Tpbg-76085743"
"C130018E23Rik*-75144623","Slc39a3-2619"
"Fam46a-75042237","Lims2-75145999"
"Cpe-1691","Wnt8a-1115"
"Ppm1a-2497","St3gal3-2567"
"Pde9a-785","Sfn-2561"
"Kctd16-73636009","Spata2l-73817441"
"Trip4-1924","Vezt-74819329"
"Ccdc85a-75081006","Vstm2b-77869820"
"Ccdc85a-75081006","Klhl1-73520995"
"D0H4S114-72472773","Svil-77332748"
"Olfm1-760","St3gal3-2567"
"Hmx3-74641309","Svil-77332748"
"Anln-33","Ctps-1185"
"Grb10-522","Hoxd9-1623"
"Prlr-1268","Syt13-1864"
"Med24-2675","Nrf1-2438"
"Anln-33","Sfn-2561"
"Hmgcr-75079789","Slc12a2-74882926"
"Prnp-1405","Tmem218-1960"
"B3gnt2-75988600","Heg1-74958616"
"Cyp26b1-79568022","D0H4S114-72472773"
"Sfn-2561","Xbp1-1119"
"Grik4-75551478","Myo10-74743255"
"Grb10-522","Prlr-1268"
"Dtnbp1-75651202","Svil-77332748"
"Crhr1-297","Slc4a10-1922"
"Fam46a-75042237","Grik4-75551478"
"Il17rd-112647967","Slc25a25-544516"
"Fam46a-75042237","Sorcs3-75988635"
"Sorcs3-75988635","Susd2-75146000"
"Fbln2-321208","Myc-112194721"
"Fez2-74272477","Pcsk2-72080025"
"Grin2b-74988710","Susd2-75146000"
"Pde11a-75081007","Yme1l1-356849"
"Myc-112194721","Tcf7l1-1424"
"Clock-273","Fgf13-427"
"Nr1d1-1243","Xbp1-1119"
"Neurod2-75651126","Slc12a2-74882926"
"Cd33-75043153","Spata2l-73817441"
"Fez2-74272477","Tcerg1-1872"
"Cd44-79556644","LOC433740-77340490"
"Ghitm-1207","Syt3-1026"
"Cds2-250","Dnajb12-2153"
"Hnrpdl-571","Traip-77887842"
"Lhx2-79568024","P2rx3-75888751"
"Grb10-522","Pde9a-785"
"Prnp-1405","Psap-846"
"Med8-112196048","Slc22a23-72128754"
"Impact-594","Vstm2b-77869820"
"gene1","gene2"
"Nol4-76115737","Ntf5-1393"
"Arhgef2-2043","Sfn-2561"
"Apba2-2031","Prnp-1405"
"Lancl3-73925716","Syap1-1858"
"Itga3-598","Tcf7l1-1424"
"Gm4887-73931418","Vezt-74819329"
"Dtnbp1-75651202","Ppp1r1a-75773706"
"Dlx5-1450","Lzic-276064"
"Ctps-1185","Xbp1-1119"
"Slc12a2-74882926","Tmem33-356284"
"Ndrg3-690","Tyr-2703"
"Satb1-927","Zfp790-356855"
"Cyp26b1-79568022","Dtnbp1-75651202"
"Fgf13-427","Ntf3-2440"
"Papola-1251","Prnp-1405"
"Mmp15-1383","Pfn2-1261"
"Ccdc37-74581372","Rcsd1-75934525"
"Dtnbp1-75651202","Gpr139-79490116"
