Gene1,Gene2
"Prpf6-67850946","Rprm-75651169"
"Gpr18-71015809","Hdc-71016663"
"Gabra4-71924402","Sh3d19-74425516"
"9030425E11Rik-71924353","C530008M17Rik-75080646"
"LOC434300-75988611","Syt4-2651"
"Asb8-276276","D0H4S114-72472773"
"Susd2-75146000","Ybx2-75080250"
"Ntf5-1393","Pttg1-293036"
"Gpr123-71924056","Slc35f2-74819683"
"Htr5b-71247644","Pomc-2493"
"Gldc-77887886","Rps4y2-75934917"
"LOC433311-74988757","Ramp1-1912"
"Otx2-112194935","Tbl2-1868"
"Dtnbp1-75651202","Tspan32-72129242"
"Aqp4-108","Ltn1-2747"
"Ddn-73636031","Ero1lb-72340145"
"Cyp39a1-77874608","Tm7sf3-77874614"
"Ola1-293038","Tacr1-79591721"
"Palm3-74958547","Thsd7a-71924155"
"Aars-74641317","D0H4S114-72472773"
"Ndrg2-79568051","Pttg1-293036"
"Chst1-71836872","Nfix-77413698"
"LOC434300-75988611","Tmem29-75080656"
"C130096N06Rik-73635978","Kcnh8-70562113"
"Apbb2-73512196","Vegfb-75079746"
"Hspbp1-75774674","Itgbl1-74988458"
"Gabra4-71924402","Rfx4-71249068"
"Ero1lb-72340145","Hrh3-73636034"
"AW046396-72340236","Gpr156-74641322"
"Clcn2-72119656","Dlx5-1450"
"LOC545854-73732153","Nol4-76115737"
"Cxcl14-74272041","Ttll6-74363338"
"Ndufs8-74819243","Nfix-77413698"
"E130012A19Rik-74363349","Rpl8-74749928"
"Fbxw7-72128750","Gpr156-74641322"
"Ngef-72129292","Slc2a6-71670696"
"BC005537-321201","Grid1-74724739"
"Ndrg2-79568051","Reps2-76135799"
"Chrm5-75826557","Filip1-73635796"
"Insrr-71670480","Rasa4-74425552"
"Kcnj4-74357568","Slc6a2-73615562"
"Prss39-74749944","St8sia6-73929596"
"Grin3b-77869800","Ppp2r3d-77414925"
"Ephb1-72077478","Grk5-77371851"
"Nomo1-1697","Prkg1-73521817"
"Rarb-75038442","Slc7a6-293662"
"Anxa1-70813897","Lgi3-73520996"
"Mtap-79568030","Shb-71670695"
"Bcl6-75651139","Eef1g-74819238"
"Dtnbp1-75651202","Rpl8-74749928"
"Asb8-276276","Pde5a-73931641"
"Chrm5-75826557","Sox2ot-74658020"
"Dpysl5-73635770","Mdk-1227"
"Rnf152-75043151","Vamp1-75651233"
"Sema3c-939","Tacr1-79591721"
"Dbi-71836880","Gm261-73636032"
"Insrr-71670480","Serinc1-77413696"
"1500032L24Rik-75651168","Pla2g16-112650769"
"Eef1g-74819238","Tmem204-73769320"
"1110037F02Rik-74988462","Smarca2-1972"
"Gm17746-73931423","Prkar2a-77332735"
"Pias4-77414895","Tex261-74047919"
"Bok-71064032","Hs3st2-74988765"
"Arhgdia-75774677","Eif2d-323588"
"Slc35c2-2615","Ttll6-74363338"
"LOC434300-75988611","Rasa4-74425552"
"4930451C15Rik-74750011","Sema3c-939"
"Ddn-73636031","Pmm1-67936010"
"D0H4S114-72472773","Sox14-73636036"
"Plk5-74988743","Tnnt1-77280576"
"Calml3-79490064","Foxp1-71249056"
"Ankrd34c-72472747","Reps2-76135799"
"Chrm5-75826557","Pus7-79556638"
"C1ra-77874604","Pip5k1b-77887888"
"Slc6a4-79591679","Ttc9b-71249081"
"1500002O20Rik-1954","Mecp2-79908808"
"Ccdc88c-74363346","Slc35c2-2615"
"Kctd16-73636009","Otx2-112194935"
"Filip1-73635796","Lgi3-73520996"
"Chat-252","Decr1-74425550"
"Gpr18-71015809","Terf2ip-112196711"
"Avil-72340234","Stra6-75041492"
"Rgs2-73635771","Tspyl4-67936212"
"Nr4a1-1792","Rwdd2b-1587"
"Cxcl14-74272041","Vangl1-71670709"
"Dnahc11-73520976","Notum-73732151"
"Kcnh8-70562113","St8sia6-73929596"
"Mgat5-73931638","Vangl1-71670709"
"Chrm5-75826557","Pak6-75084501"
"Gpr18-71015809","Hrh3-73636034"
"Cdk14-71670684","Nol4-76115737"
"Reps2-76135799","Zfp358-2743"
"Rassf3-71836799","Tm2d3-77414123"
"Apc-74881517","Sox10-79556652"
"Chst1-71836872","LOC380720-73931422"
"Dlx2-1482","Pus7-79556638"
"Hdc-71016663","Pdzd2-74988286"
"Anxa1-70813897","Grid1-74724739"
"Cyc1-357103","Lef1-77866900"
"Col25a1-71924301","Slc12a2-74882926"
"Hrh3-73636034","Kctd16-73636009"
"Atp11a-75043137","Fdps-76085745"
"Map2k4-276073","Utp23-71924008"
"Glra4-75551476","Gm6753-77340486"
"Ddn-73636031","Nfix-77413698"
"Caml-79568047","Greb1-71924412"
"Bace1-73520965","Gm5607-72109337"
"Rfx4-71249068","Sox10-79556652"
"Ntrk1-71670679","Pkp2-73997149"
"Dpysl5-73635770","Vti1a-74641238"
"Sox11-79912528","Sult1a1-75774114"
"1200011I18Rik-77414569","Syt4-2651"
"Gpr146-77371845","Ttc9b-71249081"
"Gpr146-77371845","Slc35f2-74819683"
"Gabre-75749417","Tspan32-72129242"
"Reps2-76135799","Slc12a2-74882926"
"Gpr146-77371845","Kcnj9-72119580"
"Gpnmb-74581367","Il16-71064290"
"Mapt-79556696","Panx2-74581443"
"Golga7b-76097699","Gpr18-71015809"
"Eef1g-74819238","Grid1-74724739"
"Pkp2-73997149","Slc12a2-74882926"
"Bend6-77280313","Cxcl12-79907936"
"1110037F02Rik-74988462","LOC380720-73931422"
"Nup93-75774679","Ptgs2-71016664"
