Gene1,Gene2
"Magix-74581446","Tmem86b-72472763"
"Slc12a2-74882926","Vezt-74819329"
"P2rx3-75888751","Pnck-827"
"Capsl-75079776","Gldc-77887886"
"Arhgap17-1413","Nfix-2423"
"Kif5b-2353","Trim28-1071"
"Aldh5a1-77925007","Vstm2b-77869820"
"Mmaa-1772","Syt11-2649"
"Fbln7-73929875","Gnal-71670716"
"B4galt3-357099","D930028M14Rik-73512190"
"Ets1-2199","Vstm2b-77869820"
"Slc35b4-75774107","Triap1-74658242"
"Capsl-75079776","Synpr-1862"
"Cadps-72119581","Ptrf-73521818"
"Ccnd2-205","Lhx2-2375"
"Abcd1-356086","Hes7-2289"
"Otud6b-83158","Rprm-75651169"
"Gpr139-79490116","Rbbp6-170"
"Pdlim2-2476","Tnrc6a-314"
"Bdnf-79587720","Eps8-1705"
"Abcd1-356086","Pde11a-75081007"
"B4galt3-357099","Clec11a-112195815"
"Ets1-2199","Laptm4b-75651225"
"Cst3-69120555","Cyp4f15-1189"
"Mlx-77414147","Vezt-74819329"
"Cda-74425539","Synpo-75080644"
"Ldb3-2369","Pde11a-75081007"
"Gabre-75749417","Mm.86217-74641161"
"Hnrpdl-571","Phox2b-2480"
"Cadps-72119581","Slc6a11-72472802"
"Ddx3x-337","Wwox-72077451"
"Odz3-752","Plxnb3-1265"
"Adcy4-77","Junb-2335"
"Mon1b-74958566","Zim2-76135811"
"Junb-2335","Lhx2-2375"
"Slc16a4-2579","Tcf7l1-1424"
"Slc6a15-73929609","Tmem215-73636150"
"BC031353-77371767","Yjefn3-74750064"
"Cdk5-244","Zfp280c-1669"
"Coro1c-75651191","Pdxk-788"
"B3gat2-74658033","Slc35b4-75774107"
"Dlx1-348","Sytl3-2653"
"Epha4-2187","Ldb3-2369"
"Emb-73930836","Tnfrsf21-71836885"
"Nr5a1-734","Pdxk-788"
"Homer3-356087","Trim28-1071"
"Pip4k2c-799","Slc16a4-2579"
"Bsg-166","Pcp2-77413702"
"1700037H04Rik-324211","Srprb-1536"
"A130014H13Rik-75041574","Ifngr2-1460"
"Cdk5r1-247","Junb-2335"
"Homer3-356087","Hook3-1197"
"Klc2-618","Pcp2-77413702"
"Cda-74425539","Evi5-71670743"
"Tacr1-79591721","Tnfrsf21-71836885"
"Scn3b-73512195","Slc35f1-75084145"
"Hmgcr-75079789","Neurod2-75651126"
"BC031353-77371767","Tmem86b-72472763"
"Copa-1689","Dcn-329"
"Atp10a-72128790","Zfp61-75749409"
"Clic6-1984","Klc2-618"
"7420498E04Rik*-75043148","Csk-75651192"
"Coro1c-75651191","Klc2-618"
"Gm261-73636032","Pcp2-77413702"
"Hes1-556","Zfp280c-1669"
"Bzw1-324215","Cdk5-244"
"Lrrc3-112649047","Tm7sf3-77874614"
"Ascl5-ps-74988285","Bsg-166"
"Eif2ak3-2181","Tat-2657"
"Epha4-2187","Pdlim2-2476"
"Greb1-71924412","Rnf19a-73931414"
"Ascl5-ps-74988285","Cpe-1691"
"F13a1-74882565","Hpca-72129291"
"D830029A09Rik-72472778","Zfp61-75749409"
"Emb-73930836","Ets1-2199"
"Aff4-2363","Hip1-2293"
"Lxn-72340108","Prpf6-67850946"
"Lrrn1-72129293","Slc6a11-72472802"
"Copa-1689","Pcp2-77413702"
"Stx1a-2645","Ttll6-74363338"
"9430020K01Rik-75988537","Ptcd2-77414563"
"Rfxank-67881545","Tm7sf3-77874614"
"Rps5-77868800","Slc41a3-73512484"
"Cdk5-244","Galr2-80517343"
"Klhl1-73520995","Mm.86217-74641161"
"Ddc-334","Tcf4-1044"
"Lzic-276064","Pir-67870113"
"Enpep-73769289","Ptrf-73521818"
"Emb-73930836","Tmem215-73636150"
"Dlx5-1450","Tcf7l1-1424"
"Coro1c-75651191","Tcf7l1-1424"
"Limk1-640","Tcf7l1-1424"
"Cda-74425539","Otc-74581369"
"Aff4-2363","Yme1l1-356849"
"Alkbh6-77414882","Gm4887-73931418"
"A4galt-71717165","Tnfrsf21-71836885"
"F13a1-74882565","Lmod2-73636019"
"Limk1-640","Pam16-2391"
"Lmo2-2383","Pip4k2c-799"
"Bpgm-77414641","Cysltr1-75651227"
"B4galt6-2055","Cst3-69120555"
"Synpr-1862","Tm7sf3-77874614"
"Btg2-72283802","Lxn-72340108"
"Klc2-618","Yme1l1-356849"
"Mm.86217-74641161","Terf2ip-112196711"
"Gtf3c2-7","Plxna3-1403"
"Hip1-2293","Mef2c-667"
"Klhl1-73520995","Scn3b-73512195"
"Lmod2-73636019","Zim2-76135811"
"Gabre-75749417","Lrrn1-72129293"
"Cysltr1-75651227","Gpr151-74724649"
"Epha4-2187","Hook3-1197"
"Bcl6-75651139","Fez2-74272477"
"B4galt3-357099","Evi5-71670743"
"B4galt6-2055","Cdk5-244"
"Aldh5a1-77925007","Enpep-73769289"
"Igf2-2313","Wnt8a-1115"
"Gpr151-74724649","Lims2-75145999"
"Ccdc85a-75081006","Gpr151-74724649"
"Gm261-73636032","Wnt8a-1115"
"Slc4a10-1922","Yme1l1-356849"
"Capsl-75079776","Mlx-77414147"
"Coro1c-75651191","Psmc2-356850"
"Pir-67870113","Rfxank-67881545"
"Gnal-71670716","Psmc2-356850"
"Pdxk-788","Sept7-961"
"Apba2-2031","Fgf12-424"
"Col18a1-287","Mdk-1227"
"2010300C02Rik-70743898","Sart3-74819691"
"Cyp4f15-1189","Tcf7l1-1424"
"Clic6-1984","Syt11-2649"
"Ascl5-ps-74988285","Psmc2-356850"
"Gng7-1734","Htr2b-79556708"
"Gcg-75749416","Rps5-77868800"
"Cd44-224","Grin2b-74988710"
"Dok2-2155","Kcnj14-67853369"
"E130012A19Rik-74363349","Rps5-77868800"
"Slc35f1-75084145","Terf2ip-112196711"
"Mef2c-667","Syt6-1032"
"Ar-2039","Zfp790-356855"
"Clic6-1984","Pip4k2c-799"
"Cpe-1691","Lmo1-1373"
"Lims2-75145999","Lrmp-74274684"
"Tac2-77279001","Tpbg-76085743"
"D830029A09Rik-72472778","Fbln2-321208"
"Dlx6as1-2000","Psmc2-356850"
"Rps5-77868800","Vstm2b-77869820"
"Hnrpdl-571","Pax6-764"
"Ldb3-2369","Pdxk-788"
"Abcd1-356086","Cyp4f15-1189"
"Copa-1689","Trip4-1924"
"Dok2-2155","Tcf4-1044"
"Dlx5-1450","Hnrpdl-571"
"Abcd1-356086","Tcf7l1-1424"
"Eps8-1705","Syt11-2649"
"Pam16-2391","Tfap2a-2661"
"Epha4-2187","Pde11a-75081007"
"Lxn-72340108","Otud6b-83158"
"E4f1-1199","Epha4-2187"
"Fezf2-75651163","Grik3-75749418"
"Gng7-1734","Hook3-1197"
"Ascl5-ps-74988285","Kif5b-2353"
"Crhr1-297","Nr5a1-734"
"Coro1c-75651191","Mtif2-677"
