Gene1,Gene2
"Dusp4-72472788","Rasl11a-75988636"
"Fezf2-75651163","Mad1l1-70928294"
"Gabra4-71924402","Susd2-75146000"
"Col5a3-74272917","Eps15l1-2193"
"Kcng1-77340480","Syt4-2651"
"Serinc1-77413696","Zfp189-79490078"
"Bend6-77280313","Lct-73931621"
"Lhcgr-77869818","Prosapip1-71064051"
"Chst10-74657931","Pdia3-71015817"
"Dbi-71836880","Sipa1l1-74511986"
"Gng7-77371857","Slc25a39-74988740"
"Calcr-75080999","Flrt2-73931417"
"Dpy19l3-71836886","Tyr-2703"
"Dpysl5-73635770","Lhx2-79568024"
"Purg-74882788","Rap2b-75934918"
"BC032203-77867708","Mtap-79568030"
"Blnk-74819692","Paf1-293469"
"Pot1b-73925715","Setd5-37"
"Clic4-73769125","Gabra6-75551467"
"Gpr176-74511881","Hpcal4-73520985"
"Csf2rb2-73992937","Rcsd1-75934525"
"Dlgap1-71924386","Pgr15l-73615804"
"9330182L06Rik-75081005","Suv39h2-1538"
"Lrp4-71670487","Tmem65-73592537"
"Dpysl5-73635770","Gpnmb-74581367"
"Prpf6-67850946","Slc22a3-73931644"
"Adamts15-77332098","Agrp-72283799"
"Alg14-75081004","LOC380889-74988754"
"Exoc6-73817986","Pcdh9-10"
"Pfdn4-74882686","Sall3-74363352"
"Palm2-74581441","Trib2-71587811"
"Adamts1-69","Cstb-1343"
"Arntl-79556656","Il13ra1-74819256"
"Bcas1-77371831","Iqcj-74272918"
"Arhgap39-73992939","Slc32a1-72081554"
"Ap2b1-112648612","Fbxw2-355882"
"Cyp2j6-77278979","Lrmp-74274684"
"Rap1gds1-654924","S100b-923"
"Gm626-73931634","Spnb1-75144624"
"Npr1-71670678","Pknox1-1401"
"Prkg1-73521817","Sytl2-73520979"
"Cck-200","Sun2-74658032"
"Arg2-70928338","Wwc1-71020388"
"Cdh15-77869780","Tfam-67936016"
"Nxf7-75988557","Yjefn3-74750064"
"Setbp1-1532","Sstr2-77371821"
"Gabrr2-79589524","Slc32a1-72081554"
"Lass4-176962","Lhx1-79591731"
"Eomes-80516770","Ptgs2-71016664"
"Cartpt-72077479","Chrm4-79591641"
"Csf2rb2-73992937","Slc36a4-1597"
"Pkig-2483","Slc38a3-70436729"
"Bcl6-75651139","Efcab6-74819465"
"Dock6-75041548","Slc8a1-73521807"
"Chst2-72109633","Pde1a-782"
"Grb7-112204995","Slc38a1-75988508"
"Nucb2-75774683","Rcsd1-75934525"
"Zfand3-77414923","Zfp618-71670712"
"Fxyd5-74819694","Mtch2-72080084"
"Kcnd3-75147766","Ltb-74363350"
"Arhgef2-2043","Crtac1-75749739"
"Abhd3-70744514","Junb-2335"
"Lims2-75145999","Pias4-77414895"
"Sh2b3-80517009","Slc31a2-75773700"
"Ar-2039","Etv1-73512203"
"Cntfr-75651138","Eef1g-74819238"
"Mtch2-72080084","Prkg1-73521817"
"Arhgap12-71836846","Gnal-71670716"
"Ar-2039","Scai-74581420"
"Col19a1-74658066","Rora-77371865"
"Gabra4-71924402","Setd3-74047910"
"2010111I01Rik-71717630","Fzd9-73907498"
"Mpped1-70231303","Pth1r-112202195"
"Coro1c-75651191","Kcnj9-72119580"
"Gucy2f-74640883","Rdh14-75043157"
"Bmp5-73817428","Lhfpl3-73635972"
"Atrx-74881733","Gsn-72081395"
"Eef1b2-75934526","Mlx-77414147"
"Impa1-74641325","Pip4k2c-799"
"Ankfn1-74047714","Hrh2-74724750"
"Setd3-74047910","Sh3d19-74425516"
"Cxcl12-79907936","Pappa-74581444"
"158303","Spint2-74047774"
"Doc2b-72283810","Dusp4-72472788"
"Chst10-74657931","Polr1e-75774108"
"Cdh15-77869780","Usp25-2713"
"Col16a1-74273122","Synpr-1862"
"Chml-74047442","Gba-1611"
"Serinc1-77413696","Znrf1-74581382"
"Gpr146-77371845","Tbl3-77413694"
"Cdh15-77869780","Pirt-72283798"
"Chst10-74657931","Sox2-77280331"
"Scube1-73512351","Tspan6-74047839"
"Gsn-72081395","Ikzf1-1144"
"Gm1088-77340470","Limk1-640"
"Ptbp1-356857","Rprm-75651169"
"Lhx1-79591731","Zfp365-73929873"
"Itgb1bp1-71015806","Vash2-1667"
"Cs-74658130","Inpp5a-73994713"
"Fam19a4-72472752","Trpm6-73907502"
"Gbx2-77868786","Ptn-2507"
"Sash1-71924225","Spsb4-75773701"
"Etv1-73512203","Flrt2-73931417"
"Grb7-112204995","Magel2-79591571"
"Gpr26-70562057","Selk-74800903"
"Ndufs2-74818622","Tspan33-70743905"
"Csrp2bp-276275","Elfn1-71587930"
"Pola1-75084100","Slx1b-74819688"
"Grin2b-74988710","Sh3d19-74425516"
"Kctd1-70744515","Rgs8-71020445"
"Cd109-73931384","LOC214238-74988751"
"LOC381076-72338724","Opcml-73992920"
"Glt8d2-71249079","Mgat5b-73616036"
"Etv1-72119595","Sipa1l1-74511986"
"Matk-76135823","Slc25a39-74988740"
"Arap2-74881937","Rspo2-71016632"
"Pck2-71836804","Tyr-79591699"
"Gpr151-74724649","Rarres1-75084131"
"2610028E06Rik-71020430","Rasd2-73636089"
"Pcdh9-10","Tns3-75080694"
"Caml-79568047","Cish-70634310"
"Grb7-112204995","Zfp280c-1669"
"Adora2a-72109410","Shb-71670695"
"Bcl11a-71836837","Pip4k2c-799"
"Opcml-73992920","Ywhaz-1133"
"Inpp1-67870434","Rara-1528"
"Arl5a-74274688","Dbh-79907893"
"Gdf1-75081205","Rspo2-71016632"
