Gene1,Gene2
"Mmgt1-77414585","Slc12a2-74882926"
"AW046396-72340236","Greb1-71924412"
"Rasl11a-75988636","Tac2-77279001"
"Kcng1-77340480","Satb1-927"
"Fam40b-72283809","Gpc2-72472808"
"Pitx2-79556607","Srsf9-75043152"
"LOC434300-75988611","Satb1-927"
"Aldh5a1-77925007","Krt73-74750042"
"Bcl11a-71836837","Nxf7-75988557"
"F2r-1711","Syn1-227540"
"Bpgm-77414641","Susd2-75146000"
"Gm12429-77340488","Sash1-71924225"
"Tbck-79567760","Traip-77887842"
"Pak6-75084501","Pip4k2c-799"
"Fmo1-72008121","Id4-74357547"
"Cyp26b1-79568022","Eps8-1705"
"Hbb-b1-67936011","Ifnar1-588"
"Ifnar1-588","Krt73-74750042"
"Ndufb8-74743256","Shh-1418"
"C030034I22Rik-72472751","H2-T23-75749388"
"Crhr1-297","E130012A19Rik-74363349"
"Kl-72119590","Npr3-73931412"
"Pfkl-795","Slc25a27-74988334"
"Asb11-71836891","Itgb8-73931631"
"Gm12429-77340488","Igsf5-79488939"
"Clta-74819690","Msrb2-76135795"
"Ntrk1-71670679","Tspan6-74047839"
"Adcy4-73512495","Polr1e-75774108"
"Pam16-2391","Pfkl-795"
"Msrb2-76135795","Rasl11a-75988636"
"Satb1-927","Tbck-79567760"
"Gng2-67936006","LOC433088-71924504"
"Lzic-276064","Prpf6-67850946"
"Ifnar1-588","Prdx1-836"
"Atp6v1c2-74881265","Mybpc1-71920513"
"Hhip-71358556","Pcp2-79490073"
"Fbln7-73929875","Pde11a-75081007"
"LOC432928-73931424","Tgfb2-70927304"
"Nmb-71836874","Slc4a10-1922"
"Clta-74819690","P2rx7-75551477"
"P2rx3-75888751","Slc4a10-1922"
"C030034I22Rik-72472751","Phospho1-71670685"
"Kcnj14-67853369","Krt73-74750042"
"Dnahc12-74988273","Slc6a20b-77371783"
"Dbnl-74819497","Nicn1-75773512"
"Nenf-74272919","Thbd-75079800"
"Adrb1-77340494","Pitpnc1-75144644"
"Sox10-79556652","Vldlr-121089"
"D830029A09Rik-72472778","Greb1-71924412"
"Cdh13-77869863","Nmb-71836874"
"LOC432928-73931424","Lepr-73930822"
"Ar-2039","Galr2-80517343"
"Srsf9-75043152","Syap1-1858"
"Col18a1-287","Igsf5-79488939"
"Elmo1-70743907","Hhip-71358556"
"Copg2-74819259","Oxt-112648396"
"Ampd3-77371807","BC032203-77867708"
"Cdk5r1-247","Zim2-76135811"
"Polr1e-75774108","Rfxank-67881545"
"9430020K01Rik-75988537","D830029A09Rik-72472778"
"Gpc2-72472808","LOC433228-73788454"
"Ldlr-1766","Rprm-75651169"
"Col4a6-72103841","Scube1-73512351"
"Elmo1-70743907","Syn1-227540"
"Fam189a2-73512353","Fam40b-72283809"
"Phospho1-71670685","Sccpdh-73635772"
"Crhr1-297","Klhl36-77371861"
"H2-T23-75749388","Ltk-75988666"
"Hs6st3-73520986","Sox10-79556652"
"Mdfi-112648831","Myc-112194721"
"N6amt1-1233","Sigmar1-112196265"
"Asb11-71836891","Lhfp-73769323"
"C030034I22Rik-72472751","Tinf2-77414587"
"Axin1-2053","Ly6g6e-77280582"
"Col18a1-287","Fzd9-73907498"
"Id3-74724763","Itgb8-73931631"
"Pnrc2-2491","Tacr1-79591721"
"Ar-2039","Gpr101-79591639"
"Hspa12a-74047899","Lgi2-71670485"
"Btd-2069","Plk5-74988743"
"2010111I01Rik-71717630","Sox10-79556652"
"Ifnar1-588","Slc35f1-75084145"
"Aqp4-79556722","Capsl-75079776"
"Fgd5-74357548","LOC432928-73931424"
"A830036E02Rik-74512028","Col9a3-70928304"
"Bcl11a-71836837","Cbfa2t3-75038485"
"Cdk5r1-247","Klhl36-77371861"
"Epha4-2187","Pam16-2391"
"Kank2-112644736","Oit1-227164"
"Eif2ak3-2181","Tat-2657"
"Adra2b-74724532","Tcf19-2659"
"Aldh5a1-77925007","Nr5a1-734"
"P2rx4-75551474","Tpbg-76085743"
"Clta-74819690","Mafb-73771240"
"Fzd9-73907498","Ly6g6e-77280582"
"Fbln7-73929875","Zim2-76135811"
"A830036E02Rik-74512028","Nt5dc2-73817984"
"Mybpc1-71920513","Scube1-73512351"
"Asb11-71836891","Tcn2-71924389"
"Pde11a-75081007","Plxna3-1403"
"1810031K17Rik-227165","Fzd9-73907498"
"Igfbp3-74272920","Igfbp4-71924311"
"Adamts18-75651128","P2ry14-76135748"
"Syap1-1858","Trps1-75043140"
"LOC433228-73788454","Scube1-73512351"
"Crhr1-297","Plxna3-1403"
"A830036E02Rik-74512028","Col4a6-72103841"
"Mylk3-73992942","Pak6-75084501"
"Alg14-75081004","Gm12429-77340488"
"C1qa-77371775","Cebpa-80343361"
"A830036E02Rik-74512028","Fam189a2-73512353"
"Ntf5-1393","Terf2ip-112196711"
"Grin2b-74988710","Tbck-79567760"
"Asb11-71836891","Car12-72081406"
"1810031K17Rik-227165","Ifngr2-1460"
"Dhrs3-112650553","Filip1-73635796"
"Aldh5a1-77925007","Hbb-b1-67936011"
"Slc11a2-2571","Slc16a6-2581"
"Adcy2-73","Slc16a6-2581"
"9430020K01Rik-75988537","Pitx2-79556607"
"Krt73-74750042","Prdx1-836"
"Cpne8-73520974","Csf2rb2-73992937"
"Rapgef6-75041528","Ube2e3-75651166"
"Epha4-2187","Ifnar1-588"
"Fbln7-73929875","Magix-74581446"
"Fez2-74272477","Hmox2-75774681"
"Ipo4-74658174","Ndufa10-74658173"
"LOC381355-71924491","Synpr-1862"
"Eomes-80516770","Tgfb2-70927304"
"Bcl6-75651139","Cpne8-73520974"
"E130012A19Rik-74363349","Gabre-75749417"
