Gene1,Gene2
"Cyp4f15-1189","Junb-2335"
"Cpe-1691","Tnfrsf21-71836885"
"Eps8-1705","Mm.86217-74641161"
"Pdlim2-2476","Wnt8b-1890"
"Ccnd2-205","Tnfrsf21-71836885"
"9330182L06Rik-75081005","Oxt-112648396"
"Dusp1-324212","Phox2b-2480"
"Bzw1-324215","Pdlim2-2476"
"Rnasek-75934529","Tubb4a-1081"
"Alkbh6-77414882","Arl15-74363341"
"Fabp3-418","Gnai2-2263"
"Enpep-73769289","Laptm4b-75651225"
"Laptm4b-75651225","Trim28-1071"
"Cst3-69120555","Syt11-2649"
"Cdh2-79556666","Dbh-79907893"
"Hes1-556","Rarres1-75084131"
"Cdc25b-74274686","Pdxk-788"
"Dlx1-348","Slc16a4-2579"
"Ascl5-ps-74988285","Pdxk-788"
"Mon1b-74958566","Nfix-2423"
"Cpe-1691","Hpca-72129291"
"Dcn-329","Hook3-1197"
"Cbfb-1168","Cct2-356082"
"Kctd17-72340180","Trim28-1071"
"Gata2-100","Lmo2-2383"
"Alpk2-74988275","Zic1-72103843"
"Crym-73592526","Gtf2i-2277"
"Fancd2-73635979","Tcf4-1044"
"Cyp4f15-1189","Dusp1-324212"
"Lhx8-2379","Lrrn1-72129293"
"Arl15-74363341","Evi5-71670743"
"Sept7-961","Tnfrsf21-71836885"
"Enpp2-77413700","Nog-75084476"
"Mmaa-1772","Sept7-961"
"Atp10a-72128790","Synpo-75080644"
"Clic6-1984","Epha4-2187"
"Mlx-77414147","Vamp2-1092"
"Hnrpdl-571","Tubb4a-1081"
"Gtf2h4-1458","Lmx1b-1508"
"E4f1-1199","Rarres1-75084131"
"Kif5b-2353","Pfkl-795"
"Copa-1689","Nfix-2423"
"Cdk5r1-247","Gcg-75749416"
"A4galt-71717165","Vstm2b-77869820"
"Fam78b-72472750","Laptm4b-75651225"
"Junb-2335","Mmaa-1772"
"Cdk5-244","Nmb-71836874"
"LOC433254-72108822","Lamb1-71670482"
"5330421K23Rik*-75043138","Wnt7b-1113"
"Lpl-649","Syt7-1035"
"Gabrq-79591569","Ndufv3-12"
"Slc41a3-73512484","Slc6a11-72472802"
"Map4k3-657","Tmem86b-72472763"
"Cct2-356082","Mtf2-1510"
"Cuedc2-79556640","Iscu-74819565"
"E4f1-1199","Lancl3-73925716"
"Cpe-1691","Hes1-556"
"Copa-1689","Kctd17-72340180"
"Cyp4f15-1189","Dcn-329"
"Epha4-2187","Pfkl-795"
"Lamb1-71670482","Wnt8b-1890"
"Gtf2i-2277","Lmx1b-1508"
"Cadps-72119581","Plxnb3-1265"
"Abcd1-356086","Emb-73930836"
"Pcnt-1255","Pdxk-788"
"E130012A19Rik-74363349","Klhl36-77371861"
"C2cd2-1986","Prkch-73520406"
