Gene1,Gene2
"Ywhah-1127","Ywhaz-1133"
"Ndufs8-74819243","Ntf5-1393"
"Cdk14-71670684","Gpr18-71015809"
"F3-77280341","Nomo1-1697"
"Gprc5a-77414145","Tmem176b-77866852"
"Arhgdia-75774677","Eif2d-323588"
"Mgat5-73931638","St8sia6-73929596"
"Bad-74881790","Prkar2a-77332735"
"Gpr56-71015815","St6gal1-74658241"
"Nol4-76115737","Otx2-112194935"
"Cblb-74988451","Hrh3-73636034"
"Grk5-77371851","Tbl2-1868"
"Fam69c-73636086","Fbln7-73929875"
"Dnahc9-72472774","Pomp-75774685"
"Cit-75079801","Heatr7a-73992940"
"1600021P15Rik-71924290","Stub1-79912552"
"D16Ertd472e-318","Slc6a9-1420"
"Pkp2-73997149","Smarca2-1972"
"Gabre-75749417","Grik4-75551478"
"Lhx9-112646029","P2ry14-76135748"
"Ndufs8-74819243","Ptgds-79567709"
"Cirh1a-77925143","Lhx9-112646029"
"Ctxn1-74586669","Rasgrp4-76135807"
"Pbx3-76085744","Tbl2-1868"
"LOC545854-73732153","Rab3c-73521805"
"Pmm1-67936010","Vps35-77869144"
"Nmbr-77332086","Tcf7l1-1424"
"Ndrg2-79568051","Slc12a2-74882926"
"Jdp2-73930842","Pvrl3-73521804"
"Gja1-79556642","Pip5k1b-77887888"
"Pdzd2-74988286","Sult1a1-75774114"
"Gsg1l-73636097","LOC381765-74425521"
"Asb8-276276","Itga5-74882636"
"Gldc-77887886","Tspan32-72129242"
"Ccr1-73718058","LOC433740-77340490"
"Dnahc11-73520976","Kcnc2-73512364"
"B3galt5-77280578","Tspan32-72129242"
"Fam114a2-79583813","Pvrl4-2511"
"Plxnd1-77340482","Vim-79907904"
"B630019K06Rik-74881160","Ephb1-72077478"
"Pdgfra-77280309","Trap1-1966"
"Cit-75079801","Galp-79556611"
"Map2k4-276073","St8sia3-73929595"
"Dnajb12-2153","Ywhae-2739"
"Dnahc9-72472774","Vangl1-71670709"
"Rmnd1-77371805","Thbs4-112651416"
"Gnb1-61413","Mgat2-74988614"
"Pvrl4-2511","Tspan32-72129242"
"Pde5a-73931641","Pomp-75774685"
"Gpr18-71015809","Pcdhac1-73512189"
"1110037F02Rik-74988462","Ptgds-79567709"
"Ankrd34c-72472747","LOC545854-73732153"
"C1ra-77874604","Pvalb-79556738"
"Gldc-77887886","LOC433740-77340490"
"1500032L24Rik-75651168","Htr5b-71247644"
"Cdh13-77869863","Ephb1-72077478"
"Fam69c-73636086","Vangl1-71670709"
"Hdac6-74819462","Prox1-73520980"
"Etv1-73512203","Nol4-76115737"
"Ccdc88c-74363346","Chd7-71836884"
"Il17rb-2317","Tnip2-74425540"
"Asb8-276276","Pde5a-73931641"
"Baalc-73520964","Slc35c2-2615"
"B3galt5-77280578","Clic5-77874610"
"Cit-75079801","Scn5a-73907501"
"Atp10b-73635826","Ids-73994671"
"Hrh3-73636034","Terf2ip-112196711"
"Cdh13-77869863","Palm3-74958547"
"Crispld1-72077456","S1pr5-112651200"
"Atp10b-73635826","Heatr7a-73992940"
"Cdh13-77869863","Ntf5-1393"
"Rmnd1-77371805","Tcf7l1-1424"
"Hrh3-73636034","Ntf5-1393"
"Paip2-77869857","Rps5-77868800"
"Hdc-71016663","Rasgrp1-76115742"
"Palm3-74958547","Slc22a23-72128754"
"Mgat5-73931638","St6galnac5-73787946"
"Pknox2-76135815","Rps5-77868800"
"Slc22a23-72128754","Thsd7a-71924155"
"Plcd3-77414915","Stard8-73521808"
"1500002O20Rik-1954","Pdgfra-77280309"
"Bsn-73992923","Robo1-73521820"
"Ebpl-112650122","Itgav-74658082"
"Dpy19l1-75042226","Robo1-73521820"
"Cyc1-357103","Gdnf-112647321"
"Pmm1-67936010","Scd1-71836746"
"Ephb1-72077478","Gpr18-71015809"
"B230362M20Rik-77340460","Ddit4l-71836878"
"Ina-71836833","Styk1-71250308"
"Pvrl4-2511","Sall3-74363352"
"Aars-74641317","B3gnt2-75988600"
"Ddit4l-71836878","E130012A19Rik-74363349"
"F11r-75773698","Slc22a23-72128754"
"Asb8-276276","Clic5-77874610"
"Chst1-71836872","Gpr18-71015809"
"Baalc-73520964","St6galnac5-73787946"
"Dnahc11-73520976","Zdhhc2-72128751"
"Hdc-71016663","Ntrk1-71670679"
"Ankrd34c-72472747","Pttg1-293036"
"Pgr15l-73615804","Scnn1a-70562125"
"Cit-75079801","Ids-73994671"
"Hdac6-74819462","Tmem176b-77866852"
"LOC433740-77340490","Rpl8-74749928"
"Ids-73994671","Vim-79907904"
"Fam55c-74658081","Gata2-100"
"C1ra-77874604","Drd3-75038431"
"Fam114a2-79583813","Pacrg-74743258"
"Ctps-1185","Slc6a9-1420"
"Cdh13-77869863","S1pr5-112651200"
"Csf2rb2-73992937","Dhrs3-112650553"
"Itpr3-74047776","Rnh1-74800925"
"Acsl5-73931635","Utp23-71924008"
"Nrgn-69153759","Syt12-79556632"
"1500032L24Rik-75651168","Kalrn-73930821"
"Dnahc9-72472774","Tac2-77279001"
"Cit-75079801","Gprc5a-77414145"
"Acvrl1-79488929","Drd3-75038431"
"Bnc2-73636164","Magi1-73519705"
"Heg1-74958616","Npffr2-70562070"
"Alg5-75774105","Stard8-73521808"
"Kcnc2-73512364","Pip5k1b-77887888"
"Cdh13-77869863","Pttg1-293036"
"Etfa-74581380","Sall3-74363352"
"Col24a1-73636093","Glra4-75551476"
"P2rx7-75551477","Ttll6-74363338"
"Clcn5-75749741","Vim-79907904"
"Cd44-79556644","Kcna6-74819554"
"Ccdc88c-74363346","Otc-74581369"
"Ina-71836833","Zdhhc2-72128751"
"Col24a1-73636093","Pdgfra-77280309"
"Med8-112196048","Tbl2-1868"
"Il17ra-73520990","Zdhhc2-72128751"
"Ctsb-67779877","Gabre-75749417"
"Cdh13-77869863","Vps35-77869144"
"Chst1-71836872","Sox11-79912528"
"B3galt5-77280578","Ctxn1-74586669"
"Ltbp3-76115733","Selk-74800903"
"Col25a1-71924301","Zfp358-2743"
"Itpr3-74047776","Robo1-73521820"
"Gsg1l-73636097","Magi1-73519705"
"B230362M20Rik-77340460","Fam69c-73636086"
"Chst11-73931625","Utp23-71924008"
"Hdc-71016663","Pmm1-67936010"
"Cyc1-357103","Ngb-79556712"
"Pdgfra-77280309","Tcf7l1-1424"
"Ctxn1-74586669","Rps4y2-75934917"
"Cblb-74988451","Ebpl-112650122"
"Nmbr-77332086","Tm7sf3-77874614"
"Mafb-73771240","Ogfrl1-73818756"
"Clta-74819690","Gpr35-112649690"
"Fam114a2-79583813","Prss39-74749944"
"Nomo1-1697","Spock1-72340122"
"Crispld1-72077456","Sox11-79912528"
"Cstf2-2131","LOC380720-73931422"
"C1ra-77874604","Ina-71836833"
"Ctsb-67779877","LOC433740-77340490"
"Col25a1-71924301","Thsd7a-71924155"
"1500002O20Rik-1954","Elavl2-72340123"
"Htr5b-71247644","Ndrg2-79568051"
"1500032L24Rik-75651168","Med8-112196048"
"Cxcl14-74272041","Slc35c2-2615"
"Nfix-77413698","Pttg1-293036"
"Ephb1-72077478","Sox11-79912528"
"Etfa-74581380","Fam114a2-79583813"
"1110037F02Rik-74988462","Ankrd34c-72472747"
"Ntf5-1393","Slc22a23-72128754"
"Cdk14-71670684","Sox11-79912528"
"Kctd16-73636009","Pbx3-76085744"
"Ebpl-112650122","Ndufs8-74819243"
"Clic5-77874610","E130012A19Rik-74363349"
"Cux1-79556618","Dnahc11-73520976"
"Chchd3-67870084","Col24a1-73636093"
"Dpp4-79568049","Nfkbie-2425"
"Camk1d-73992927","Tspan32-72129242"
"Pla2g16-112650769","Zfp358-2743"
"Plcd3-77414915","Plxnd1-77340482"
"Cdhr1-72104186","Phospho1-71670685"
"9030425E11Rik-71924353","Chd7-71836884"
"Ankrd34c-72472747","F11r-75773698"
"Rnh1-74800925","Sowaha-71250306"
"Acsl5-73931635","Pvrl4-2511"
"B230362M20Rik-77340460","Pomp-75774685"
"Baalc-73520964","Ttll6-74363338"
"Fam46a-73520967","Prox1-73520980"
"Clock-273","Vsnl1-1106"
"Eif3j-321196","Lhx9-112646029"
"Copg2-74819259","Grk5-77371851"
"Clcn5-75749741","Prox1-73520980"
"Nfix-77413698","Pomc-2493"
"Hrh3-73636034","Sema4g-71587856"
"Calml3-79490064","L3mbtl4-72472779"
"B3gnt2-75988600","Gdnf-112647321"
"E130012A19Rik-74363349","Gng2-67936006"
"Gm12429-77340488","Itgbl1-74988458"
"Fkbp10-2220","Kank4-76085741"
"Kalrn-73930821","Pla2g16-112650769"
"Rasal2-75147758","Zfp790-356855"
"LOC545854-73732153","Smarca2-1972"
"Cdh13-77869863","Thsd7a-71924155"
"Apln-67850953","Hbb-b1-67936011"
"Rasgrp1-76115742","Terf2ip-112196711"
"Rps5-77868800","Trap1-1966"
"1500032L24Rik-75651168","Golga7b-76097699"
"Kcnh8-70562113","Sall3-74363352"
"Mafb-73771240","Vim-79907904"
"Itpr3-74047776","Plcd3-77414915"
"Etv1-73512203","Ndrg2-79568051"
"Chst1-71836872","Cstf2-2131"
"Mecp2-79908808","Notum-73732151"
"Ntf5-1393","Ntrk1-71670679"
"Chd7-71836884","Rpl8-74749928"
"Sh2b3-1633","Tmem159-76135828"
"Dpy19l1-75042226","Sowaha-71250306"
"Cstf2-2131","Tbl2-1868"
"Fam46a-73520967","Tmem176b-77866852"
"Dpy19l1-75042226","Galp-79556611"
"Gprc5a-77414145","Gsg1l-73636097"
"B630019K06Rik-74881160","Cblb-74988451"
"1600021P15Rik-71924290","Il17rb-2317"
"Alg5-75774105","Clcn5-75749741"
"Ltk-75988666","Susd2-75146000"
"Kalrn-73930821","Zfand3-77414923"
"Calml3-79490064","Spata2l-73817441"
"BC032203-77867708","Kcna6-74819554"
"Sacm1l-74882832","Zfp790-356855"
"Ndrg2-79568051","Scd1-71836746"
"Chst1-71836872","Ntf5-1393"
