Gene1,Gene2
"Bmp3-72472749","Pck2-71836804"
"Pcdh9-10","Rad23b-881"
"Tmem29-75080656","Ttc9b-71249081"
"Setbp1-1532","Susd2-75146000"
"Dlx2-1482","Nup93-75774679"
"Insrr-71670480","Ttc9b-71249081"
"Pias4-77414895","Smpd1-77413684"
"Acvrl1-79488929","Ttn-74047746"
"9830001H06Rik-77340458","Grik3-75749418"
"Kcnj9-72119580","Six1-1834"
"Gm10413-73929885","Lhcgr-77869818"
"Cd6-112205643","Zfp365-73929873"
"Nr5a1-734","Trav3-3-71670720"
"Slc6a2-73615562","Trp53-67855414"
"Serinc1-77413696","Sox10-79556652"
"Cd6-112205643","Zscan22-247974"
"Gng7-77371857","Matk-76135823"
"Rgs2-73635771","Tmc6-77887880"
"AW046396-72340236","Vamp1-75651233"
"Caml-79568047","Stra6-75041492"
"Gabrr1-75551470","Polr1e-75774108"
"Gabra4-71924402","LOC545810-71924492"
"Pus7-79556638","Slc6a2-73615562"
"Aldh1a1-72103809","Tmc6-77887880"
"Kcnj9-72119580","Shb-71670695"
"Coro1c-75651191","Ptprk-74743303"
"Nfix-77413698","Sult1a1-75774114"
"Alg14-75081004","Coro1c-75651191"
"Fam114a2-79583813","Itga5-74882636"
"Ccdc37-74581372","Cyr61-80343407"
"Adora2a-72109410","Znrf1-74581382"
"Hs3st2-74988765","Lipm-74272035"
"Cops7b-356493","Gm261-73636032"
"Mylk3-73992942","Slc6a2-73615562"
"Lct-73931621","Pot1b-73925715"
"Epha1-74640882","Ttc9b-71249081"
"Pck2-71836804","Tbl3-77413694"
"Rasa4-74425552","Znrf1-74581382"
"Sh3d19-74425516","Smpd1-77413684"
"Cops7b-356493","Hmg20a-357093"
"Epha1-74640882","Shb-71670695"
"2010111I01Rik-71717630","Apc-74881517"
"Satb1-927","Susd2-75146000"
"Gdf1-75081205","Gnal-71670716"
"Cep72-74988742","Tsen34-1944"
"Dok4-1486","Hs3st2-74988765"
"Insrr-71670480","Mtap-79568030"
"Fbxw7-72128750","Vamp1-75651233"
"Matk-76135823","Ptprk-74743303"
"Creb3l1-112197858","Gpr88-79567811"
"Gabrr1-75551470","Sgk3-75650862"
"Gpr156-74641322","Nell1-74357567"
"Efnb3-79556601","Serpinb8-293668"
"Krt73-74750042","Wnt1-112644522"
"Avil-72340234","Necab1-72472791"
"Adam33-75147767","Gpr146-77371845"
"Six1-1834","Vti1a-74641238"
"9830001H06Rik-77340458","Pck2-71836804"
"Rgs2-73635771","Tmem29-75080656"
"Adora2a-72109410","Gpr123-71924056"
"Adam33-75147767","Serinc1-77413696"
"Chat-252","Kcnj9-72119580"
"AW046396-72340236","Rnf152-75043151"
"Dlx2-1482","Ptgs2-71016664"
"Atp11a-75043137","Fdps-76085745"
"9830001H06Rik-77340458","Tmc6-77887880"
"Hs3st2-74988765","Stra6-75041492"
"Chrna2-75551460","Pgrmc2-74882697"
"Six1-1834","Tmem29-75080656"
"Hmgcr-75079789","Uqcr11-67870133"
"Arf1-199390","Lgi3-73520996"
"Prkg1-73521817","Ssr2-77869814"
"LOC434300-75988611","Ttc9b-71249081"
"Kpna4-2359","Thnsl1-74988343"
"Accn4-71924089","Tfam-67936016"
"Gpr88-79567811","Trav3-3-71670720"
"Mdk-1227","Pias4-77414895"
"Avil-72340234","Klf7-112202624"
"Arsa-75749415","Avil-72340234"
"Bcl6-75651139","Cd6-112205643"
"Rnf152-75043151","Srsf9-75043152"
"Clcn2-72119656","Gm6753-77340486"
"Chrnb1-75888752","Ebpl-112650122"
"BC005537-321201","Trp53-67855414"
"Fdps-76085745","Slc4a10-1922"
"N4bp2-74363354","Tbl3-77413694"
"158303","Spint2-74047774"
"Arhgap39-73992939","Kcnj4-74357568"
"1200011I18Rik-77414569","Sh3d19-74425516"
"BC005537-321201","C1qtnf5-293664"
"Pdgfd-1910","Zscan22-247974"
"Creb3l1-112197858","Nova1-73931640"
"Decr1-74425550","Ttc9b-71249081"
"Klf7-112202624","Srsf9-75043152"
"Hpse-77340468","Usp21-2711"
"Iscu-74819565","Pls3-355886"
"Pip4k2c-799","Pot1b-73925715"
"Pip5k1b-77887888","Selk-74800903"
"Arf1-199390","Sox2ot-74658020"
"Nup93-75774679","Sox2ot-74658020"
"Ccdc37-74581372","Slc35f2-74819683"
