Gene1,Gene2
"Bpgm-77414641","Fkbp10-2220"
"Nkx2-1-74988460","Six1-1834"
"Greb1-71924412","Lrrc3-112649047"
"Kcnj14-67853369","Nr5a1-734"
"Creb3l1-112197858","Trps1-75043140"
"Usp11-355883","Vps35-355884"
"Bpgm-77414641","Lims2-75145999"
"Crhr1-297","Susd2-75146000"
"Clic5-77874610","LOC433740-77340490"
"Fkbp10-2220","Lims2-75145999"
"Nin-76115736","Prdx1-836"
"Ar-2039","P2rx3-75888751"
"Ifnar1-588","Nr5a1-734"
"Cdk5r1-247","Fkbp10-2220"
"Csf2rb2-73992937","Rxrg-917"
"Lrrc3-112649047","Nkx2-1-74988460"
"Slc4a10-1922","Terf2ip-112196711"
"Grin2b-74988710","Susd2-75146000"
"Fbln7-73929875","Susd2-75146000"
"P2rx3-75888751","Yme1l1-356849"
"Grb7-112204995","Rps4y2-75934917"
"Grin2b-74988710","Ptgds-851"
"Fkbp10-2220","Kcng1-77340480"
"Crhr1-297","Kcng1-77340480"
"Fbln7-73929875","Satb1-927"
"E130012A19Rik-74363349","Pde11a-75081007"
"Htr2b-79556708","Sun1-74425548"
"Epha4-2187","Nin-76115736"
"Ero1lb-72340145","P2rx3-75888751"
"Galr2-80517343","Slc4a10-1922"
"Bpgm-77414641","Traip-77887842"
"Hbb-b1-67936011","Prdx1-836"
"Magix-74581446","Plxna3-1403"
"P2rx3-75888751","Slc4a10-1922"
"Iyd-71015205","Ptrf-73521818"
"9430020K01Rik-75988537","Pitx2-79556607"
"Lims2-75145999","Magix-74581446"
"Grin2b-74988710","LOC434300-75988611"
"Cdk5r1-247","Kcng1-77340480"
"Aldh5a1-77925007","Krt73-74750042"
"Plxna3-1403","Susd2-75146000"
"Crhr1-297","Fkbp10-2220"
"Krt73-74750042","Slc35f1-75084145"
"Cdk5r1-247","Crhr1-297"
"Gabre-75749417","Susd2-75146000"
"Ptgds-851","Susd2-75146000"
"Lzic-276064","Rprm-75651169"
"AW046396-72340236","Pitx2-79556607"
"Nmb-71836874","Yme1l1-356849"
"Hebp1-74988456","Slc26a10-74273116"
"Krt73-74750042","Prdx1-836"
"Cdk5r1-247","Ptgds-851"
"Pitx2-79556607","Syap1-1858"
"Adcy4-73512495","Rfxank-67881545"
"Fam46a-75042237","Pcp2-77413702"
"Grb7-112204995","Ngb-79556712"
"Magix-74581446","Traip-77887842"
"E130012A19Rik-74363349","Kcng1-77340480"
"Galr2-80517343","P2rx3-75888751"
"Bpgm-77414641","Cdk5r1-247"
"Mlx-227539","Six3os1-75041431"
"Nin-76115736","Nr5a1-734"
"Cdk5r1-247","E130012A19Rik-74363349"
"Clic5-77874610","Gldc-77887886"
"Ccdc85a-75081006","Dnahc11-73520976"
"D830029A09Rik-72472778","Mtpn-2411"
"Ier2-71836849","Six1-1834"
"Fkbp10-2220","Traip-77887842"
"Dhrs3-112650553","Filip1-73635796"
"Htr2b-79556708","Tacr1-79591721"
"Mtpn-2411","Trps1-75043140"
"Apln-67850953","Khdrbs3-73769321"
"Greb1-71924412","Ier2-71836849"
"Klhl36-77371861","Magix-74581446"
"Csf2rb2-73992937","Filip1-73635796"
