Gene1,Gene2
"Gng4-515","Vtn-67752116"
"Erbb2-1709","Kcnv2-1764"
"Cd44-79556644","Npr1-71670678"
"LOC380720-73931422","Palm3-74958547"
"Irak1-2323","Snap91-984"
"Susd4-75774678","Zfp238-2741"
"Aars-74641317","Slc38a1-75988508"
"Acsl5-73931635","Setbp1-1532"
"Fam114a2-79583813","Pvrl4-2511"
"Bpgm-77414641","Hmx3-74641309"
"C030034I22Rik-72472751","Ssrp1-74819346"
"BC032203-77867708","Sccpdh-73635772"
"Il17rb-2317","Trap1-1966"
"Clic5-77874610","Kcna6-74819554"
"Kank4-76085741","Setbp1-1532"
"LOC433740-77340490","Rasgrp4-76135807"
"Clic5-77874610","Tpbg-76085743"
"Aars-74641317","Mgat2-74988614"
"Adrb1-77340494","P2rx7-75551477"
"Prss12-71836879","Tmeff1-77395095"
"Cdh3-1337","Fgfr1-440"
"C030034I22Rik-72472751","Ybx2-75080250"
"Samd14-73930839","Sema4g-71587856"
"Egr4-74800827","Sccpdh-73635772"
"Ppp1r1a-75773706","Ybx2-75080250"
"Cyp46a1-70613977","Nr5a1-734"
"Ctxn1-74586669","Vangl1-71670709"
"Chd7-71836884","St8sia6-73929596"
"E130012A19Rik-74363349","Rasgrp4-76135807"
"Ero1lb-72340145","Spata2l-73817441"
"Gabarap-2245","Satb1-2545"
"Fam46a-75042237","Pde11a-75081007"
"BC032203-77867708","Satb1-927"
"Prdx5-76115740","Slc9a6-76115744"
"Adrb1-77340494","Kcna6-74819554"
"Lims2-75145999","Ltk-75988666"
"Gdi2-491","Supt5h-2647"
"Drd4-112650336","Mgat2-74988614"
"Clic5-77874610","P2rx7-75551477"
"Sap30l-73907495","Ssrp1-74819346"
"Il17rd-74958537","Neurod2-75651126"
"Sap30l-73907495","Setbp1-1532"
"Egln1-77340476","Slc8a2-74581450"
"LOC380720-73931422","Rab3c-73521805"
"Pbx3-76085744","Wnt5a-79556660"
"Myc-112194721","Paip2-77869857"
"Acsl5-73931635","Ppp1r1a-75773706"
"Apbb2-73512196","Sema4g-71587856"
"Hmx3-74641309","Myo10-74743255"
"Ccdc37-74581372","Tspyl4-67936212"
"158303","Mapk13-2397"
"Hmx3-74641309","Lims2-75145999"
"Apbb1-2033","Camk2g-189"
"Elfn1-71587930","Upp1-71836877"
"D8Ertd82e-73931630","Rapgef4-74749895"
"Csf2rb2-73992937","Nomo1-1697"
"LOC433740-77340490","P2rx7-75551477"
"Gm12429-77340488","Sox10-79556652"
"Acsl5-73931635","Synj2bp-77414884"
"Cntnap3-71924451","D630014O11Rik-75080645"
"BC032203-77867708","Lims2-75145999"
"Arf3-110","Arl5a-74274688"
"C230081A13Rik-73931624","Mlec-73930854"
"Myc-112194721","Pdgfra-77280309"
"Ctss-77371797","Gm12429-77340488"
"Ccdc37-74581372","Gm12429-77340488"
"Drd4-112650336","Rps4y2-75934917"
"Bpgm-77414641","Sccpdh-73635772"
"Cux1-79556618","Tcf7l1-1424"
"Alg2-73931383","Gabrr2-79589524"
"Rps4y2-75934917","Slc38a1-75988508"
"Dhrs3-112650553","Lhx9-112646029"
"Trap1-1966","Vdr-112204135"
"BC032203-77867708","Egr4-74800827"
"Egln1-77340476","Rps4y2-75934917"
"Lct-73931621","Taok1-74819235"
"Pip4k2c-799","Traip-77887842"
"Acsl5-73931635","Sap30l-73907495"
"Gabrr2-79589524","Mfap1a-74988551"
"Fbln7-73929875","Magix-74581446"
"Bhlhe40-356488","D630014O11Rik-75080645"
"Kcna6-74819554","Tpbg-76085743"
"Gabrr2-79589524","Rcsd1-75934525"
"Dlx2-1482","Stap2-73512501"
"Mafb-73771240","Mdfi-112648831"
"Grik4-75551478","Magix-74581446"
"E130012A19Rik-74363349","Kcna6-74819554"
"Atp11a-75043137","Gpr139-79490116"
"Atp11a-75043137","Fdps-76085745"
"Copg2-74819259","Slc25a25-544516"
"Prune2-77874616","Susd4-75774678"
"Satb1-927","Setbp1-1532"
"Lhx2-79568024","Pbx3-76085744"
"Chd7-71836884","Dnahc9-72472774"
"Chst1-71836872","Tmem109-74988461"
"Ampd3-77371807","C030034I22Rik-72472751"
"Kank4-76085741","Ppp1r1a-75773706"
"Anxa4-70436730","Dmp1-74511936"
"BC032203-77867708","Bsdc1-74988722"
"Drd4-112650336","Slc8a2-74581450"
"Prune2-77874616","Taok1-74819235"
"Lhx2-79568024","Pop4-77869859"
"Gphn-1211","Tmbim6-2663"
"Gpr89-67881554","Lzic-276064"
"Atp2a2-74881549","Stmn4-1006"
"Clip2-2137","Syt13-1864"
"Lct-73931621","Prune2-77874616"
"Sccpdh-73635772","Susd2-75146000"
"Chd7-71836884","Kcnh8-70562113"
"Kank4-76085741","Sap30l-73907495"
"Susd2-75146000","Ybx2-75080250"
"Golga7b-76097699","Hmgcr-75079789"
"Htr4-72119658","LOC381355-71924491"
"Akap2-1448","Rgs4-1569"
"Rapgef4-74749895","Vldlr-121089"
"Fam46a-75042237","Slc38a1-75988508"
"158303","Ptn-2507"
"Bsdc1-74988722","Ctxn1-74586669"
"Slc5a7-73929608","Slc6a15-73929609"
"Kank4-76085741","Ltk-75988666"
"Sema4g-71587856","Tmem33-356284"
"Ccdc85a-75081006","Gm12429-77340488"
"Col25a1-71924301","Pla2g16-112650769"
"Sorbs1-74425572","Vps35-77869144"
"Inpp5a-73994713","Sap30l-73907495"
"Nes-1387","Srgap3-316"
"Chst1-71836872","Thsd7a-71924155"
"Lims2-75145999","Susd2-75146000"
"Grin2b-74988710","Myo10-74743255"
"Pcsk2-72080025","Slc31a2-75773700"
"Itga11-74882626","LOC235953-73931419"
"Dnahc9-72472774","St8sia6-73929596"
"LOC380720-73931422","P2rx3-75888751"
"Atp11a-75043137","B2m-71924291"
"Sema4g-71587856","Sorbs1-74425572"
"Igfn1-75988547","Itga11-74882626"
"Ccr1-73718058","Msrb2-76135795"
"Nomo1-1697","Vdr-112204135"
"Alg2-73931383","S100a6-77278967"
"Satb1-927","Synj2bp-77414884"
"Fzd4-77925095","Prss12-71836879"
"Hectd2-2002","Irak1-2323"
"Egr4-74800827","Ppp1r1a-75773706"
"Lims2-75145999","Myo10-74743255"
"Lims2-75145999","Ybx2-75080250"
"B630019K06Rik-74881160","Sema4g-71587856"
"Aldh1a1-72103809","Gng7-77371857"
"Gnb1-61413","Mgat2-74988614"
"Fam46a-75042237","Rps4y2-75934917"
"Cux1-79556618","Lzic-276064"
"Bpgm-77414641","Bsdc1-74988722"
"Fam189a1-72340182","Tmeff1-77395095"
"Bpgm-77414641","Ssrp1-74819346"
"Cks2-80517357","Mdfi-112648831"
"Gng7-77371857","Scnn1a-70562125"
"Egr4-74800827","Kank4-76085741"
"Fam163b-73520970","Hmgcs1-80517057"
"Ltk-75988666","Satb1-927"
"Ampd3-77371807","Kank4-76085741"
"9630013P03Rik*-77280434","Drd4-112650336"
"Npdc1-715","Supt5h-2647"
"Pdk3-2474","Ugp2-2705"
"Setbp1-1532","Susd2-75146000"
"Cux1-79556618","Gpr89-67881554"
"Satb1-927","Ssrp1-74819346"
"Atp6v1b2-129","Car8-191"
"Ctxn1-74586669","Etfa-74581380"
"Gng4-515","Traip-77887842"
"Krt73-74750042","Tmem159-76135828"
"B2m-71924291","Cd44-79556644"
"Acan-77869840","St6galnac6-74047902"
"Adrb1-77340494","Tpbg-76085743"
"Eif5a-2183","Olfm1-760"
"Ehbp1l1-73817932","P2rx4-75551474"
"Grin2b-74988710","Hmx3-74641309"
"Dag1-355892","Dynlrb1-323592"
"Itpk1-71923998","Pcp2-77413702"
"Calml3-79490064","Inpp1-67870434"
"Cstf2-2131","Thsd7a-71924155"
"Bpgm-77414641","Cdhr1-72104186"
"Akap13-74581373","Tgfbr2-74819696"
"C230081A13Rik-73931624","Tmeff1-77395095"
"Phospho1-71670685","Svil-77332748"
"Tspan15-70612725","Zyx-71670710"
"Ampd3-77371807","Bpgm-77414641"
"Hgf-77867710","Lct-73931621"
"Ccdc37-74581372","Itgbl1-74988458"
"Hgf-77867710","Plcd3-77414915"
"Actc1-62","Prnp-1405"
"Mdfi-112648831","Ubl4-75774670"
"1500032L24Rik-75651168","Ube2t-276069"
"Hmx3-74641309","Ltk-75988666"
"Krt73-74750042","Vim-79907904"
"Acsl5-73931635","Ybx2-75080250"
"Inpp1-67870434","Otx2-112194935"
"Traip-77887842","Vtn-67752116"
"Fam114a2-79583813","Slc8a2-74581450"
"Gnb1-61413","Slc8a2-74581450"
"Dgcr6-73592535","Tspan15-70612725"
"9630013P03Rik*-77280434","Slc38a1-75988508"
"Shh-1418","Xbp1-1119"
"Il17rd-74958537","Slc39a5-76135744"
"BC032203-77867708","Grin2b-74988710"
"Ctss-77371797","Rgs2-73635771"
"Il17rd-112647967","Pop4-77869859"
"Lct-73931621","Plcd3-77414915"
"Oprk1-80517217","Pknox2-76135815"
"Rb1cc1-75043159","Stard13-71587846"
"Grin2b-74988710","Kank4-76085741"
"Ppp1r1a-75773706","Sap30l-73907495"
"Actc1-62","Cd81-226"
"B630019K06Rik-74881160","Samd14-73930839"
"Baalc-73520964","Msrb2-76135795"
"Ankrd34c-72472747","LOC380720-73931422"
"9630013P03Rik*-77280434","B2m-71924291"
"Myo10-74743255","Ssrp1-74819346"
"Col24a1-73636093","Itga3-598"
"Mfap1a-74988551","Pcsk2-72080025"
"Dennd5a-1526","Dlx2-1482"
"Dhrs3-112650553","Rps5-77868800"
"Dhrs3-112650553","Nomo1-1697"
"Kcng1-77340480","Sap30l-73907495"
"E130012A19Rik-74363349","P2rx7-75551477"
"Ghitm-1207","Papola-1251"
"Cap1-323396","Cyc1-357103"
"Sox11-79912528","Sult1a1-75774114"
"Ccdc37-74581372","Sox10-79556652"
"Agtr1a-2021","Obfc1-1938"
"Cd33-75043153","Wnt5a-79556660"
"Il17rd-74958537","Tmem109-74988461"
"Syt2-1023","Traf5-2693"
"Lzic-276064","Rps5-77868800"
"Lhcgr-77869818","Zfp238-2741"
"Alg2-73931383","Lass4-176962"
"P2rx7-75551477","Pitpnc1-75144644"
"BC032203-77867708","Bpgm-77414641"
"BC032203-77867708","Kank4-76085741"
"Synj2bp-77414884","Ybx2-75080250"
"Oprd1-112646675","Samd14-73930839"
"Stmn4-1006","Top1-74957897"
"Drd4-112650336","Gnb1-61413"
"B2m-71924291","Mgat2-74988614"
"Ppp1r1a-75773706","Synj2bp-77414884"
"Ssrp1-74819346","Synj2bp-77414884"
"Ccr1-73718058","Pvrl4-2511"
"Dmwd-2151","Fam195a-1996"
"Lzic-276064","Slc18a2-79591703"
"Cdkn1a-2085","Pde1a-782"
"Ctxn1-74586669","Setbp1-1532"
"Myo10-74743255","Ybx2-75080250"
"LOC381355-71924491","Prkar2a-77332735"
"Acsl5-73931635","Bsdc1-74988722"
"Fam189a1-72340182","Mlec-73930854"
"Sh2b3-80517009","Slc18a2-79591703"
"Gnb1-61413","Gpr139-79490116"
"Neurod2-75651126","Slc39a5-76135744"
"Grin2b-74988710","Kcng1-77340480"
"Slc29a4-77414149","St6galnac6-74047902"
"Cdhr1-72104186","Ctxn1-74586669"
"Calml3-79490064","Hmgcr-75079789"
"Ctla4-75079745","Pop4-77869859"
"Erbb2-1709","Gmfb-1726"
"Fam189a1-72340182","Prss12-71836879"
"Mdfi-112648831","Plxnd1-77340482"
"Magix-74581446","St8sia6-73929596"
"Dnajb12-2153","Ugp2-2705"
"C030034I22Rik-72472751","Setbp1-1532"
"Ampd3-77371807","Bsdc1-74988722"
"Myo10-74743255","Sccpdh-73635772"
"Foxa1-77869794","Mdfi-112648831"
"Gpr89-67881554","Trap1-1966"
"Col27a1-74272916","Pknox2-76135815"
"Plk1-2487","Reep5-2159"
"Gabre-75749417","Phospho1-71670685"
"Kcng1-77340480","Ybx2-75080250"
"Slc18a2-79591703","Trap1-1966"
"Setbp1-1532","Ybx2-75080250"
"Clk2-356286","Sema4g-71587856"
"Bpgm-77414641","Sap30l-73907495"
"Hmx3-74641309","Synj2bp-77414884"
"Nomo1-1697","Rps5-77868800"
"B630019K06Rik-74881160","Oprd1-112646675"
"Baalc-73520964","Pdcl-324213"
"Ankfn1-74047714","Tnfrsf11a-199393"
"Cdk14-71670684","Lhx2-79568024"
"C130060K24Rik-1164","Zfp238-2741"
"Egr4-74800827","Grin2b-74988710"
"Aars-74641317","Tac2-77279001"
