Gene1,Gene2
"Chat-252","N4bp2-74363354"
"Arx-118","Thbs4-112651416"
"Bcl6-75651139","Dok1-75042248"
"Clic5-77874610","LOC433740-77340490"
"Fhdc1-73925717","Susd2-75146000"
"Epha4-2187","Prdx1-836"
"Cdk5-244","Tmem215-73636150"
"Oprd1-112646675","Tmem33-356284"
"Atp5h-77371785","Mtpn-2411"
"A4galt-71717165","BC031353-77371767"
"Chat-252","Hkdc1-70634299"
"Camk4-75038464","Col9a2-74750022"
"LOC381355-71924491","Pdyn-71717084"
"Arx-118","Oxt-112648396"
"Ccdc85a-75081006","Grin2b-74988710"
"Cer1-2091","Lmod2-73636019"
"Gm261-73636032","Oprd1-112646675"
"Aff4-2363","F13a1-74882565"
"9430020K01Rik-75988537","Dlx2-1482"
"Acan-77869840","Ldhd-74425554"
"Th-1056","Zfp932-75774665"
"Satb1-79488931","Susd4-75774678"
"Acan-77869840","Eif3j-321196"
"Dnajc12-73718054","Oprd1-112646675"
"Ccdc85a-75081006","Tyr-79591699"
"Fam46a-75042237","Nin-76115736"
"3830406C13Rik-77414919","Mylk-74819252"
"Hkdc1-70634299","Igfn1-75988547"
"Copa-1689","Gm261-73636032"
"Fam46a-75042237","Slc22a3-73931644"
"Prdx1-836","Traip-77887842"
"Slc22a3-73931644","Zic1-72103843"
"Dbr1-2141","Eps8l2-74658244"
"Itga3-598","LOC433740-77340490"
"Mylk3-73992942","Tmem33-356284"
"Terf2ip-112196711","Tmem215-73636150"
"Gdf1-75081205","Prdx1-836"
"Hpca-72129291","Myc-112194721"
"Dhrs3-112650553","Nrbp2-75774686"
"Arhgdia-75774677","Syt11-2649"
"Bpgm-77414641","Satb1-927"
"Filip1l-74363347","Myc-112194721"
"Ccdc85a-75081006","Lhx2-79568024"
"Dbi-71836880","Iyd-71015205"
"Chrm4-79591641","Dhrs3-112650553"
"Cdc25b-74274686","Meis3-74047845"
"Cdc25b-74274686","Cep72-74988742"
"Bcl11a-71836837","Prpf6-67850946"
"E130012A19Rik-74363349","Rnasek-75934529"
"Pdha1-323397","Rwdd2b-1587"
"Pcp2-77413702","Rps5-77868800"
"Hpca-72129291","Oprd1-112646675"
"Kcng1-77340480","Susd2-75146000"
"Ccdc85a-75081006","Dok2-2155"
"Lrmp-74274684","Ybx2-75080250"
"Filip1l-74363347","Pip4k2c-799"
"Chat-252","Grin2b-74988710"
"Coro1c-75651191","Rgs2-73635771"
"Gpr151-74724649","Rassf4-74988636"
"Dhrs3-112650553","Grb7-112204995"
"Fbxo2-2210","Syap1-1858"
"Iyd-71015205","Zbtb20-79568020"
"Grin2b-74988710","Mm.86217-74641161"
"Gpr151-74724649","N4bp2-74363354"
"Rps4y2-75934917","Usp11-355883"
"Crlf2-1882","Ezr-2715"
"Lzic-276064","Rprm-75651169"
"Dpysl5-73635770","Egr4-74800827"
"Hpca-72129291","Tcf7l1-1424"
"Fezf2-75651163","Hkdc1-70634299"
"Gm4887-73931418","Pigy-276271"
"Hcrtr1-77868713","Pth1r-112202195"
"Lmo2-2383","Tiam1-1059"
"Acacb-74881515","Csk-75651192"
"Gpr151-74724649","Rgs2-73635771"
"Kcng1-77340480","Rarres1-75084131"
"Arhgef2-2043","Hmga1-2295"
"Lhx2-79568024","Rarres1-75084131"
"Dnajc12-73718054","Mylk3-73992942"
"Ccdc85a-75081006","Fezf2-75651163"
"Coro1c-75651191","Fhdc1-73925717"
"Cdk5-244","Limk1-640"
"LOC545352-74988758","Rps15-75774687"
"Slc22a3-73931644","Tmem33-356284"
"Gnal-71670716","Hook3-1197"
"Copa-1689","Slc35f1-75084145"
"Fabp3-418","Hebp1-74988456"
"Oxt-112648396","Zfp932-75774665"
"Cdkn1a-80343383","Gabre-75749417"
"Nrip1-739","Six1-1834"
"Rxrg-917","Shroom1-1315"
"Hpca-72129291","Pip4k2c-799"
"Krt73-74750042","Vav3-76085746"
"Abcd1-356086","Lhx2-2375"
"Plxna3-1403","Terf2ip-112196711"
"Nmb-71836874","Pip4k2c-799"
"Fezf2-75651163","Rarres1-75084131"
"B4galt3-357099","Greb1-71924412"
"Myc-112194721","Zbtb20-79568020"
"Mri1-75773703","Zbtb20-79568020"
"Pip4k2c-799","Tmem33-356284"
"Fam46a-75042237","Mylk3-73992942"
"Bcl11a-71836837","Synpr-1862"
"Gnal-71670716","Myc-112194721"
"Grin2b-74988710","Lims2-75145999"
"Lims2-75145999","Mm.86217-74641161"
"Gm261-73636032","Pcp2-77413702"
"Fabp3-418","Pnrc1-2501"
"Ccdc85a-75081006","Slco1a5-67850945"
"3830406C13Rik-77414919","LOC433740-77340490"
"Hcrtr1-77868713","Six3os1-75041431"
"Kctd17-72340180","Magel2-79591571"
"Klhl1-73520995","Wnt8b-1890"
"Filip1l-74363347","Oprd1-112646675"
"Epha4-2187","Fbxl5-422"
"Bpgm-77414641","Tyr-79591699"
"Iyd-71015205","Mylk3-73992942"
"Grik3-75749418","Lims2-75145999"
"Coro1c-75651191","Grin2b-74988710"
"Chst10-74657931","Rps4y2-75934917"
"Myc-112194721","Slc35f1-75084145"
"Hpca-72129291","Nin-76115736"
"LOC545352-74988758","Th-1056"
"Ccnd2-205","Cd44-224"
"Cul4a-75749399","Kcnj6-609"
"Dpysl5-73635770","Fezf2-75651163"
"Dlx2-1482","Hmg20a-357093"
"Gpr139-79490116","Rps4y2-75934917"
"Gdf1-75081205","Hook3-1197"
"Eps8l2-74658244","Neurod2-75651126"
"Impact-594","Mtpn-2411"
"Nxf7-75988557","Scn1a-77340528"
"Epha4-2187","Mri1-75773703"
"Hook3-1197","Nmb-71836874"
"Eif3j-321196","Magix-74581446"
"Grik3-75749418","Zim2-76135811"
"Eif3j-321196","Fam78b-72472750"
"Pcnt-1255","Slc22a3-73931644"
"Chat-252","Egr4-74800827"
"Gm261-73636032","Rps5-77868800"
"Ccdc85a-75081006","N4bp2-74363354"
"Neurod2-75651126","Nxf7-75988557"
"Dpysl5-73635770","Satb1-927"
"Bpgm-77414641","Susd2-75146000"
"Arx-118","Th-1056"
"Cysltr1-75651227","Magix-74581446"
"Nol4-76115737","Syt10-79556609"
"Fhdc1-73925717","Rgs2-73635771"
"Egr4-74800827","Tyr-79591699"
"N4bp2-74363354","Satb1-927"
"Magel2-79591571","Mylk3-73992942"
"Btd-2069","Xbp1-1119"
"Gdf1-75081205","Magel2-79591571"
"Fezf2-75651163","Grin2b-74988710"
"Oprd1-112646675","Pip4k2c-799"
"Bdnf-79587720","Nin-76115736"
"Rarres1-75084131","Rgs2-73635771"
"Chat-252","Tyr-79591699"
"Ar-2039","Gabre-75749417"
"Slc35f1-75084145","Terf2ip-112196711"
"Igfn1-75988547","Rgs2-73635771"
"Tyr-79591699","Ybx2-75080250"
"Mgat2-74988614","Traip-77887842"
"Bpgm-77414641","Rarres1-75084131"
"Mgat2-74988614","Pip4k2c-799"
"Pcnt-1255","Slc4a10-1922"
"Cd1d1-219","ORF63-1247"
"Gnal-71670716","Zic1-72103843"
"LOC381355-71924491","Pou2f1-1563"
"Ier2-71836849","Tmc6-77887880"
"Fam78b-72472750","Fbln7-73929875"
