Gene1,Gene2
"Lrmp-74274684","Rgs2-73635771"
"2010300C02Rik-70743898","Ampd3-77371807"
"C1qa-77371775","Nxn-72007747"
"Col16a1-74273122","Lhcgr-77869818"
"Clip4-75774680","Nxn-72007747"
"Dach2-74819331","Serpinb8-293668"
"Slc20a2-70231308","Slc6a4-79591679"
"Mef2a-199392","Oit1-227164"
"Decr1-74425550","Sh3d19-74425516"
"Gsta4-77278951","Rgnef-74272892"
"Gabra4-71924402","Shb-71670695"
"Crh-292","Pnrc1-2501"
"Aqp9-2037","Pcdhb2-74743271"
"Gpx2-74819652","Pld5-77280438"
"Flrt2-73931417","Nrm-75042265"
"Nxn-72007747","Thnsl1-74988343"
"Ipo4-74658174","Tmie-74957868"
"Rspo2-71016632","Traf2-2691"
"Serinc1-77413696","Sik3-74881867"
"Adrb1-77340494","Cldn11-77280580"
"Ano6-77887878","Ipo4-74658174"
"Mef2c-79567505","Rgnef-74272892"
"Pfkfb2-1399","Prss12-71836879"
"Dkk4-112647536","Znrf1-74581382"
"Fndc3b-74988759","Lrrc55-73931406"
"Cadm2-73635999","Tpbg-76085743"
"Ppp1r1a-75773706","Tmem29-75080656"
"Chrnb3-70436747","Pck2-71836804"
"Map2k5-323585","Sssca1-79556714"
"Crlf3-112195365","Sssca1-79556714"
"C030046I01Rik-74881890","Tmeff1-77395095"
"Junb-2335","Rps5-77868800"
"Pfkfb2-1399","Prrx2-1522"
"Synj2bp-77414884","Tspyl4-67936212"
"Slc4a10-1922","Zfp280c-1669"
"Fndc3b-74988759","Sostdc1-77874602"
"Mef2a-199392","Nrtn-741"
"Mtap1a-76115734","Pck2-71836804"
"2010300C02Rik-70743898","Axin1-2053"
"9430020K01Rik-75988537","Lzic-276064"
"2010111I01Rik-71717630","Gabra4-71924402"
"2010111I01Rik-71717630","Vti1a-74641238"
"Rapgef6-75041528","Rorb-2539"
"Six3os1-75041431","Susd4-75774678"
"Rps5-77868800","Zbtb20-79568020"
"Csk-75651192","Rbmx-75043154"
"Mafb-73771240","Prrx2-1522"
"Inhbb-73636087","Ipo4-74658174"
"Elmod1-71924269","P2rx7-75551477"
"Cadm2-73635999","Ndufa10-74658173"
