Gene1,Gene2
"1110037F02Rik-74988462","Itgav-74658082"
"Lrrtm3-73931637","Pdgfra-77280309"
"Ankrd34c-72472747","Ndrg2-79568051"
"Ntf5-1393","Pttg1-293036"
"Fam114a2-79583813","Kank4-76085741"
"Kcnh8-70562113","Pvrl4-2511"
"Copg2-74819259","Kalrn-73930821"
"Lef1-77866900","Ngb-79556712"
"Ndufs8-74819243","Pcdhac1-73512189"
"Camk1d-73992927","Pomp-75774685"
"Lef1-77866900","Prss39-74749944"
"Gldc-77887886","Tspan32-72129242"
"E130012A19Rik-74363349","Vangl1-71670709"
"Ntf5-1393","Zfand3-77414923"
"Aldh1a1-72103809","Gng7-77371857"
"Fkbp10-2220","Pde11a-75081007"
"Chd7-71836884","Otc-74581369"
"Cstf2-2131","Sult1a1-75774114"
"Col25a1-71924301","Ntf5-1393"
"Fbln2-321208","Pvalb-79556738"
"Bsdc1-74988722","Setbp1-1532"
"Cux1-79556618","Tm7sf3-77874614"
"Zfand3-77414923","Zfp358-2743"
"Ccdc85a-75081006","Tspyl4-67936212"
"Baalc-73520964","Gng2-67936006"
"Gabre-75749417","St6galnac5-73787946"
"Cyp39a1-77874608","P2ry14-76135748"
"Fam69c-73636086","Sox14-73636036"
"C130096N06Rik-73635978","Jdp2-73930842"
"LOC545854-73732153","P2rx3-75888751"
"Aars-74641317","Grik4-75551478"
"Pkp2-73997149","Slc12a2-74882926"
"Elavl2-72340123","Fbln2-321208"
"Copg2-74819259","Kctd16-73636009"
"Baalc-73520964","Gabre-75749417"
"Kctd16-73636009","Terf2ip-112196711"
"Ankrd34c-72472747","Reps2-76135799"
"Baalc-73520964","St6galnac5-73787946"
"Cstf2-2131","Pkp2-73997149"
"Cdh13-77869863","Napb-75651234"
"Slc12a2-74882926","Terf2ip-112196711"
"Pip5k1b-77887888","Prkg1-73521817"
"Cirh1a-77925143","Paip2-77869857"
"Dtnbp1-75651202","Grik4-75551478"
"Pmm1-67936010","S1pr5-112651200"
"E130012A19Rik-74363349","Lef1-77866900"
"Sox14-73636036","Utp23-71924008"
"Msrb2-76135795","Tac2-77279001"
"Itga5-74882636","Kank4-76085741"
"Copg2-74819259","Palm3-74958547"
"Ccr1-73718058","Svil-77332748"
"Ccdc85a-75081006","Rgs2-73635771"
"Fam114a2-79583813","St8sia6-73929596"
"Elavl2-72340123","Nomo1-1697"
"F3-77280341","Trap1-1966"
"B2m-71924291","Svil-77332748"
"Nfix-77413698","Ntrk1-71670679"
"Kank4-76085741","Map2k4-276073"
"Napb-75651234","Pmm1-67936010"
"Col5a1-75147768","Pomp-75774685"
"Ccr1-73718058","Ddx26b-75988610"
"Baalc-73520964","Map2k4-276073"
"Mgat5-73931638","Rpl8-74749928"
"Cblb-74988451","Sema4g-71587856"
"St6galnac5-73787946","Vangl1-71670709"
"Crabp1-1179","Trhr-1303"
"9630013P03Rik*-77280434","Magix-74581446"
"Rasgrp1-76115742","Scd1-71836746"
"9630013P03Rik*-77280434","Svil-77332748"
"Ankrd34c-72472747","Pomc-2493"
"Clcn2-72119656","Lrrtm3-73931637"
"C130096N06Rik-73635978","Cxcl14-74272041"
"158303","Camk2g-189"
"Col5a1-75147768","Fbln7-73929875"
"Palm3-74958547","Reps2-76135799"
"Col5a1-75147768","Gldc-77887886"
"Cxcl14-74272041","Magix-74581446"
"LOC545854-73732153","Vps35-77869144"
"Fam114a2-79583813","Ttpal-74641323"
"Dtnbp1-75651202","Etfa-74581380"
"B3galt5-77280578","Ttll6-74363338"
"Ddx26b-75988610","Mgat5-73931638"
"Il17ra-73520990","Trap1-1966"
"Il17rd-74958537","Slc25a25-544516"
"Magix-74581446","Svil-77332748"
"Etv1-73512203","Rasgrp1-76115742"
"Cdk14-71670684","LOC545854-73732153"
"Copg2-74819259","Thsd7a-71924155"
"Fbln7-73929875","Map2k4-276073"
"Cwh43-74819236","Notch3-1788"
"Hrh3-73636034","Pttg1-293036"
"Acvrl1-79488929","Rps5-77868800"
"Sema4g-71587856","Thsd7a-71924155"
"1500002O20Rik-1954","Clcn2-72119656"
"B4galt5-73635976","Utp23-71924008"
"Col25a1-71924301","Ero1lb-72340145"
"Prss39-74749944","Pvrl4-2511"
"Itpk1-71923998","Panx2-74581443"
"B230362M20Rik-77340460","Vangl1-71670709"
"Dnahc11-73520976","P2ry14-76135748"
"1500002O20Rik-1954","Fbln2-321208"
"Mmgt1-77414585","Palm3-74958547"
"Jdp2-73930842","Kank4-76085741"
"Ccdc88c-74363346","Fbln7-73929875"
"B630019K06Rik-74881160","Cblb-74988451"
"Ankrd34c-72472747","Gpr18-71015809"
"Map2k4-276073","Rps4y2-75934917"
"Reps2-76135799","Sema4g-71587856"
"Rps4y2-75934917","Tspan32-72129242"
"Dnahc9-72472774","Rpl8-74749928"
"Gja1-79556642","Pdgfra-77280309"
"Chd7-71836884","Gabre-75749417"
"Dnahc9-72472774","Lef1-77866900"
