Gene1,Gene2
"Dnajc6-71358627","Gria4-71358628"
"Mmgt1-77414585","Slc12a2-74882926"
"Chat-252","LOC434300-75988611"
"Ppp1r7-832","Tnip2-74425540"
"Dpysl5-73635770","Fhdc1-73925717"
"Atp5h-77371785","Tnip2-74425540"
"Hmgcr-75079789","Slc25a25-544516"
"Ccdc85a-75081006","Rgs2-73635771"
"Fhdc1-73925717","Grik3-75749418"
"Pip4k2c-799","Tmem33-356284"
"Gm261-73636032","Traip-77887842"
"Ero1lb-72340145","Terf2ip-112196711"
"Kcng1-77340480","Susd2-75146000"
"Grin2b-74988710","Kcng1-77340480"
"Nin-76115736","Sigmar1-112196265"
"0610010F05Rik-74957923","Nkd1-74586666"
"LOC434300-75988611","Slco1a5-67850945"
"Nkx2-1-74988460","Srsf9-75043152"
"Creb3l1-112197858","Srsf9-75043152"
"Dpysl5-73635770","LOC434300-75988611"
"Greb1-71924412","Klf7-112202624"
"Gnal-71670716","Traip-77887842"
"Terf2ip-112196711","Zfand3-77414923"
"E130012A19Rik-74363349","Fbln7-73929875"
"Arhgdia-75774677","Nfix-2423"
"B4galt6-2055","Klc2-618"
"Eps8l2-74658244","Nol4-76115737"
"0610010F05Rik-74957923","Col9a2-74750022"
"Gldc-77887886","Otc-74581369"
"Filip1l-74363347","Gnal-71670716"
"Mgat2-74988614","Pcp2-77413702"
"Ccdc85a-75081006","Dpysl5-73635770"
"0610010F05Rik-74957923","Meis3-74047845"
"Creb3l1-112197858","Klf7-112202624"
"Ero1lb-72340145","Galr2-80517343"
"Dok2-2155","Slc16a4-2579"
"AW046396-72340236","Greb1-71924412"
"Nol4-76115737","Slc12a2-74882926"
"Greb1-71924412","Pitx2-79556607"
"Gm261-73636032","Gnal-71670716"
"Cd33-75043153","Wnt5a-79556660"
"Syt6-1032","Wnt8b-1890"
"Fhdc1-73925717","Slco1a5-67850945"
"Klf7-112202624","Pitx2-79556607"
"Bpgm-77414641","Ybx2-75080250"
"Kcng1-77340480","Lims2-75145999"
"Mylk3-73992942","Pip4k2c-799"
"Nkx2-1-74988460","Pitx2-79556607"
"Fhdc1-73925717","Rassf4-74988636"
"Creb3l1-112197858","Nkx2-1-74988460"
"Ppapdc1a-74881927","Susd4-75774678"
"Egr4-74800827","Ybx2-75080250"
"Fhdc1-73925717","Rgs2-73635771"
"Gpr151-74724649","Rassf4-74988636"
"Mmgt1-77414585","Slc22a23-72128754"
"Bpgm-77414641","Kcng1-77340480"
"Ntf5-1393","P2rx3-75888751"
"Bcl6-75651139","Filip1-73635796"
"Gdf1-75081205","Slc22a3-73931644"
"Fezf2-75651163","Tyr-79591699"
"Gm261-73636032","Slc22a3-73931644"
"Matn4-77371795","Sox2-77280331"
"Pus7-79556638","Vdr-112204135"
"Acan-77869840","Gpr151-74724649"
"Lzic-276064","Prpf6-67850946"
"Chat-252","Grik3-75749418"
"Chat-252","Rassf4-74988636"
"Apln-67850953","Khdrbs3-73769321"
"Ifnar1-588","Krt73-74750042"
"Gpr151-74724649","LOC434300-75988611"
"Dok2-2155","Rbm18-356083"
"Oprd1-112646675","Traip-77887842"
"Atp5h-77371785","Pou2f1-1563"
"Dbi-71836880","Gnal-71670716"
"Hdc-71016663","Ntrk1-71670679"
"Grik4-75551478","Otc-74581369"
"Galr2-80517343","Ntf5-1393"
"Slc22a23-72128754","Tnfaip8-75038412"
"Susd2-75146000","Ybx2-75080250"
"Slc16a4-2579","Trim28-1071"
"Dpysl5-73635770","Gpr151-74724649"
"Myc-112194721","Mylk3-73992942"
"E130012A19Rik-74363349","Pde11a-75081007"
"Bpgm-77414641","Myo10-74743255"
"Eps8l2-74658244","Slc22a23-72128754"
"Bcl6-75651139","Dhrs3-112650553"
"Rgs2-73635771","Slco1a5-67850945"
"Dcn-329","Gtf3c2-7"
"Ccdc85a-75081006","Slco1a5-67850945"
"Terf2ip-112196711","Zfp790-356855"
"LOC381355-71924491","Rfxank-67881545"
"Pou2f1-1563","Ppp1r7-832"
"Hbb-b1-67936011","Nin-76115736"
"Atp5h-77371785","Ppp1r7-832"
"Vsx2-1687","Wbscr17-1934"
"Dpysl5-73635770","Slco1a5-67850945"
"Epdr1-74881156","Usp14-74881157"
"Grik3-75749418","N4bp2-74363354"
"Myo10-74743255","Satb1-927"
"Ccdc85a-75081006","LOC434300-75988611"
"Cdh13-77869863","Terf2ip-112196711"
"Mmgt1-77414585","Tnfaip8-75038412"
"Ccdc85a-75081006","Chat-252"
"Bpgm-77414641","Egr4-74800827"
"Csf2rb2-73992937","Dhrs3-112650553"
"Greb1-71924412","Srsf9-75043152"
"Myo10-74743255","Susd2-75146000"
"Lims2-75145999","Myo10-74743255"
"Copg2-74819259","Stat5a-77413690"
"Eps8l2-74658244","Slc12a2-74882926"
"Hbb-b1-67936011","Krt73-74750042"
"Egr4-74800827","Lims2-75145999"
"Galr2-80517343","P2rx3-75888751"
"Clic5-77874610","LOC433740-77340490"
"Grik3-75749418","Rassf4-74988636"
"Terf2ip-112196711","Yme1l1-356849"
"Gbx2-77868786","Rapgef4-74749895"
"AI593442-71250312","Pus7-79556638"
"Kcng1-77340480","Ybx2-75080250"
"Klf7-112202624","Srsf9-75043152"
"Ccdc85a-75081006","N4bp2-74363354"
"Gbx2-77868786","Zfp932-75774665"
"Mmgt1-77414585","Nol4-76115737"
"Dpysl5-73635770","Rassf4-74988636"
"Gpr151-74724649","Slco1a5-67850945"
"Gnal-71670716","Slc22a3-73931644"
"Grik3-75749418","Rgs2-73635771"
"Myo10-74743255","Ybx2-75080250"
"Dbi-71836880","Traip-77887842"
"Dbi-71836880","Gm261-73636032"
"Grin2b-74988710","Ybx2-75080250"
"Olfml2b-1980","Syt12-1291"
"LOC545352-74988758","Ppapdc1a-74881927"
"Col9a2-74750022","Meis3-74047845"
"Csf2rb2-73992937","Filip1-73635796"
"Chat-252","Rgs2-73635771"
"Rbm18-356083","Slc16a4-2579"
"Chat-252","Fhdc1-73925717"
"Ccdc85a-75081006","Fhdc1-73925717"
"Neurod2-75651126","Slc25a25-544516"
"Filip1l-74363347","Slc22a3-73931644"
"Ppapdc1a-74881927","Ppp2r3d-77414925"
"Cdh13-77869863","Galr2-80517343"
"Dlx6as1-2000","Sun1-74425548"
"Ntf5-1393","Yme1l1-356849"
"AW046396-72340236","Pitx2-79556607"
"Gldc-77887886","Grik4-75551478"
"Dok2-2155","Homer3-356087"
"Htr2b-79556708","Tacr1-79591721"
"Mylk-74819252","Tnip2-74425540"
"Cdh13-77869863","Ero1lb-72340145"
"Dnajb12-2153","Olfml2b-1980"
"Meis3-74047845","Nkd1-74586666"
"Krt73-74750042","Nin-76115736"
"Nol4-76115737","Tnfaip8-75038412"
"Egr4-74800827","Myo10-74743255"
"Grik3-75749418","LOC434300-75988611"
"Gdf1-75081205","Gm261-73636032"
"Ifnar1-588","Nin-76115736"
"Slc22a3-73931644","Traip-77887842"
"Cep72-74988742","Nkd1-74586666"
"Eps8l2-74658244","Tnfaip8-75038412"
"LOC434300-75988611","Rgs2-73635771"
"Dpysl5-73635770","Grik3-75749418"
"Bcl6-75651139","Csf2rb2-73992937"
"Hbb-b1-67936011","Sigmar1-112196265"
"Grik3-75749418","Slco1a5-67850945"
"Ero1lb-72340145","Ntf5-1393"
"Acan-77869840","Rassf4-74988636"
"LOC434300-75988611","Rassf4-74988636"
"Atp2a2-74881549","Atp6v0c-74881559"
"Acan-77869840","Ccdc85a-75081006"
"Creb3l1-112197858","Greb1-71924412"
"P2rx3-75888751","Zfand3-77414923"
"Dpysl5-73635770","N4bp2-74363354"
"Galr2-80517343","Terf2ip-112196711"
"Filip1l-74363347","Gdf1-75081205"
"Dhrs3-112650553","Filip1-73635796"
"Cdh13-77869863","Ntf5-1393"
"Greb1-71924412","Nkx2-1-74988460"
"Ero1lb-72340145","P2rx3-75888751"
"Rbm18-356083","Trim28-1071"
"Cyp26b1-79568022","Vav3-76085746"
"Cdh13-77869863","Zfand3-77414923"
"Galr2-80517343","Yme1l1-356849"
"Chat-252","Gpr151-74724649"
"Col18a1-287","Thpo-2671"
"Acan-77869840","Chat-252"
"Rassf4-74988636","Slco1a5-67850945"
"Lims2-75145999","Ybx2-75080250"
"Galr2-80517343","Zfp790-356855"
"Mylk-74819252","Pou2f1-1563"
"Cd44-224","Meis3-74047845"
"Dbi-71836880","Gdf1-75081205"
"Egr4-74800827","Grin2b-74988710"
"Dbi-71836880","Slc22a3-73931644"
"Cdh13-77869863","P2rx3-75888751"
"Grin2b-74988710","Myo10-74743255"
"Acan-77869840","N4bp2-74363354"
"N4bp2-74363354","Rgs2-73635771"
"Bpgm-77414641","Lims2-75145999"
"Kcng1-77340480","Myo10-74743255"
"Nol4-76115737","Slc22a23-72128754"
"N4bp2-74363354","Rassf4-74988636"
"Ero1lb-72340145","Zfp790-356855"
"LOC545352-74988758","Ppp2r3d-77414925"
"Ngb-79556712","Rps4y2-75934917"
