Gene1,Gene2
"Chat-252","Dpysl5-73635770"
"Alox8-73718055","Gpr139-79490116"
"Kcng1-77340480","Slc4a10-1922"
"Oxct1-77869796","Snapc2-79568055"
"Lims2-75145999","Rarres1-75084131"
"Atp5h-77371785","Mlx-77414147"
"Mx1-1385","Pias4-77414895"
"Csk-75651192","Ldhd-74425554"
"Coro1c-75651191","Slc22a3-73931644"
"1700086L19Rik-1643","Abcd1-356086"
"Bpgm-77414641","Gm261-73636032"
"Dlx2-1482","Eps8l2-74658244"
"Aqp4-79556722","Tnip2-74425540"
"Rassf4-74988636","Tyr-79591699"
"Hmg20a-357093","Tmc6-77887880"
"Acan-77869840","Gcg-75749416"
"Iyd-71015205","Pcnt-1255"
"Ankrd24-80343396","Hectd1-357092"
"Fezf2-75651163","Pcp2-77413702"
"Dbr1-2141","Nxf7-75988557"
"Myo10-74743255","N4bp2-74363354"
"Gnal-71670716","N4bp2-74363354"
"Lamb1-71670482","Lhx2-2375"
"Abhd8-2012","B4galt6-2055"
"Cd44-224","Slc6a11-72472802"
"Ntrk2-746","Uba6-74819486"
"Lims2-75145999","Pcp2-77413702"
"Dbi-71836880","Dpysl5-73635770"
"Cul4a-75749399","Spata2l-73817441"
"Stat5a-77413690","Ywhaq-1130"
"Fam196a-75042244","Fn3krp-74819239"
"Iyd-71015205","Mri1-75773703"
"Junb-2335","Traip-77887842"
"1700086L19Rik-1643","Fbxl5-422"
"Krt73-74750042","Vav3-76085746"
"Cep72-74988742","Magix-74581446"
"Gpr151-74724649","Ybx2-75080250"
"Filip1l-74363347","Satb1-927"
"1700086L19Rik-1643","Nr4a2-732"
"Hes7-2289","Nxph4-73521000"
"Slco1a5-67850945","Vstm2b-77869820"
"Cst3-69120555","Psmc2-356850"
"Lhx2-79568024","Lims2-75145999"
"5330421K23Rik*-75043138","P2rx3-75888751"
"Lrmp-74274684","Pam16-2391"
"Mri1-75773703","Pip4k2c-799"
"AW046396-72340236","Mtpn-2411"
"Casc1-75038484","Filip1-73635796"
"Gpr151-74724649","Grik3-75749418"
"Abcd1-356086","Copa-1689"
"Pgf-121099","Pth1r-112202195"
"Cpe-1691","Reep5-2159"
"Hectd1-357092","Mtf2-1510"
"Emb-73930836","Slc6a15-73929609"
"Aldh5a1-77925007","Ggt7-75145998"
"Atp10a-72128790","Cldn1-70612723"
"Cyp4f15-1189","E4f1-1199"
"Chat-252","LOC434300-75988611"
"Kcng1-77340480","Pcp2-77413702"
"Ccdc85a-75081006","Fhdc1-73925717"
"Apln-67850953","Khdrbs3-73769321"
"Capsl-75079776","LOC433740-77340490"
"Cd1d1-219","Susd4-75774678"
"E4f1-1199","Egr4-74800827"
"Dpysl5-73635770","Grin2b-74988710"
"Pfkl-795","Vstm2b-77869820"
"Slc22a3-73931644","Susd2-75146000"
"Arhgdia-75774677","Slc6a11-72472802"
"Ccdc85a-75081006","Lims2-75145999"
"Dbh-79907893","Trim28-1071"
"N4bp2-74363354","Satb1-927"
"Pcp2-77413702","Vstm2b-77869820"
"Dok2-2155","Rcan1-362"
"Atp5h-77371785","Cldn1-70612723"
"Rassf4-74988636","Slco1a5-67850945"
"Filip1-73635796","Hmx3-74641309"
"Grik3-75749418","Slco1a5-67850945"
"Hmgcr-75079789","Nkx2-1-74988460"
"Fhdc1-73925717","Lhx2-79568024"
"Crym-73592526","Ywhah-1127"
"Dlx1-348","E4f1-1199"
"Egr4-74800827","Pcp2-77413702"
"Bpgm-77414641","Pam16-2391"
"Bdnf-79587720","Bpgm-77414641"
"Dpysl5-73635770","Rassf4-74988636"
"Gdf1-75081205","Gnal-71670716"
"Clic6-1984","Col9a2-74750022"
"Pam16-2391","Tyr-79591699"
"Ifnar1-588","Sorcs3-75988635"
"Gnal-71670716","Grin2b-74988710"
"Ccdc85a-75081006","Mmaa-1772"
"Hmg20a-357093","Nrip1-739"
"Pde11a-75081007","Rarres1-75084131"
"Fbxw2-355882","Ikzf1-1144"
"Fezf2-75651163","Pam16-2391"
"Hs3st1-2305","Mmaa-1772"
"Lhx2-2375","Plxnb3-1265"
"Cyp4f15-1189","Susd2-75146000"
"Fabp3-418","Slc6a3-978"
"Atp5o-1158","Ngb-79556712"
"Grin2b-74988710","Slc22a3-73931644"
"Acvrl1-79488929","Col14a1-74658056"
"Chrna1-75551465","Tcf4-1044"
"Oprd1-112646675","Ybx2-75080250"
"Ncaph2-355887","Tspo-79556668"
"Net1-74581396","Slc12a2-74882926"
"E4f1-1199","Gnal-71670716"
"9430020K01Rik-75988537","Ier2-71836849"
"Hectd1-357092","Slc6a3-978"
"Gnal-71670716","Rgs2-73635771"
"Filip1l-74363347","Lims2-75145999"
"Btg2-72283802","Otc-74581369"
"Fhdc1-73925717","N4bp2-74363354"
"Fezf2-75651163","Tyr-79591699"
"Gnal-71670716","Gpr151-74724649"
"Magix-74581446","Mm.86217-74641161"
"Lrmp-74274684","Myo10-74743255"
"Ggt7-75145998","Hbb-b1-67936011"
"Kcng1-77340480","Zfp280c-1669"
"Ccdc85a-75081006","Kcng1-77340480"
"Cd44-224","Syt11-2649"
"Cd33-75043153","Pcsk1-2470"
"Lhx2-2375","Pfkl-795"
"Bdnf-79587720","Gnal-71670716"
"Ergic1-1952","Wif1-1111"
"Lhx2-79568024","Slco1a5-67850945"
"Ggt7-75145998","Nr5a1-734"
"Chrm4-79591641","Pnrc1-2501"
"Acvrl1-79488929","Garnl3-73994668"
"Six1-1834","Synpr-1862"
"Lhx2-79568024","Rarres1-75084131"
"Grik3-75749418","Junb-2335"
"Nog-75084476","Pcsk1-2470"
"Leprotl1-2373","Ndufv3-12"
"Rgs2-73635771","Traip-77887842"
"Cldn1-70612723","Mlx-77414147"
"Myo10-74743255","Rgs2-73635771"
"Lmod2-73636019","Scn3b-73512195"
"Lrmp-74274684","Tmem215-73636150"
"Grin2b-74988710","Pam16-2391"
"Grik3-75749418","Grin2b-74988710"
"1700037H04Rik-324211","Gabre-75749417"
"1700037H04Rik-324211","Tfap2a-2661"
"Gata2-100","Junb-2335"
"Krt73-74750042","Nxph4-73521000"
"Pam16-2391","Slc22a3-73931644"
"Bpgm-77414641","Mmaa-1772"
"Kcng1-77340480","Rassf4-74988636"
"Aire-1327","Ugp2-2705"
"Pip4k2c-799","Setd4-1798"
"Bpgm-77414641","Lims2-75145999"
"Pam16-2391","Satb1-927"
"Epha4-2187","Pam16-2391"
"Lims2-75145999","Mmaa-1772"
"Rxrg-917","Spata2l-73817441"
"Emb-73930836","Vstm2b-77869820"
"Casc1-75038484","Pcsk1-2470"
"Hkdc1-70634299","Prdx1-836"
"Grik3-75749418","Tmem215-73636150"
"Mgat2-74988614","Vstm2b-77869820"
"Krt73-74750042","Sigmar1-112196265"
"Gm261-73636032","Zfp280c-1669"
"Ggt7-75145998","Hes7-2289"
"Epha4-2187","Slc22a3-73931644"
"Bpgm-77414641","Pfkl-795"
"N4bp2-74363354","Tmem215-73636150"
"Oprd1-112646675","Traip-77887842"
"Phox2b-2480","Yjefn3-74750064"
"Fhdc1-73925717","Vstm2b-77869820"
"Scn5a-73907501","Uchl1-1088"
"Cbln2-70231306","Mtrr-2413"
"Egr4-74800827","Epha4-2187"
"Cep72-74988742","Ostf1-73907505"
"Hkdc1-70634299","Sun1-74425548"
"Epn3-74357584","Slc6a3-978"
"Nr4a2-732","Rps5-77868800"
"Lhx2-79568024","Pam16-2391"
"Coro1c-75651191","Dpysl5-73635770"
"Bpgm-77414641","Grin2b-74988710"
"Gdf1-75081205","Slc4a10-1922"
"Clic6-1984","Kif5b-2353"
"Lims2-75145999","Slc22a3-73931644"
"Dbi-71836880","LOC434300-75988611"
"Chrna1-75551465","Map4k3-657"
"Gdf1-75081205","Grin2b-74988710"
"Pip4k2c-799","Zim2-76135811"
"Cuedc2-79556640","Wnt5a-79556660"
"Satb1-927","Zfp280c-1669"
"Gcg-75749416","Magix-74581446"
"Iyd-71015205","Nr4a2-732"
"Gldc-77887886","Trps1-75043140"
"Dtd1-1742","Slc26a8-2597"
"Ssr2-121097","Ywhah-1127"
"Csf2rb2-73992937","Wnt5a-79556660"
"Grb7-112204995","Pias4-77414895"
"AW046396-72340236","Itga3-598"
"Epha4-2187","Mgat2-74988614"
"Gdf1-75081205","Traip-77887842"
"Fezf2-75651163","Pfkl-795"
"Fezf2-75651163","LOC434300-75988611"
"Kcng1-77340480","N4bp2-74363354"
"F13a1-74882565","Nr5a1-734"
"Dpysl5-73635770","Magel2-79591571"
"Lzic-276064","Synpr-1862"
"Gas1-2251","Lmod2-73636019"
"E4f1-1199","Lims2-75145999"
"Gpr151-74724649","Kcng1-77340480"
"Bpgm-77414641","Gpr151-74724649"
"Pias4-77414895","Usp11-355883"
"Dbi-71836880","Mmaa-1772"
"Dpysl5-73635770","Zfp280c-1669"
"Myo10-74743255","Oprd1-112646675"
"Gdf1-75081205","Gpr151-74724649"
"9430020K01Rik-75988537","Clic5-77874610"
"Magel2-79591571","Pfkl-795"
"0610010F05Rik-74957923","Dusp1-324212"
"LOC434300-75988611","Rgs2-73635771"
"Gpr151-74724649","Pfkl-795"
"Dok1-75042248","Shroom1-1315"
"Bdnf-79587720","Zfp280c-1669"
"Mtpn-2411","Neurod2-75651126"
"BC031353-77371767","Hpca-72129291"
"Mgat2-74988614","Rassf4-74988636"
"Fhdc1-73925717","Kcng1-77340480"
"Gdf1-75081205","Grik3-75749418"
"Lhx2-79568024","Pfkl-795"
"Lims2-75145999","Magel2-79591571"
"N4bp2-74363354","Slc22a3-73931644"
"Slc26a10-74273116","Zmiz1-74988259"
"Fbxl5-422","Pcdh8-74750019"
"Gm261-73636032","Rarres1-75084131"
"Fhdc1-73925717","Rassf4-74988636"
"Ncaph2-355887","Vps35-355884"
"Coro1c-75651191","Slc4a10-1922"
"E4f1-1199","Pcp2-77413702"
"Susd2-75146000","Zfp280c-1669"
"Creb3l1-112197858","Impact-594"
"Bcl11a-71836837","Glra1-72108824"
"Fezf2-75651163","Gm261-73636032"
"Junb-2335","Tmem215-73636150"
"Fam46a-75042237","Tubb4a-1081"
"Kcna1-73994714","Pnrc1-2501"
"Coro1c-75651191","Rgs2-73635771"
"Cdk5r1-247","Ldhd-74425554"
"Mmaa-1772","Rarres1-75084131"
"Gas1-2251","Mtif2-677"
"Mmaa-1772","Oprd1-112646675"
"Klhl36-77371861","Tacr1-79591721"
"Pitx2-79556607","Srsf9-75043152"
"Impact-594","Neurod2-75651126"
"Mm.86217-74641161","Rarres1-75084131"
"Filip1l-74363347","Mgat2-74988614"
"Pde4d-1259","Rarg-130913"
"Setbp1-1532","Synpr-1862"
"Bpgm-77414641","Egr4-74800827"
