Gene1,Gene2
"Serpinb8-293668","Syt4-2651"
"Arf1-199390","Bcl6-75651139"
"Bcl11a-71836837","Pip4k2c-799"
"Fam105a-74819326","Zmiz1-74988259"
"D0H4S114-72472773","Svil-77332748"
"Nkx2-1-74988460","Trps1-75043140"
"9430020K01Rik-75988537","Nrgn-69153759"
"Mylk-74819252","Ppp1r7-832"
"Il17rd-74958537","Spata2l-73817441"
"Kcng1-77340480","Susd2-75146000"
"Nol4-76115737","Slc12a2-74882926"
"Ndufv3-12","Prrg2-276063"
"Clic5-77874610","LOC433740-77340490"
"AW046396-72340236","Nin-76115736"
"Ndufv3-12","Sssca1-79556714"
"Arhgdia-75774677","Zfp790-356855"
"Gabre-75749417","Magix-74581446"
"LOC545352-74988758","Sema3c-939"
"Arhgdia-75774677","Yme1l1-356849"
"Col9a2-74750022","Meis3-74047845"
"Tnfaip8-75038412","Zfp790-356855"
"Mmgt1-77414585","Nol4-76115737"
"Gnrh1-75080152","Pafah1b1-2460"
"Grin2b-74988710","Susd2-75146000"
"Dpysl5-73635770","Grik3-75749418"
"Kcng1-77340480","Myo10-74743255"
"Ifnar1-588","Nin-76115736"
"Ifnar1-588","Pitx2-79556607"
"Fhdc1-73925717","LOC434300-75988611"
"Chat-252","Tmc6-77887880"
"1500002O20Rik-1954","Ltbp3-76115733"
"Gpr151-74724649","LOC434300-75988611"
"Pafah1b1-2460","Sart3-74819691"
"Gldc-77887886","Plxna3-1403"
"Arhgdia-75774677","Tnfaip8-75038412"
"Tcf7l1-1424","Tm7sf3-77874614"
"Pafah1b1-2460","Pitrm1-74273117"
"Dbi-71836880","Hmg20a-357093"
"Aldh5a1-77925007","Syap1-1858"
"Ccdc85a-75081006","LOC434300-75988611"
"Ifnar1-588","Srsf9-75043152"
"2010300C02Rik-70743898","Mdk-1227"
"Coro1c-75651191","Six1-1834"
"Col16a1-74273122","Lhcgr-77869818"
"Pknox1-1401","Trhr-1303"
"Dpysl5-73635770","N4bp2-74363354"
"Aktip-1355","Cnr1-283"
"Fam105a-74819326","Prpsap2-293663"
"Lims2-75145999","Myo10-74743255"
"Matn4-77371795","Tacr3-1297"
"Pitx2-79556607","Srsf9-75043152"
"B3gnt2-75988600","Dtnbp1-75651202"
"Kcng1-77340480","Ybx2-75080250"
"Cnr1-283","Hmga1-2295"
"Gdi2-491","Magel2-79591571"
"Rassf4-74988636","Tmc6-77887880"
"Ak1-77414110","Rasgrp1-76115742"
"Bcl6-75651139","Trem2-67870433"
"Fez2-74272477","Zmiz1-74988259"
"Dkk4-112647536","Ier2-71836849"
"0610010F05Rik-74957923","Meis3-74047845"
"Ccdc37-74581372","Syt4-2651"
"Six1-1834","Znrf1-74581382"
"Fkbp10-2220","Gabre-75749417"
"B3gnt2-75988600","Gca-74641159"
"Bcl6-75651139","Rcsd1-75934525"
"Ntf5-1393","Slc12a2-74882926"
"F3-77280341","Notch3-1788"
"Srsf9-75043152","Trps1-75043140"
"Rcsd1-75934525","Trem2-67870433"
"Crhr1-297","Otc-74581369"
"Ccdc85a-75081006","Rgs2-73635771"
"Atp5h-77371785","Mylk-74819252"
"Rassf4-74988636","Znrf1-74581382"
"Cdh13-77869863","P2rx3-75888751"
"Fbln2-321208","Tcf7l1-1424"
"Atp5h-77371785","Cep72-74988742"
"E130012A19Rik-74363349","Gabre-75749417"
"Fbln7-73929875","Otc-74581369"
"B3gat2-74658033","Tcf7l1-1424"
"Kcnj15-2339","Sart3-74819691"
"Cep72-74988742","Ppp1r7-832"
"Lims2-75145999","Susd2-75146000"
"Chat-252","Znrf1-74581382"
"Adipor1-61210","Gnal-71670716"
"Med8-112196048","Slc12a2-74882926"
"Mylk3-73992942","Pip4k2c-799"
"Crhr1-297","Fbln7-73929875"
"AW046396-72340236","Ifnar1-588"
"Magel2-79591571","Slc10a3-74047876"
"Bpgm-77414641","Myo10-74743255"
"Dbi-71836880","Gnal-71670716"
"Atp5h-77371785","Pou2f1-1563"
"Chrnb2-2097","Ramp1-1912"
"Sox14-73636036","Ttll6-74363338"
"Fhdc1-73925717","Gpr151-74724649"
"Acvrl1-79488929","Tcf7l1-1424"
"A130014H13Rik-75041574","Ipo4-74658174"
"Bcl6-75651139","Tfam-67936016"
"Tfam-67936016","Trem2-67870433"
"Dlx5-1450","Tcf7l1-1424"
"Dpysl5-73635770","Gpr151-74724649"
"Gpr151-74724649","Grik3-75749418"
"Nr5a1-734","Trps1-75043140"
"Aktip-1355","Hmga1-2295"
"Rara-1528","Tmem218-1960"
"Hepacam-35","Lynx1-655"
"Nin-76115736","Nr5a1-734"
"1600021P15Rik-71924290","Rps5-77868800"
"Galr2-80517343","Rasgrp1-76115742"
"Pde11a-75081007","Plxna3-1403"
"Pitx2-79556607","Trps1-75043140"
"Nr5a1-734","Pitx2-79556607"
"Nrtn-741","Sart3-74819691"
"Med8-112196048","Mmgt1-77414585"
"Rcsd1-75934525","Vtn-67752116"
"Fam105a-74819326","Sssca1-79556714"
"A130014H13Rik-75041574","Nrtn-741"
"Fbln2-321208","Tm7sf3-77874614"
"0610010F05Rik-74957923","Col9a2-74750022"
"2010300C02Rik-70743898","Syt4-2651"
"Fkbp10-2220","Magix-74581446"
"LOC545352-74988758","Ramp1-1912"
"Greb1-71924412","Nin-76115736"
"Fam105a-74819326","Fez2-74272477"
"Gm10413-73929885","Kitl-616"
"Fbln7-73929875","Gldc-77887886"
"Nr1h3-112205214","Pitrm1-74273117"
"Grin2b-74988710","Kcng1-77340480"
"Ipo4-74658174","Pafah1b1-2460"
"Fkbp10-2220","Grik4-75551478"
"Dok4-1486","Palmd-74581442"
"Nin-76115736","Srsf9-75043152"
"Prrg2-276063","Sssca1-79556714"
"Dlx5-1450","Fbln2-321208"
"Bcl6-75651139","Vtn-67752116"
"Bpgm-77414641","Kcng1-77340480"
"Kcnj15-2339","Nrtn-741"
"Dpysl5-73635770","Rgs2-73635771"
"Six1-1834","Tmc6-77887880"
"Arf1-199390","Tfam-67936016"
"Ccdc37-74581372","Serpinb8-293668"
"Nrtn-741","Pitrm1-74273117"
"Rcsd1-75934525","Slc7a6-293662"
"Greb1-71924412","Nkx2-1-74988460"
"Fezf2-75651163","Tyr-79591699"
"Bpgm-77414641","Ybx2-75080250"
"Gpr151-74724649","N4bp2-74363354"
"Polr1e-75774108","Synpr-1862"
"Kcnj15-2339","Pafah1b1-2460"
"Gca-74641159","Ttll6-74363338"
"Grik3-75749418","Rgs2-73635771"
"Ccdc85a-75081006","Gpr151-74724649"
"Lrrtm3-73931637","Notch3-1788"
"Ciao1-2051","Stat1-2635"
"Fez2-74272477","Prpsap2-293663"
"Grin2b-74988710","Lims2-75145999"
"Kcnj15-2339","Scube3-74988656"
"Arf1-199390","Vtn-67752116"
"Hmga1-2295","Lynx1-655"
"Gm261-73636032","Gnal-71670716"
"Kctd16-73636009","Slc39a3-2619"
"1500002O20Rik-1954","Lrrtm3-73931637"
"Pot1b-73925715","Slc7a6-293662"
"Sart3-74819691","Scube3-74988656"
"Bpgm-77414641","Lims2-75145999"
"Nkx2-1-74988460","Nr5a1-734"
"Prpf6-67850946","Rprm-75651169"
"Slc7a6-293662","Tfam-67936016"
"Pot1b-73925715","Tfam-67936016"
"Chrnb2-2097","Sema3c-939"
"Ipo4-74658174","Sart3-74819691"
"Dpysl5-73635770","LOC434300-75988611"
"E130012A19Rik-74363349","Magix-74581446"
"Pou2f1-1563","Ppp1r7-832"
"Galr2-80517343","Ntf5-1393"
"Galr2-80517343","Slc12a2-74882926"
"AW046396-72340236","Trps1-75043140"
"Nr1h3-112205214","Scube3-74988656"
"D0H4S114-72472773","Gca-74641159"
"Ar-2039","Med8-112196048"
"B3gnt2-75988600","Svil-77332748"
"Dlx5-1450","Tm7sf3-77874614"
"Cd47-357100","Magel2-79591571"
"Med8-112196048","Ntf5-1393"
"gene1","gene2"
"Rpf2-293465","Spata2l-73817441"
"Fhdc1-73925717","Rgs2-73635771"
"Arf1-199390","Slc7a6-293662"
"Greb1-71924412","Srsf9-75043152"
"Ndufv3-12","Zmiz1-74988259"
"Il17rd-74958537","Rpf2-293465"
"Susd2-75146000","Ybx2-75080250"
"Ifnar1-588","Nkx2-1-74988460"
"Bcl6-75651139","Slc7a6-293662"
"Greb1-71924412","Nr5a1-734"
"Ar-2039","Mmgt1-77414585"
"Dtnbp1-75651202","Gca-74641159"
"Htr2b-79556708","Tacr3-1297"
"Coro1c-75651191","Tmc6-77887880"
"Adipor1-61210","Gdf1-75081205"
"Col16a1-74273122","Kitl-616"
"D0H4S114-72472773","Dtnbp1-75651202"
"Greb1-71924412","Ifnar1-588"
"Gm261-73636032","Hmg20a-357093"
"Rcsd1-75934525","Tfam-67936016"
"Fhdc1-73925717","Grik3-75749418"
"Cep72-74988742","Pou2f1-1563"
"Grina-1948","Rgs14-2529"
"Ipo4-74658174","Scube3-74988656"
"Ifnar1-588","Nr5a1-734"
"Prrg2-276063","Zmiz1-74988259"
"Ar-2039","Galr2-80517343"
"Gabre-75749417","Grik4-75551478"
"AW046396-72340236","Greb1-71924412"
"AW046396-72340236","Nr5a1-734"
