Gene1,Gene2
"Matk-76135823","Sap30l-73907495"
"Fzd9-73907498","Synj2bp-77414884"
"LOC235953-73931419","Slc35f2-74819683"
"Mtap1a-76115734","Tspyl4-67936212"
"P2rx7-75551477","Ubl4-75774670"
"Matk-76135823","Tbl3-77413694"
"Bsdc1-74988722","Slc6a4-79591679"
"Fam124a-72472790","Mdk-1227"
"Mtap-79568030","Sccpdh-73635772"
"Bdnf-79587720","Dbi-71836880"
"Ncaph2-355887","Nomo1-1697"
"Gpr151-74724649","Satb1-927"
"9830001H06Rik-77340458","Adam33-75147767"
"A530079E22Rik-71250305","Nnat-655497"
"Bmp3-72472749","Tex261-74047919"
"Slc22a3-73931644","Tyr-79591699"
"Ar-2039","Cdkn1a-80343383"
"Icosl-1217","Srprb-1536"
"AI450948-71250311","Tm2d3-83167"
"Pcbd1-1802","Pcdhga5-72338695"
"Slc35f2-74819683","Sox10-79556652"
"9830001H06Rik-77340458","LOC235953-73931419"
"Sccpdh-73635772","Syt4-2651"
"1700086L19Rik-1643","Pip4k2c-799"
"Ltk-75988666","Pck2-71836804"
"Lrmp-74274684","Slc22a3-73931644"
"Fbxl5-422","Reep5-2159"
"Aqp9-2037","Mfsd6-75651167"
"Csrp2bp-276275","Etv1-72119595"
"9830001H06Rik-77340458","Zfp189-79490078"
"2010300C02Rik-70743898","C030034I22Rik-72472751"
"Csrp2bp-276275","Mtap1a-76115734"
"Acpl2-80343348","Mtap-79568030"
"Adora2a-72109410","Etv1-72119595"
"Fat4-74363356","Rfx4-71249068"
"Sik3-74881867","Tmem29-75080656"
"Rgag1-75041526","Syt11-2649"
"Aldh1a1-72103809","Sap30l-73907495"
"Chrna2-75551460","Pknox2-76135815"
"Adam33-75147767","C030034I22Rik-72472751"
"Bpgm-77414641","Ybx2-75080250"
"Gabra4-71924402","Mtap1a-76115734"
"Ar-2039","Syt11-2649"
"Ar-2039","Rgag1-75041526"
"Cd33-75043153","Hmx3-74641309"
"Alg14-75081004","Epha1-74640882"
"Cd1d1-219","Ywhaq-1130"
"Atp5o-1158","Trp53-67855414"
"Cops7b-356493","Efemp2-2177"
"Bsdc1-74988722","Mdk-1227"
"Sccpdh-73635772","Slc6a4-79591679"
"Mx1-1385","Ywhab-2737"
"Hgf-77867710","Serinc1-77413696"
"LOC235953-73931419","Rasa4-74425552"
"Gabra4-71924402","Nnat-77887874"
"Syt4-2651","Zfp189-79490078"
"Hgf-77867710","Vti1a-74641238"
"Acacb-74881515","Gng7-1734"
"Gpr139-79490116","Ikzf1-1144"
"Gabra4-71924402","Stc1-2639"
"Ap1b1-356859","Nrm-75042265"
"Ap1b1-356859","Camk2g-189"
"Dnahc12-74988273","Rdh5-75042255"
"Pcsk1-2470","Tspo-79556668"
"1700086L19Rik-1643","Abcd1-356086"
"Epha1-74640882","Gabra4-71924402"
"Bpgm-77414641","Kcng1-77340480"
"Adora2a-72109410","Zfp189-79490078"
"Prpf6-67850946","Synpr-1862"
"Col24a1-73636093","Ube3c-71670707"
"Hip1-2293","Nr4a2-732"
"Fbxl5-422","Pdxk-788"
"Dcn-329","Ddc-334"
"Tgfb2-70927304","Tgfbr2-74819696"
"Fam3c-75259443","Ifngr2-1460"
"Dok2-2155","Sytl3-2653"
"Aldh1a1-72103809","Synj2bp-77414884"
"7420498E04Rik*-75043148","Ascl5-ps-74988285"
"Acvrl1-79488929","Garnl3-73994668"
"Egflam-74047441","Fndc3b-74988759"
"9330182L06Rik-75081005","Cpne8-73520974"
"Gm5607-72109337","Yme1l1-356849"
"Apc-74881517","Sik3-74881867"
"Bsdc1-74988722","Ltk-75988666"
"Ctla4-75079745","LOC235953-73931419"
"Ppp1r1a-75773706","Rasa4-74425552"
"Htr2b-79556708","Rad23b-881"
"Lpl-649","Ywhah-1127"
"Prkcq-71670693","Trpm6-73907502"
"Slc41a3-73512484","Trappc10-1063"
"Cyr61-80343407","Ptprk-74743303"
"Nudt21-2115","Srprb-1536"
"Fbxw2-355882","Spsb4-75773701"
"Ampd3-77371807","Tmem29-75080656"
"Pdia3-71015817","Scnn1a-70562125"
"Atm-1329","Serpinb8-293668"
"Bsdc1-74988722","Matk-76135823"
"Cbln2-70231306","Mtrr-2413"
"Matk-76135823","Ppp1r1a-75773706"
"158303","Ppp1r1a-75773706"
"Ppp1r1a-75773706","Tbl3-77413694"
"LOC235953-73931419","Serinc1-77413696"
"Ptprk-74743303","Sap30l-73907495"
"E130012A19Rik-74363349","Yjefn3-74750064"
"Adamts8-73925719","Rdh5-75042255"
"Smpd1-77413684","Tspyl4-67936212"
"Paqr8-74724530","Spock3-70634298"
"Rarres1-75084131","Tubb4a-1081"
"Bsdc1-74988722","Tex261-74047919"
"Pafah1b1-2460","Pfkfb2-1399"
"Gcg-75749416","Magix-74581446"
"LOC434300-75988611","Tyr-79591699"
"Decr1-74425550","Tspyl4-67936212"
"Mylk3-73992942","Zim2-76135811"
"Bmp3-72472749","Slc6a4-79591679"
"BC100451-73615805","Pde4dip-1994"
"9430020K01Rik-75988537","Eps8l2-74658244"
"Stc1-2639","Vti1a-74641238"
"C230030N03Rik-73992924","Eomes-80516770"
"Insrr-71670480","Smpd1-77413684"
"Fam124a-72472790","Insrr-71670480"
"Gabra4-71924402","Ppp1r1a-75773706"
"Matk-76135823","Stc1-2639"
"Apbb1-2033","Kcnj9-72119580"
"Filip1l-74363347","Lims2-75145999"
"Map4k3-657","Tcf4-1044"
"Apbb1-2033","Mdk-1227"
"LOC545810-71924492","Tmem29-75080656"
"Epha1-74640882","Gpnmb-74581367"
"158303","Adam33-75147767"
"Fancd2-73635979","Tnrc6a-314"
"ORF63-1247","Pnrc1-2501"
"Magix-74581446","Mm.86217-74641161"
"Ctla4-75079745","Kcnj9-72119580"
"Cck-77869074","Gabrb3-75551468"
"Acpl2-80343348","Sap30l-73907495"
"Bmp3-72472749","Tbl3-77413694"
"Csrp2bp-276275","Sh3d19-74425516"
"Coro1c-75651191","Mmaa-1772"
"Flrt2-73931417","Iqcj-74272918"
"Ctnnb1-79591729","Gbas-74819681"
"Cebpa-80343361","P2rx4-75551474"
"LOC434300-75988611","Myo10-74743255"
"2010111I01Rik-71717630","Slc6a4-79591679"
"Traip-77887842","Tyr-79591699"
"Rfx4-71249068","Sox10-79556652"
"Ccdc136-324214","Med30-248329"
"Bsdc1-74988722","Decr1-74425550"
"2010111I01Rik-71717630","Ampd3-77371807"
"Pgf-121099","Pth1r-112202195"
"Adrb1-77340494","Ly6h-71924388"
"Cyr61-80343407","Hgf-77867710"
"Mtap1a-76115734","Rfx4-71249068"
"Nceh1-74881744","Prokr1-74724728"
"Crls1-1148","Plxnd1-77340482"
"Gpnmb-74581367","Nnat-77887874"
"Gabra4-71924402","Sh3d19-74425516"
"Rasa4-74425552","Sap30l-73907495"
"Rgs2-73635771","Susd2-75146000"
"Ampd3-77371807","Decr1-74425550"
"Nxph4-73521000","Sigmar1-112196265"
"B4galt6-2055","Reep5-2159"
"Npvf-74882808","Vldlr-121089"
"Aff4-2363","Dlx6as1-2000"
"Bsg-166","Hpca-72129291"
"Matk-76135823","Rfx4-71249068"
"Prkcq-77869867","Zfp61-75749409"
"Cacng5-70560341","Samd14-73930839"
