Gene1,Gene2
"Ngef-72129292","Ola1-293038"
"Ephb1-72077478","Ndufs8-74819243"
"Kank4-76085741","Kcnh8-70562113"
"Dtnbp1-75651202","Fam114a2-79583813"
"B2m-71924291","Trim3-73732147"
"Ndrg2-79568051","Pomc-2493"
"Grsf1-73994670","Tmem204-73769320"
"Bmp4-79556702","LOC433311-74988757"
"Pak6-75084501","Slc6a2-73615562"
"C130096N06Rik-73635978","Chd7-71836884"
"Ccdc88c-74363346","Ctsb-67779877"
"Lipm-74272035","Rpl11-276067"
"9030425E11Rik-71924353","B2m-71924291"
"Gpr146-77371845","Matk-76135823"
"Kcnj9-72119580","Tbl3-77413694"
"Kcnj9-72119580","Sox10-79556652"
"Rps5-77868800","Trap1-1966"
"Gsg1l-73636097","Plcd3-77414915"
"Gpr146-77371845","Tmc6-77887880"
"1500002O20Rik-1954","Epha8-72472794"
"1110037F02Rik-74988462","Ephb1-72077478"
"Kctd16-73636009","Tbl2-1868"
"Cux1-79556618","Sh3bgr-1416"
"Bmp3-72472749","Rfx4-71249068"
"Accn4-71924089","Bend6-77280313"
"Rfx4-71249068","Tmem29-75080656"
"Apc-74881517","Sik3-74881867"
"9830001H06Rik-77340458","Rfx4-71249068"
"Chst1-71836872","Ntf5-1393"
"Cdh13-77869863","Etv1-73512203"
"Itgav-74658082","Ptgds-79567709"
"Gm2a-74988549","Snhg7-1968"
"Ddx26b-75988610","St8sia3-73929595"
"Ifnar1-588","Nova1-73931640"
"Ndufs8-74819243","Slc12a2-74882926"
"Nol4-76115737","Thsd7a-71924155"
"Kctd16-73636009","Vps35-77869144"
"Ndufs8-74819243","Pkp2-73997149"
"Alg14-75081004","Chat-252"
"Map2k4-276073","Pacrg-74743258"
"B630019K06Rik-74881160","Sema4g-71587856"
"Foxp1-71249056","Hmgcr-75079789"
"St6gal1-74658241","Vim-79907904"
"9030425E11Rik-71924353","St8sia6-73929596"
"1110037F02Rik-74988462","Ptgds-79567709"
"Serpinb8-293668","Sh3d19-74425516"
"Col25a1-71924301","Ndufs8-74819243"
"Anxa1-70813897","Pus7-79556638"
"Apc-74881517","Vti1a-74641238"
