Gene1,Gene2
"Ccdc85a-75081006","Rgs2-73635771"
"Bsdc1-74988722","Gng2-67936006"
"Susd2-75146000","Ybx2-75080250"
"Hbb-b1-67936011","Tcf7l1-1424"
"Htr2b-79556708","Vstm2b-77869820"
"C030034I22Rik-72472751","Ltk-75988666"
"Fez2-74272477","Ngfrap1-1786"
"Acvrl1-79488929","Tm7sf3-77874614"
"Nmbr-77332086","Stub1-79912552"
"Htr2b-79556708","Klhl1-73520995"
"Kcna6-74819554","P2rx7-75551477"
"Galnt13-72472803","Ubl4-75774670"
"Cdh13-77869863","Ero1lb-72340145"
"Khdrbs3-73769321","Stub1-79912552"
"Sorcs3-75988635","Yme1l1-356849"
"Apln-67850953","Stub1-79912552"
"Ampd3-77371807","C030034I22Rik-72472751"
"Sccpdh-73635772","Sox14-73636036"
"Grin2b-74988710","Myo10-74743255"
"Fez2-74272477","Pgf-121099"
"Fam46a-73520967","Ubl4-75774670"
"Phospho1-71670685","Sap30l-73907495"
"Fam89b-1898","Foxd3-1496"
"Ap1b1-356859","Slc29a4-77414149"
"Ampd3-77371807","Ssrp1-74819346"
"E130012A19Rik-74363349","Fbln7-73929875"
"Dhrs3-112650553","Khdrbs3-73769321"
"Slc29a4-77414149","Tspyl4-67936212"
"Fam46a-75042237","Fkbp10-2220"
"Lhcgr-77869818","Tpm3-275873"
"Cyr61-80343407","Prlr-72340223"
"Clcn2-72119656","Stub1-79912552"
"Arhgap17-1413","Krt73-74750042"
"Fez2-74272477","Mrc1-74581428"
"Prokr1-74724728","Vav3-76085746"
"Gng2-67936006","Ltk-75988666"
"Apln-67850953","Nmbr-77332086"
"Csf2rb2-73992937","Rmnd1-77371805"
"Phospho1-71670685","Ppp1r1a-75773706"
"Aldh1a1-72103809","Blnk-74819692"
"Col24a1-73636093","Pknox2-76135815"
"C030034I22Rik-72472751","Ppp1r1a-75773706"
"Gnb1-61413","Gpr139-79490116"
"Hbb-b1-67936011","Lrrtm3-73931637"
"Ppp1r1a-75773706","Synj2bp-77414884"
"Msrb2-76135795","Tac2-77279001"
"Entpd2-73732144","Spag16-75080199"
"Adcy4-73512495","LOC381355-71924491"
"Bsdc1-74988722","Sox14-73636036"
"Hmgcr-75079789","Slc12a2-74882926"
"Kcna6-74819554","Rasgrp4-76135807"
"Pnrc2-2491","Prmt2-577"
"Fam46a-73520967","Plxnd1-77340482"
"Sorcs3-75988635","Vav3-76085746"
"Grin2b-74988710","Kcng1-77340480"
"LOC436099-73512350","Sowaha-71250306"
"Dlx5-1450","Lrrtm3-73931637"
"Clcn2-72119656","Nmbr-77332086"
"Ptn-2507","Tmem218-1960"
"Rasgrp4-76135807","Tpbg-76085743"
"Scnn1a-70562125","Sowaha-71250306"
"Hdc-71016663","Otx2-112194935"
"Dnahc11-73520976","Lrrtm3-73931637"
"Acan-77869840","Htr2b-79556708"
"Bpgm-77414641","Ybx2-75080250"
"Ppp1r1a-75773706","Sox14-73636036"
"Gm12429-77340488","Tspyl4-67936212"
"Mmgt1-77414585","Neurod2-75651126"
"Bsdc1-74988722","Ltk-75988666"
"Klhl1-73520995","Tmem86b-72472763"
"Sap30l-73907495","Sox14-73636036"
"Cx3cl1-2135","Rbm38-2535"
"Gabre-75749417","Magix-74581446"
"Fam46a-73520967","Galnt13-72472803"
"Satb1-927","Ybx2-75080250"
"Mrc1-74581428","Tcerg1-1872"
"Ngfrap1-1786","Pgf-121099"
"Mapk13-2397","Ptn-2507"
"BC032203-77867708","Irx1-2325"
"Satb1-927","Susd2-75146000"
"Gabarap-2245","Mapk13-2397"
"Pitpnc1-75144644","Tac2-77279001"
"Kcna6-74819554","Msrb2-76135795"
"Grin2b-74988710","Susd2-75146000"
"Bpgm-77414641","Myo10-74743255"
"Neurod2-75651126","Slc12a2-74882926"
"Ap1b1-356859","Lrrc38-72340184"
"P2rx3-75888751","Terf2ip-112196711"
"Grin2b-74988710","Lims2-75145999"
"Ampd3-77371807","Sccpdh-73635772"
"BC032203-77867708","Sox14-73636036"
"Mafb-73771240","Plxnd1-77340482"
"Cpne8-73520974","Pgf-77869838"
"Gnai2-2263","Wnt2b-1589"
"E130012A19Rik-74363349","Zfp790-356855"
"9430020K01Rik-75988537","Rfxank-67881545"
"C030034I22Rik-72472751","Sccpdh-73635772"
"Slc22a23-72128754","Slc25a25-544516"
"Gng2-67936006","Irx1-2325"
"Mrc1-74581428","Ppapdc1a-74881927"
"Grb7-112204995","Rps4y2-75934917"
"Fam89b-1898","Gpr108-1619"
"Ltk-75988666","Sap30l-73907495"
"Myo10-74743255","Ybx2-75080250"
"Sorcs3-75988635","Zfp790-356855"
"Fkbp10-2220","Zfp790-356855"
"Tmem86b-72472763","Tnfrsf21-71836885"
"Prokr1-74724728","Zfp790-356855"
"Pip4k2c-799","Prmt2-577"
"Lzic-276064","Tm7sf3-77874614"
"Csf2rb2-73992937","Nmbr-77332086"
"Kcng1-77340480","Satb1-927"
"P2rx7-75551477","Pitpnc1-75144644"
"Cpt1a-1478","Grm1-537"
"Gnb1-61413","Hectd1-357092"
"Fkbp10-2220","Sorcs3-75988635"
"Irx1-2325","Ssrp1-74819346"
"Camk2g-189","Ptn-2507"
"Gata2-100","Trim28-1071"
"Acvrl1-79488929","Lzic-276064"
"Lrrtm3-73931637","Tcf7l1-1424"
"E130012A19Rik-74363349","Pde11a-75081007"
"Phospho1-71670685","Sccpdh-73635772"
"Slc29a4-77414149","Sox10-79556652"
"Gabre-75749417","Zfp790-356855"
"Acan-77869840","Vstm2b-77869820"
"Hmgcr-75079789","Slc25a25-544516"
"Prokr1-74724728","Sall3-74363352"
"Tnfrsf21-71836885","Vstm2b-77869820"
"Cyp26b1-79568022","Magix-74581446"
"Sox14-73636036","Ssrp1-74819346"
"Bsdc1-74988722","Ppp1r1a-75773706"
"Pgf-121099","Ppapdc1a-74881927"
"Dlx3-350","Ogt-758"
"Ero1lb-72340145","Terf2ip-112196711"
"Mmgt1-77414585","Nol4-76115737"
"Grin2b-74988710","Satb1-927"
"Ap1b1-356859","Tspyl4-67936212"
"Msrb2-76135795","P2rx7-75551477"
"Khdrbs3-73769321","Rmnd1-77371805"
"Adrb1-77340494","Rasgrp4-76135807"
"Usp11-355883","Vps35-355884"
"Ampd3-77371807","Ltk-75988666"
"Slc12a2-74882926","Slc25a25-544516"
"Ltk-75988666","Sccpdh-73635772"
"Klhl1-73520995","Trip4-1924"
"Fbln2-321208","Lzic-276064"
"BC032203-77867708","Ssrp1-74819346"
"Gng2-67936006","Ssrp1-74819346"
"Aldh1a1-72103809","Kank2-112644736"
"Ap1b1-356859","Gm12429-77340488"
"Abcd1-356086","Homer3-356087"
"Clcn2-72119656","Khdrbs3-73769321"
"Fbln7-73929875","Zfp790-356855"
"Hmgcr-75079789","Slc22a23-72128754"
"Adrb1-77340494","Msrb2-76135795"
"Fam46a-75042237","Sorcs3-75988635"
"Lims2-75145999","Ybx2-75080250"
"Neurod2-75651126","Slc25a25-544516"
"Irx1-2325","Sccpdh-73635772"
"Prokr1-74724728","Sorcs3-75988635"
"Eif3j-321196","Lrrtm3-73931637"
"Foxd3-1496","Zbtb20-1143"
"Tac2-77279001","Tpbg-76085743"
"Dhrs3-112650553","Rmnd1-77371805"
"Khdrbs3-73769321","Nmbr-77332086"
"Bsdc1-74988722","Sap30l-73907495"
"Pde11a-75081007","Zfp790-356855"
"Pitpnc1-75144644","Rasgrp4-76135807"
"Nr5a1-734","Tubb4a-1081"
"E130012A19Rik-74363349","Gabre-75749417"
"Gpr56-71015815","Matn4-77371795"
"Bpgm-77414641","Grin2b-74988710"
"Sap30l-73907495","Ssrp1-74819346"
"Sap30l-73907495","Sccpdh-73635772"
"Acsl5-73931635","Pvrl3-73521804"
"Rps4y2-75934917","Slc35c2-2615"
"Htr2b-79556708","Trip4-1924"
"Fhl2-70743903","Tspan33-70743905"
"Ppp1r1a-75773706","Ssrp1-74819346"
"Dlx5-1450","Dnahc11-73520976"
"E130012A19Rik-74363349","Yme1l1-356849"
"Klf7-112202624","Synpo-75080644"
"Klhl1-73520995","Vstm2b-77869820"
"E130012A19Rik-74363349","Magix-74581446"
"Hspb1-74363357","Kcnj14-75651203"
"Lrrc38-72340184","Tspyl4-67936212"
"C030034I22Rik-72472751","Irx1-2325"
"Adrb1-77340494","Kcna6-74819554"
"Acan-77869840","Klhl1-73520995"
"Cd44-79556644","Gldc-77887886"
"Cks2-80517357","Galnt13-72472803"
"Krt73-74750042","Robo1-73521820"
"Grb7-112204995","Slc35c2-2615"
"Ntf5-1393","Terf2ip-112196711"
"C030034I22Rik-72472751","Synj2bp-77414884"
"9430020K01Rik-75988537","Adcy4-73512495"
"Csf2rb2-73992937","Stub1-79912552"
"Bsdc1-74988722","Phospho1-71670685"
"Ampd3-77371807","BC032203-77867708"
"Scn5a-73907501","Susd4-75774678"
"Vav3-76085746","Zfp790-356855"
"Dnahc11-73520976","Eif3j-321196"
"Pde11a-75081007","Sorcs3-75988635"
"Ngfrap1-1786","Tcerg1-1872"
"Crhr1-297","Slc4a10-1922"
"E130012A19Rik-74363349","Fkbp10-2220"
"158303","Camk2g-189"
"Klhl1-73520995","Tnfrsf21-71836885"
"Galp-79556611","Scn5a-73907501"
"Cer1-2091","Hes1-556"
"Mmgt1-77414585","Slc25a25-544516"
"Irx1-2325","Ltk-75988666"
"Dlx5-1450","Tcf7l1-1424"
"Gata2-100","Sytl3-2653"
"Vav3-76085746","Yme1l1-356849"
"Pde11a-75081007","Vav3-76085746"
"Ace-73512499","Upp1-71836877"
"gene1","gene2"
"Phospho1-71670685","Sox14-73636036"
"158303","Ptn-2507"
"Ltk-75988666","Ssrp1-74819346"
"Gata2-100","Gng7-1734"
"Cdh13-77869863","Ntf5-1393"
"Mmgt1-77414585","Slc12a2-74882926"
"Cyp26b1-79568022","Fam46a-75042237"
"Galnt13-72472803","Plxnd1-77340482"
"Magix-74581446","Sorcs3-75988635"
"Ampd3-77371807","Gng2-67936006"
"BC032203-77867708","Sap30l-73907495"
"Nol4-76115737","Slc12a2-74882926"
"Fez2-74272477","Ppapdc1a-74881927"
"Apln-67850953","Khdrbs3-73769321"
"Gpr108-1619","Zbtb20-1143"
"Crlf2-1882","Pxn-1814"
"Dnahc11-73520976","Rps5-77868800"
"Fam46a-75042237","Yme1l1-356849"
"Eps8l2-74658244","Slc22a23-72128754"
"Apln-67850953","Csf2rb2-73992937"
"Magix-74581446","Pde11a-75081007"
"1700037H04Rik-324211","Ccdc136-324214"
"Cdh13-77869863","P2rx3-75888751"
"Mlx-227539","Nomo1-1697"
"Htr2b-79556708","Tnfrsf21-71836885"
"Pnrc2-2491","Zim2-76135811"
"Trip4-1924","Vstm2b-77869820"
"Lzic-276064","Scn1a-77340528"
"Adrb1-77340494","Tac2-77279001"
"E130012A19Rik-74363349","Sorcs3-75988635"
"Dhrs3-112650553","Stub1-79912552"
"Irx1-2325","Ppp1r1a-75773706"
"Ero1lb-72340145","P2rx3-75888751"
"Adrb1-77340494","Pitpnc1-75144644"
"Lrrc38-72340184","Slc29a4-77414149"
"Fbln2-321208","Tm7sf3-77874614"
"Pgf-121099","Tcerg1-1872"
"Fezf2-75651163","Tyr-79591699"
"Ddn-73636031","Htr5b-71247644"
"Yme1l1-356849","Zfp790-356855"
"Dnahc11-73520976","Tcf7l1-1424"
"Bsdc1-74988722","C030034I22Rik-72472751"
"Ppp1r1a-75773706","Sccpdh-73635772"
"C030034I22Rik-72472751","Sap30l-73907495"
"Magix-74581446","Vav3-76085746"
"BC032203-77867708","C030034I22Rik-72472751"
"Epdr1-74881156","Usp14-74881157"
"Htr2b-79556708","Tmem86b-72472763"
"Rmnd1-77371805","Stub1-79912552"
"Hmgcr-75079789","Mmgt1-77414585"
"P2rx7-75551477","Tpbg-76085743"
"Tmem86b-72472763","Vstm2b-77869820"
"Irx1-2325","Sap30l-73907495"
"Ddit4l-71836878","Kcnh8-70562113"
"Aco1-76135819","D8Ertd82e-73931630"
"Plxnd1-77340482","Ubl4-75774670"
"Gm4887-73931418","Vezt-74819329"
"Copg2-74819259","Ube2t-276069"
"Bpgm-77414641","Satb1-927"
"Gng2-67936006","Sccpdh-73635772"
"Cpe-1691","Hes1-556"
"Ltk-75988666","Synj2bp-77414884"
"Kcna6-74819554","Tpbg-76085743"
"Cyp26b1-79568022","Gabre-75749417"
"Ap1b1-356859","Sox10-79556652"
"Cyp26b1-79568022","Zfp790-356855"
"Rps5-77868800","Tcf7l1-1424"
"Ampd3-77371807","Irx1-2325"
"Irx1-2325","Synj2bp-77414884"
"Gm4887-73931418","Klf7-112202624"
"Fkbp10-2220","Magix-74581446"
"Pip4k2c-799","Zim2-76135811"
"Clic5-77874610","Setbp1-1532"
"Adrb1-77340494","Tpbg-76085743"
"Acan-77869840","Trip4-1924"
"Dlx5-1450","Eif3j-321196"
"Grin2b-74988710","Ybx2-75080250"
"Gpr139-79490116","Hectd1-357092"
"Bsdc1-74988722","Sccpdh-73635772"
"Ngb-79556712","Rps4y2-75934917"
"Cks2-80517357","Fam46a-73520967"
"Fbln7-73929875","Fkbp10-2220"
"C030034I22Rik-72472751","Gng2-67936006"
"Bpgm-77414641","Lims2-75145999"
"LOC381355-71924491","Rfxank-67881545"
"Mafb-73771240","Ubl4-75774670"
"Gnb2-512","Jund-606"
"Fkbp10-2220","Prokr1-74724728"
"Cpe-1691","Hectd2-2002"
"Bsdc1-74988722","Synj2bp-77414884"
"Gas5-483","Rfx7-1998"
"9430020K01Rik-75988537","LOC381355-71924491"
"Fam46a-75042237","Fbln7-73929875"
"AI450948-71250311","Prss12-71836879"
"Itga3-598","Tnip2-74425540"
"Clcn2-72119656","Dhrs3-112650553"
"Gng2-67936006","Sap30l-73907495"
"Fbln7-73929875","Gabre-75749417"
"C030034I22Rik-72472751","Sox14-73636036"
"Kcng1-77340480","Lims2-75145999"
"Dlx5-1450","Hbb-b1-67936011"
"LOC433093-71924514","Rgs2-73635771"
"BC032203-77867708","Synj2bp-77414884"
"Gm12429-77340488","Slc29a4-77414149"
"Pde11a-75081007","Prokr1-74724728"
"158303","Mapk13-2397"
"Synpo-75080644","Vezt-74819329"
"Csf2rb2-73992937","Dhrs3-112650553"
"Prmt2-577","Zim2-76135811"
"Galnt13-72472803","Mafb-73771240"
"Arhgap17-1413","Gm5607-72109337"
"Hmgcr-75079789","Neurod2-75651126"
"Mdfi-112648831","Nxph4-73521000"
"Slc12a2-74882926","Slc22a23-72128754"
"LOC433740-77340490","Setbp1-1532"
"Ampd3-77371807","Sox14-73636036"
"Pde11a-75081007","Yme1l1-356849"
"Fbln7-73929875","Yme1l1-356849"
"Dlx5-1450","Rps5-77868800"
"E130012A19Rik-74363349","Vav3-76085746"
"Ccdc85a-75081006","LOC433093-71924514"
"Kcna6-74819554","Tac2-77279001"
"Cyp26b1-79568022","Vav3-76085746"
"Dnahc11-73520976","Hbb-b1-67936011"
"Fkbp10-2220","Gabre-75749417"
"Cyp26b1-79568022","Prokr1-74724728"
"Fam46a-75042237","Vav3-76085746"
"Fam46a-75042237","Prokr1-74724728"
"P2rx7-75551477","Tac2-77279001"
"Acan-77869840","Tmem86b-72472763"
"Apln-67850953","Dhrs3-112650553"
"Cpe-1691","Wnt8a-1115"
"Hectd2-2002","Wnt8a-1115"
"Gm5607-72109337","Krt73-74750042"
"P2rx7-75551477","Rasgrp4-76135807"
"Apln-67850953","Clcn2-72119656"
"Ghitm-1207","Papola-1251"
"Msrb2-76135795","Rasgrp4-76135807"
"Gm4887-73931418","Synpo-75080644"
"Ltk-75988666","Phospho1-71670685"
"Fbln7-73929875","Vav3-76085746"
"Bsdc1-74988722","Ssrp1-74819346"
"Gng2-67936006","Phospho1-71670685"
"Irx1-2325","Sox14-73636036"
"Nmbr-77332086","Rmnd1-77371805"
"Ltk-75988666","Ppp1r1a-75773706"
"Hdc-71016663","Ntrk1-71670679"
"Cdh13-77869863","Terf2ip-112196711"
"Apln-67850953","Rmnd1-77371805"
"Myo10-74743255","Satb1-927"
"Adrb1-77340494","P2rx7-75551477"
"E130012A19Rik-74363349","Prokr1-74724728"
"Bpgm-77414641","Kcng1-77340480"
"Eif3j-321196","Rps5-77868800"
"Nol4-76115737","Slc22a23-72128754"
"Gm12429-77340488","Lrrc38-72340184"
"Ntf5-1393","P2rx3-75888751"
"Clta-74819690","Pitpnc1-75144644"
"Phactr1-71920511","Stk32a-71920510"
"BC032203-77867708","Phospho1-71670685"
"B4galt6-2055","Reep5-2159"
"Ngfrap1-1786","Ppapdc1a-74881927"
"Hnrpdl-571","Pip4k2c-799"
"Hnrpdl-571","Pnrc2-2491"
"Gng7-1734","Sytl3-2653"
"Acadl-72081416","Sncg-72081426"
"Rasgrp4-76135807","Tac2-77279001"
"Hgf-77867710","Kank2-112644736"
"Sox10-79556652","Tspyl4-67936212"
"Sccpdh-73635772","Ssrp1-74819346"
"Neurod2-75651126","Nol4-76115737"
"Mrc1-74581428","Ngfrap1-1786"
"C030034I22Rik-72472751","Phospho1-71670685"
"Csf2rb2-73992937","Khdrbs3-73769321"
"Fam46a-73520967","Mafb-73771240"
"Magix-74581446","Zfp790-356855"
"BC032203-77867708","Bsdc1-74988722"
"Nol4-76115737","Slc25a25-544516"
"Ampd3-77371807","Phospho1-71670685"
"Fam46a-75042237","Pde11a-75081007"
"Fam46a-75042237","Gabre-75749417"
"Cpt1a-1478","Dbndd2-45668"
"Acvrl1-79488929","Scn1a-77340528"
"Gm12429-77340488","Sox10-79556652"
"Myo10-74743255","Susd2-75146000"
"Cks2-80517357","Mafb-73771240"
"Sap30l-73907495","Synj2bp-77414884"
"Sccpdh-73635772","Synj2bp-77414884"
"Ngb-79556712","Slc35c2-2615"
"Ikzf1-1144","Nr3c1-727"
"Fez2-74272477","Tcerg1-1872"
"Acvrl1-79488929","Fbln2-321208"
"Spock3-70634298","Zfp365-73929873"
"Tmem86b-72472763","Trip4-1924"
"Acan-77869840","Tnfrsf21-71836885"
"Foxd3-1496","Gpr108-1619"
"Blnk-74819692","Hgf-77867710"
"Fam46a-75042237","Zfp790-356855"
"Gng2-67936006","Synj2bp-77414884"
"Col12a1-73817431","Upp1-71836877"
"Bpgm-77414641","Susd2-75146000"
"Cyp26b1-79568022","E130012A19Rik-74363349"
"Fkbp10-2220","Yme1l1-356849"
"Cyp26b1-79568022","Fkbp10-2220"
"Lrrtm3-73931637","Rps5-77868800"
"Ifnar1-588","Reep5-2159"
"Lims2-75145999","Satb1-927"
"Cks2-80517357","Ubl4-75774670"
"AI450948-71250311","Tmeff1-77395095"
"Fam89b-1898","Zbtb20-1143"
"Cks2-80517357","Plxnd1-77340482"
"Hbb-b1-67936011","Rps5-77868800"
"Apbb1-2033","Camk2g-189"
"Galp-79556611","Susd4-75774678"
"Scn1a-77340528","Tm7sf3-77874614"
"Gng7-1734","Trim28-1071"
"Fkbp10-2220","Pde11a-75081007"
"Irx1-2325","Phospho1-71670685"
"Fkbp10-2220","Vav3-76085746"
"Eif3j-321196","Tcf7l1-1424"
"Camk2g-189","Mapk13-2397"
"Ampd3-77371807","Ppp1r1a-75773706"
"Hmgcr-75079789","Nol4-76115737"
"Grb7-112204995","Ngb-79556712"
"Tnfrsf21-71836885","Trip4-1924"
"Auts2-79591687","Rasal1-75774111"
"Ltk-75988666","Sox14-73636036"
"Dbndd2-45668","Grm1-537"
"Gng2-67936006","Ppp1r1a-75773706"
"Gldc-77887886","Otc-74581369"
"Hes7-2289","Phox2b-2480"
"Kcng1-77340480","Myo10-74743255"
"Gng2-67936006","Sox14-73636036"
"Klf7-112202624","Vezt-74819329"
"Neurod2-75651126","Slc22a23-72128754"
"Fzd4-77925095","Slc16a2-73929597"
"BC032203-77867708","Ltk-75988666"
"Gabre-75749417","Sorcs3-75988635"
"BC032203-77867708","Sccpdh-73635772"
"Clcn2-72119656","Rmnd1-77371805"
"Rfx1-77371867","Strada-74819330"
"Hnrpdl-571","Zim2-76135811"
"Clic5-77874610","LOC433740-77340490"
"C030034I22Rik-72472751","Ssrp1-74819346"
"Pip4k2c-799","Pnrc2-2491"
"Hnrpdl-571","Prmt2-577"
"Prss12-71836879","Tmeff1-77395095"
"Ppp1r1a-75773706","Sap30l-73907495"
"Lims2-75145999","Myo10-74743255"
"Fbln7-73929875","Prokr1-74724728"
"Arhgap17-1413","Robo1-73521820"
"Sytl3-2653","Trim28-1071"
"Fbln2-321208","Scn1a-77340528"
"Cd33-75043153","Wnt5a-79556660"
"Gabre-75749417","Pde11a-75081007"
"Adcy4-73512495","Rfxank-67881545"
"Phospho1-71670685","Synj2bp-77414884"
"Kcng1-77340480","Ybx2-75080250"
"Ampd3-77371807","Bsdc1-74988722"
"Pcp2-79490073","Slc31a2-75773700"
"Aldh1a1-72103809","Hgf-77867710"
"Gabre-75749417","Prokr1-74724728"
"Fam46a-75042237","Magix-74581446"
"Ampd3-77371807","Synj2bp-77414884"
"Mmgt1-77414585","Slc22a23-72128754"
"Clcn2-72119656","Csf2rb2-73992937"
"Cpt1c-2117","Tmem218-1960"
"Cyp26b1-79568022","Pde11a-75081007"
"Kcng1-77340480","Susd2-75146000"
"Pcsk1-2470","Spata2l-73817441"
"Ctla4-75079745","Hdc-71016663"
"Ampd3-77371807","Sap30l-73907495"
"Fbln7-73929875","Pde11a-75081007"
"Cd44-79556644","Otc-74581369"
"Msrb2-76135795","Tpbg-76085743"
"Bsdc1-74988722","Irx1-2325"
"Gabre-75749417","Yme1l1-356849"
"Lims2-75145999","Susd2-75146000"
"Mrc1-74581428","Pgf-121099"
"Gabre-75749417","Vav3-76085746"
"Fbln7-73929875","Magix-74581446"
"E130012A19Rik-74363349","Fam46a-75042237"
"Eif3j-321196","Hbb-b1-67936011"
"Phospho1-71670685","Ssrp1-74819346"
"Gm5607-72109337","Robo1-73521820"
"BC032203-77867708","Ppp1r1a-75773706"
"158303","Gabarap-2245"
"Ero1lb-72340145","Ntf5-1393"
"Sox14-73636036","Synj2bp-77414884"
"BC032203-77867708","Gng2-67936006"
"Fbln7-73929875","Sorcs3-75988635"
"Hes1-556","Slc5a1-2621"
"Ppapdc1a-74881927","Tcerg1-1872"
"Ssrp1-74819346","Synj2bp-77414884"
"Lrrc38-72340184","Sox10-79556652"
