Gene1,Gene2
"Pacsin1-74047926","Tmem109-74988461"
"Shb-71670695","Sox10-79556652"
"Caml-79568047","Nova1-73931640"
"Nup93-75774679","Ptgs2-71016664"
"Insrr-71670480","Serinc1-77413696"
"Epha1-74640882","Gabra4-71924402"
"Bmp3-72472749","Znrf1-74581382"
"Ephb3-1492","Gsta4-77278951"
"Alg14-75081004","Ccdc37-74581372"
"Alg14-75081004","Rgs2-73635771"
"Arhgap17-1413","St6gal1-74658241"
"Anxa1-70813897","Nup93-75774679"
"Lipm-74272035","Nkx2-1-74988460"
"Avil-72340234","Emp1-77280421"
"Sh3d19-74425516","Tspyl4-67936212"
"Rarb-75038442","Zscan22-247974"
"Pak6-75084501","Slc7a6-293662"
"Gpr156-74641322","Nova1-73931640"
"Adam33-75147767","Rassf4-74988636"
"9830001H06Rik-77340458","Chat-252"
"Kcnj9-72119580","Nnat-77887874"
"Accn4-71924089","Lgi3-73520996"
"Mchr1-74724669","Palmd-74581442"
"Pip4k2c-799","Xk-71670735"
"Fmnl1-75041433","Ogfrl1-73818756"
"Apc-74881517","Tspyl4-67936212"
"Emp1-77280421","Nkx2-1-74988460"
"BC005537-321201","Grsf1-73994670"
"Fat4-74363356","Grik3-75749418"
"Alk-77371829","Cbfa2t3-75038485"
"Fzd9-73907498","Grik3-75749418"
"Ccdc37-74581372","Vti1a-74641238"
"Lass4-176962","Uaca-74800883"
"Apc-74881517","Tex261-74047919"
"Xk-71670735","Zscan22-247974"
"Rassf4-74988636","Vti1a-74641238"
"Matk-76135823","Ptprk-74743303"
"LOC434368-74819253","Zfp365-73929873"
"Kcnj4-74357568","Uaca-74800883"
"Ccdc85a-75081006","Chat-252"
"Fndc3b-74988759","Gpx2-74819652"
"Mtap1a-76115734","Shb-71670695"
"2010111I01Rik-71717630","Sik3-74881867"
"Fat4-74363356","Serinc1-77413696"
"Kcnj9-72119580","Sik3-74881867"
"Mtap1a-76115734","Rgs2-73635771"
"3830406C13Rik-77414919","Elmod1-71924269"
"Dpysl5-73635770","Mtap-79568030"
"Ccdc37-74581372","Grik3-75749418"
"2010300C02Rik-70743898","Epha1-74640882"
"Arhgap39-73992939","Zscan22-247974"
"Kcnj4-74357568","Pus7-79556638"
"LOC545810-71924492","Syt4-2651"
"Pot1b-73925715","Tfam-67936016"
"Fbxw7-72128750","Rnf152-75043151"
"Adora2a-72109410","Nnat-77887874"
"Nova1-73931640","Pitx2-79556607"
"Rfx4-71249068","Serinc1-77413696"
"Pafah1b1-2460","Tmeff1-77395095"
"Nnat-77887874","Smpd1-77413684"
"Chrm5-75826557","Nup93-75774679"
"Apc-74881517","Insrr-71670480"
"Mylk3-73992942","Sox2ot-74658020"
"Grsf1-73994670","Mylk3-73992942"
"Efcab6-74819465","LOC434236-73615572"
"2010300C02Rik-70743898","Fam124a-72472790"
"Cops7b-356493","Hist1h1b-74272040"
"Kcnj4-74357568","Trem2-67870433"
"Gpr146-77371845","Vti1a-74641238"
"Bend6-77280313","Pak1-73521001"
"Matk-76135823","Mdk-1227"
"Epha1-74640882","Rfx4-71249068"
"Gpr146-77371845","Rfx4-71249068"
"Gabbr2-71247614","Pus7-79556638"
"Fat4-74363356","Rassf4-74988636"
"Aldh5a1-77925007","Lipm-74272035"
"Insrr-71670480","Sik3-74881867"
"Gpr146-77371845","Tmc6-77887880"
"Epha1-74640882","Rasa4-74425552"
"Bok-71064032","Rnf152-75043151"
"Decr1-74425550","Insrr-71670480"
"Ltk-75988666","Myo10-74743255"
"Insrr-71670480","N4bp2-74363354"
"Mdk-1227","Tspyl4-67936212"
"Fam124a-72472790","Gpr146-77371845"
"Fhdc1-73925717","Gpr123-71924056"
"Trem2-67870433","Xk-71670735"
"Rassf4-74988636","Slc35f2-74819683"
"Kank4-76085741","Pde11a-75081007"
"Kcnj9-72119580","Tex261-74047919"
"9830001H06Rik-77340458","Gpr151-74724649"
"Gpnmb-74581367","Vti1a-74641238"
"Gpr156-74641322","Rnf152-75043151"
"Caml-79568047","Ifnar1-588"
"Insrr-71670480","Tbl3-77413694"
"Chat-252","Nnat-77887874"
"LOC545810-71924492","Sox10-79556652"
"Fam114a2-79583813","Fkbp10-2220"
"9830001H06Rik-77340458","Fzd9-73907498"
"Bcar3-77371769","Tm7sf3-77874614"
"Gpr156-74641322","Nkx2-1-74988460"
"Rftn1-71920515","Txnrd1-74988746"
"Chrm5-75826557","Zscan22-247974"
"Adora2a-72109410","Sox10-79556652"
"Pck2-71836804","Sik3-74881867"
"Chrm5-75826557","Slc7a6-293662"
"Pak1-73521001","Rcsd1-75934525"
"Greb1-71924412","Palmd-74581442"
"Bend6-77280313","Slc6a2-73615562"
"Kcnj9-72119580","Tbl3-77413694"
"Lass4-176962","Lgi3-73520996"
"Adora2a-72109410","Fzd9-73907498"
"Nrbp2-75774686","Rps15-75774687"
"Sox2ot-74658020","Stk24-73635773"
"LOC545810-71924492","Slc35f2-74819683"
"Grsf1-73994670","Slc7a6-293662"
"Bmp3-72472749","Shb-71670695"
"Gpr146-77371845","Slc35f2-74819683"
"Accn4-71924089","Lass4-176962"
"Fzd9-73907498","Gabra4-71924402"
"Efcab6-74819465","Trem2-67870433"
"Dlst-321200","Thnsl1-74988343"
"Dbi-71836880","Ptbp1-356857"
"Arhgap39-73992939","Slc7a6-293662"
"Ccdc37-74581372","N4bp2-74363354"
"Nup93-75774679","Pot1b-73925715"
"Grik3-75749418","Rasa4-74425552"
"Ankrd24-80343396","Rer1-323586"
"Pitx2-79556607","Ptp4a1-75079765"
"Sox10-79556652","Tbl3-77413694"
"Rpl11-276067","Stra6-75041492"
"Gpx2-74819652","Rgnef-74272892"
"Arsa-75749415","Vamp1-75651233"
"Grik3-75749418","Mdk-1227"
"1200011I18Rik-77414569","Fat4-74363356"
"Gpr151-74724649","Mtap1a-76115734"
"Kcnj9-72119580","Shb-71670695"
"Serinc1-77413696","Smpd1-77413684"
"Htr5b-71247644","Zfp358-2743"
"Matk-76135823","N4bp2-74363354"
"Lipm-74272035","Vamp1-75651233"
"Fam124a-72472790","Grik3-75749418"
"Gpr151-74724649","Tmc6-77887880"
"Bok-71064032","Wnt1-112644522"
"Emp1-77280421","Rpl11-276067"
"Srsf9-75043152","Wnt1-112644522"
"Calml3-79490064","Il17rd-74958537"
"Alg14-75081004","Smpd1-77413684"
"Gabra4-71924402","Gpnmb-74581367"
"Gpnmb-74581367","Serinc1-77413696"
"2010300C02Rik-70743898","Apc-74881517"
"Inpp4b-72080054","Pak6-75084501"
"Gpr151-74724649","Rfx4-71249068"
"Anxa1-70813897","Zscan22-247974"
"Ptgs2-71016664","Trem2-67870433"
"Rasa4-74425552","Slc35f2-74819683"
"Bmp3-72472749","Epha1-74640882"
"Lass4-176962","Trem2-67870433"
"BC005537-321201","Ptgs2-71016664"
"Anxa1-70813897","Cxcl12-79907936"
"Greb1-71924412","Rpl11-276067"
"Gpnmb-74581367","Tex261-74047919"
"Ccdc85a-75081006","Tspyl4-67936212"
"Rassf4-74988636","Tmem29-75080656"
"Fam124a-72472790","Rfx4-71249068"
"Shb-71670695","Znrf1-74581382"
"Arxes1-45841","Rfx7-1998"
"C030034I22Rik-72472751","Susd2-75146000"
"AW046396-72340236","Aldh5a1-77925007"
"Slc35f2-74819683","Vti1a-74641238"
"Gpr146-77371845","N4bp2-74363354"
"Pot1b-73925715","Sox2ot-74658020"
"Cblb-74988451","Dyrk1a-79907941"
"Anxa1-70813897","Gabbr2-71247614"
"Bend6-77280313","Pdgfd-1910"
"Accn4-71924089","Rcsd1-75934525"
"Bend6-77280313","Grsf1-73994670"
"2010111I01Rik-71717630","Epha1-74640882"
"Fhdc1-73925717","Vti1a-74641238"
"2010111I01Rik-71717630","Ccdc85a-75081006"
"Slc7a6-293662","Trem2-67870433"
"Apc-74881517","Smpd1-77413684"
"Jup-74425547","Zim2-76135811"
"Emp1-77280421","Mchr1-74724669"
"Fzd9-73907498","Kcnj9-72119580"
"Fat4-74363356","Kcnj9-72119580"
"Ebpl-112650122","Spata2l-73817441"
"Fhdc1-73925717","Rfx4-71249068"
"Ptprk-74743303","Sh3d19-74425516"
"Tex261-74047919","Tspyl4-67936212"
"Grsf1-73994670","Kcnj4-74357568"
"Dpysl5-73635770","Pck2-71836804"
"Serinc1-77413696","Sh3d19-74425516"
"LOC434368-74819253","Trem2-67870433"
"Fat4-74363356","Gabra4-71924402"
"Kcnj4-74357568","Zfp365-73929873"
"Kcnj4-74357568","LOC434236-73615572"
"Caml-79568047","Stra6-75041492"
"Pak1-73521001","Zscan22-247974"
"Dok4-1486","Gpr156-74641322"
"Calml3-79490064","L3mbtl4-72472779"
"Tbl3-77413694","Tmem29-75080656"
"Gpnmb-74581367","Ptprk-74743303"
"1200011I18Rik-77414569","Rassf4-74988636"
"Gabbr2-71247614","Inpp4b-72080054"
"Pigq-356489","Sema3f-72007563"
"Ptgs2-71016664","Sox2ot-74658020"
"Decr1-74425550","N4bp2-74363354"
"2010300C02Rik-70743898","Rfx4-71249068"
"Hbb-b2-77371773","Pitrm1-74273117"
"Ptprk-74743303","Tbl3-77413694"
"Fhdc1-73925717","Matk-76135823"
"Gpr123-71924056","Mtap-79568030"
"Mchr1-74724669","Pacsin1-74047926"
"Chat-252","Rassf4-74988636"
"Nnat-77887874","Slc35f2-74819683"
"Rassf4-74988636","Znrf1-74581382"
"Grid1-74724739","LOC434368-74819253"
"Erf-2195","Tmem91-75651161"
"Bpgm-77414641","Lims2-75145999"
"Mylk3-73992942","Pak1-73521001"
