Gene1,Gene2
"Cxcl14-74272041","Etfa-74581380"
"Cstf2-2131","Reps2-76135799"
"Otc-74581369","Tspan32-72129242"
"Grid1-74724739","Inpp4b-72080054"
"Ephb1-72077478","LOC545854-73732153"
"Fam120a-75080620","Mrc1-74581428"
"P2rx7-75551477","St6galnac5-73787946"
"Uggt1-74957909","Wdfy2-72109399"
"Pomp-75774685","Rpl8-74749928"
"Ccdc88c-74363346","Cyc1-357103"
"BC005537-321201","Slc6a2-73615562"
"Cish-70634310","Ephb3-1492"
"9630013P03Rik*-77280434","B230362M20Rik-77340460"
"Pdgfd-1910","Sox2ot-74658020"
"B630019K06Rik-74881160","Pmm1-67936010"
"Caml-79568047","Cul4a-75749399"
"Tmem109-74988461","Vamp1-75651233"
"Gabre-75749417","Gng2-67936006"
"Pde11a-75081007","St6galnac5-73787946"
"Cdh13-77869863","Palm3-74958547"
"Camk1d-73992927","Chd7-71836884"
"Camk1d-73992927","Rasgrp4-76135807"
"Col25a1-71924301","Hdc-71016663"
"Pacrg-74743258","Svil-77332748"
"Ddx26b-75988610","Trim3-73732147"
"Gpr156-74641322","Rpl11-276067"
"Decr1-74425550","N4bp2-74363354"
"Ephb3-1492","Hiatl1-77414177"
"Grid1-74724739","Pdgfd-1910"
"B630019K06Rik-74881160","Scd1-71836746"
"Hrh3-73636034","Sema4g-71587856"
"D0H4S114-72472773","Rps4y2-75934917"
"Slc25a25-544516","Spata2l-73817441"
"Fbxw7-72128750","Nova1-73931640"
"Baalc-73520964","Tspan32-72129242"
"Ddit4l-71836878","St8sia3-73929595"
"Pdzd2-74988286","Thsd7a-71924155"
"Rftn1-71920515","Rnf152-75043151"
"Accn4-71924089","Zfp365-73929873"
"9030425E11Rik-71924353","St8sia6-73929596"
"Grin3b-77869800","Ola1-293038"
"Clic5-77874610","Ctsb-67779877"
"Ddx26b-75988610","Svil-77332748"
"Ddx26b-75988610","Kcnh8-70562113"
"Golga7b-76097699","Pdzd2-74988286"
"Baalc-73520964","Etfa-74581380"
"Cebpa-80343361","Npy1r-72103807"
"Chd7-71836884","Ttll6-74363338"
"B4galt5-73635976","C530008M17Rik-75080646"
"Kalrn-73930821","Reps2-76135799"
"Ppapdc1a-74881927","Tacr1-79591721"
"Cxcl14-74272041","Ddx26b-75988610"
"Bend6-77280313","Stk24-73635773"
"Pitx2-79556607","Ptp4a1-75079765"
"Cstf2-2131","Sult1a1-75774114"
"Gng2-67936006","Utp23-71924008"
"Cyc1-357103","Fbln7-73929875"
"Nin-76115736","Rpl11-276067"
"Dtnbp1-75651202","Ttll6-74363338"
"Rps4y2-75934917","Svil-77332748"
"Slc2a6-71670696","Wdfy2-72109399"
"B3galt5-77280578","Gabre-75749417"
"Ctsb-67779877","E130012A19Rik-74363349"
"Sox14-73636036","Tac2-77279001"
"9030425E11Rik-71924353","Pde5a-73931641"
"Fbxw7-72128750","Lipm-74272035"
"2010111I01Rik-71717630","Npepps-844"
"Golga7b-76097699","Zfp358-2743"
"E130012A19Rik-74363349","Trim3-73732147"
"Ero1lb-72340145","Rasgrp1-76115742"
"Chrm5-75826557","Pak6-75084501"
"Rcsd1-75934525","Stk24-73635773"
"Hhip-71358556","Pkia-805"
"Arhgap39-73992939","Filip1-73635796"
"Grid1-74724739","Tmem204-73769320"
