gene1,gene2
"Serpina3n-75043155","Snd1-77869128"
"Rgs4-1569","Ucn3-1091"
"Dgkg-343","Sssca1-79556714"
"Arnt2-71358590","Enox2-70928339"
"Aktip-1355","Per1-791"
"Ipo4-74658174","Otp-2454"
"Nr2f1-720","Vtn-67752116"
"Cck-200","Tecr-544902"
"Arf3-655120","Ramp1-1912"
"Foxi1-2232","Ttll6-74363338"
"Sdc3-71358662","Supt5h-2647"
"Ndufv3-12","Ppp1r1a-75773706"
"Il17rd-74958537","Wnt4-1444"
"Nxf7-75988557","Tacr3-1297"
"Ldlr-1766","Ptgds-851"
"Rasgrp1-76115742","Wnt8a-1115"
"Gli3-1615","Otp-2454"
"Polr1e-75774108","Psmc2-356850"
"Cd44-79556644","Pdlim2-2476"
"D830029A09Rik-72472778","Pdxk-788"
"Chrnb2-2097","Pde9a-785"
"Palmd-74581442","Plcz1-74988296"
"A130014H13Rik-75041574","Sdc3-71358662"
"Col27a1-74272916","Hes6-1504"
"Abcd1-356086","Syt10-79556609"
"Bcl6-75651139","Per1-791"
"Asb6-1599","Rbbp6-170"
"Kcnc4-1756","Scarb1-2551"
"Gdi2-491","Rasgrp1-76115742"
"Clk2-356286","Gphn-1211"
"Kcnh3-74641310","Tsc22d1-1051"
"Alg5-75774105","Nr3c2-730"
"Dad1-74819345","Lrrtm3-73931637"
"Hmga1-2295","Svil-77332748"
"Bsg-166","Nol4-76115737"
"Rab1-878","Tnfaip8-75038412"
"Bcl6-75651139","Fam89b-1898"
"A130014H13Rik-75041574","Hoxd9-1623"
"Cdkn2c-1683","Tmeff1-1299"
"Rbbp6-170","Tac2-77279001"
"Gm10413-73929885","Papola-1251"
"Acvrl1-79488929","Gdi2-491"
"Cdkn2d-1603","LOC545352-74988758"
"Fgfr2-445","Lhcgr-77869818"
"Hoxd9-1623","Nfia-1239"
"Ano2-71587834","Gpr139-79490116"
"Plg-2485","Rgs19-112203487"
"9430020K01Rik-75988537","Ptgds-851"
"Ano2-71587834","Wdr31-2719"
"Atp5h-77371785","Dok2-2155"
"Rprm-75651169","Sigmar1-112196265"
"Lrrc3-112649047","Tcf4-1044"
"Hpse-77340468","Yipf1-74881163"
"D930028M14Rik-73512190","Dbi-71836880"
"Hunk-2307","Triap1-74658242"
"Cdc27-293466","Stmn2-74819695"
"Hes7-2289","Tm7sf3-77874614"
"Sox2-77280331","Tbck-79567760"
"Dnajb12-2153","Pcdhga12-770"
"Edc3-77414911","Serpinb1b-544327"
"D8Ertd82e-73931630","Rgs19-112203487"
"D0H4S114-72472773","Sfn-2561"
"Lrrtm3-73931637","Nr1h3-112205214"
"Ano1-1472","Gm10413-73929885"
"Polr1e-75774108","Tubb4a-1081"
"Ier2-71836849","Nfix-2423"
"Asb6-1599","Kcnh3-74641310"
"Lmo4-2385","Pot1b-73925715"
"Actr2-67","Cyp26b1-79568022"
"Dbr1-2141","LOC433093-71924514"
"Heg1-74958616","Sar1a-321204"
"Bcl11a-71836837","Hnrpdl-571"
"Klc2-618","Med8-112196048"
"Aktip-1355","Cds2-250"
"Hes3-2287","Palmd-74581442"
"Arhgdia-75774677","Rnf19a-73931414"
"Etv6-1353","Slc26a7-2595"
"Gabrb2-472","Inpp1-67870434"
"Efna3-381","En2-74988733"
"Gnao1-506","Il17rd-74958537"
"Filip1l-74363347","Nxf7-75988557"
"Capsl-75079776","Ccnd2-205"
"Guk1-2279","Trem2-67870433"
"Gpr126-73520982","Slc8a1-73512193"
"Chga-2093","Vim-79907904"
"Pde9a-785","Tac2-77279001"
"Ciao1-2051","Mapk14-2399"
"Efna1-1347","Sec14l1-74988453"
"Bcl6-75651139","Scarb1-2551"
"D8Ertd82e-73931630","Thap1-44"
"Gpr171-1713","Mcm3ap-665"
"LOC545352-74988758","Rgs16-1567"
"Pot1b-73925715","Sod1-994"
"Cdc27-293466","Gli3-1615"
"Per1-791","Slc26a7-2595"
"Crym-73592526","Tecr-544902"
"Ramp1-1912","Sod1-994"
"Cmtm3-2099","Ybx1-743"
"Pafah1b1-2460","Tcerg1-1872"
"Anxa6-77332100","Spata13-73997152"
"Cd33-75043153","Nr1d1-1243"
"Gm10413-73929885","Gphn-1211"
"Eps8-1705","Slc25a25-544516"
"Phf6-72080044","Slco4a1-2625"
"Ano2-71587834","Grp-1363"
"Gdi2-491","Tm7sf3-77874614"
"Ndufv3-12","Nr3c2-730"
"Kcne3-2337","Ramp1-1912"
"Ano2-71587834","Kcnmb4-72283793"
"Il17rc-2319","Snd1-77869128"
"Clec11a-112195815","Tacr3-1297"
"Cd44-79556644","Cyp4f15-1189"
"Etv6-1353","Sh2b3-1633"
"Nrf1-2438","Zbtb20-1143"
"Ephb6-2191","Slco4a1-2625"
"Hes6-1504","Syt4-2651"
"Lzic-276064","Tubb4a-1081"
"Guk1-2279","Lynx1-655"
"Cyp26b1-79568022","Gpr89-67881554"
"Cdkn2b-1476","Nxph3-356852"
"D8Ertd82e-73931630","Vim-79907904"
"Lrsam1-74583161","Plg-2485"
"D8Ertd82e-73931630","Serpinb8-293668"
"Gpr139-79490116","Syngr3-1860"
"Dmbx1-1484","Npdc1-715"
"Itga3-598","Pfkl-795"
"Cdca7-26","Scube3-74988656"
"Nrtn-741","Ptprm-864"
"Aktip-1355","Fcrls-1896"
"Magi1-73519705","Slc7a6-293662"
"Aldh1l1-1724","Cck-200"
"Abcd1-356086","Nxf7-75988557"
"Kcne3-2337","Slc39a3-2619"
"Cd44-79556644","Dlx5-1450"
"2310046A06Rik-73931408","Sema3c-939"
"C130018E23Rik*-75144623","Olfm1-760"
"Enox2-70928339","ND3-675"
"Slc2a3-1840","Tmem218-1960"
"Ccng1-324210","Nr1h3-112205214"
"Rcsd1-75934525","Sobp-71920521"
"1700037H04Rik-324211","Tbl3-248328"
"Axin2-74819487","Chga-2093"
"Ano2-71587834","Gca-74641159"
"Odz3-752","Slc25a25-544516"
"S100b-79591593","Thbs4-77874596"
"Gng3-1209","Supt5h-2647"
"Ntf5-1393","Srsf9-75043152"
"Dkk4-112647536","Zfp280c-1669"
"Camkk2-70743899","Pot1b-73925715"
"Eps8-1705","Greb1-71924412"
"Crym-73592526","Heg1-74958616"
"Lphn2-1768","Wdr31-2719"
"Lmo2-2383","Slc22a23-72128754"
"Mapk14-2399","Syt12-1291"
"Gpc4-1617","Scube3-74988656"
"Dlx5-1450","Hmgcr-75079789"
"Guk1-2279","Kcnc4-1756"
"Ppp1r3b-75084111","Ptprm-864"
"Creb3l1-112197858","Csk-75651192"
"Polr1e-75774108","Tcf7l1-1424"
"Cldn1-70612723","Slco1a5-67850945"
"Ptprm-864","Tpbg-76085743"
"Nudc-2442","Wnt4-1444"
"Camkk2-70743899","Sox9-1422"
"Kdr-2347","Lrrtm3-73931637"
"Rtn2-909","Tmem47-75081394"
"Slc12a8-1836","Tmeff1-1299"
"9430020K01Rik-75988537","Gng7-1734"
"Pparg-2495","Prrg2-276063"
"Lats2-73931411","Trpc4-1305"
"Gdi2-491","Polr1e-75774108"
"A130014H13Rik-75041574","Hes6-1504"
"Ano1-1472","Hes6-1504"
"Il17rc-2319","Plg-2485"
"Gls-500","Tmem218-1960"
"Olfm1-760","Serpinb1b-544327"
"Ramp1-1912","Scarb1-2551"
"F3-77280341","Gss-74273307"
"Kif5b-2353","Ptcd2-77414563"
"Sh2b3-1633","Syt3-1026"
"B4galt6-2055","Cbfa2t3-75038485"
"Plxdc1-814","Prkcb-72129247"
"Bcl7b-1601","Guk1-2279"
"Impact-594","Nmb-71836874"
"Bcl7b-1601","Slc26a7-2595"
"Cdkn2c-1683","Ppp1r1a-75773706"
"Ccnl2-211","Smpd4-75651226"
"Cdh13-234","Pitx1-199398"
"Spata2l-73817441","Srgap3-316"
"Bdnf-79587720","Pitx2-79556607"
"2610019F03Rik-74724511","Il17rd-74958537"
"Galns-70612726","Ltbp3-76115733"
"Mapre2-659","Sox14-73636036"
"Lman2-73718047","Rcsd1-75934525"
"Atxn1-932","Sema5a-80516967"
"Gng7-1734","Matn4-77371795"
"Fam105a-74819326","Lrrtm3-73931637"
"Foxi1-2232","Oxtr-75081001"
"Bcl6-75651139","Hes6-1504"
"Nrip1-739","Ociad2-75041527"
"Mast4-73929897","Pknox2-76135815"
"Pitx1-199398","Ptpn18-2509"
"Grb10-522","Slc26a7-2595"
"1600021P15Rik-71924290","Ptrf-73521818"
"En2-74988733","Fam195a-1996"
"Gldc-77887886","Odz3-752"
"Cnih2-2109","Palmd-74581442"
"Mylk3-73992942","Otc-74581369"
"Ano2-71587834","E2f1-2171"
"9930013L23Rik-72128775","Serpinb1b-544327"
"Dgkg-343","Tspo-79556668"
"Cdkn1a-2085","Nfia-1239"
