gene1,gene2
"Cks2-80517357","Gabarap-2245"
"Pdgfra-77280309","Syt12-79556632"
"Gdi2-491","Scn5a-73907501"
"Gnai2-2263","Nr4a1-1792"
"Midn-71670739","Syt12-79556632"
"Nr1h3-112205214","Plxnd1-77340482"
"Icosl-1217","Tnni3-1065"
"Gosr2-67855413","Tmx4-74882217"
"Agt-87","Gnai2-2263"
"Lrrtm3-73931637","Syt12-79556632"
"Icosl-1217","Slc27a4-1920"
"Notch3-1788","Pvalb-79556738"
"Adcy7-2017","Rad23b-881"
"Gtf3c2-7","Hmga1-2295"
"Panx2-74581443","Slc35c2-2615"
"Chrna2-75551460","Ptn-2507"
"Cdh3-1337","Gtf3c2-7"
"BC057022-72077480","Cth-75042264"
"Crabp1-1179","Ncdn-684"
"Ap1b1-356859","Gng7-77371857"
"Dnahc11-73520976","Syt12-79556632"
"Chrm4-79591641","Pak7-75988567"
"Cth-75042264","Styk1-71250308"
"Cnp-1175","Gabrb1-2247"
"Ap1b1-356859","Coro1c-75651191"
"Chn2-74881162","Chrm4-261"
"Cadm2-73635999","Nr1h3-112205214"
"Ltn1-2747","Rad23b-881"
"Fbln2-321208","Notch3-1788"
"Ltn1-2747","Ptrf-73521818"
"Adcy5-79","Ctnnb1-196"
"Icosl-1217","Mllt11-89"
"Adcy7-2017","Pknox1-1401"
"Gabrg1-75551469","Ttn-74047746"
"B3gat2-74658033","Cirh1a-77925143"
"Hepacam-35","Nr4a1-1792"
"Cnp-1175","Hmga1-2295"
"Acvrl1-79488929","Dynlrb1-323592"
"Gabarap-2245","Kcnj15-2339"
"Hepacam-35","Icosl-1217"
"Chrna2-75551460","Dlx3-350"
"Exosc1-2203","Nomo1-1697"
"Ap1b1-356859","Grik3-75749418"
"Pip5k1b-77887888","Ttn-74047746"
"Adcy7-2017","Aktip-1355"
"BC057022-72077480","Ltbp3-76115733"
"Mpp6-73994666","Nog-75084476"
"Dynlrb1-323592","Gm6753-77340486"
"Adipor1-61210","Col16a1-74273122"
"Fgfr1-440","Krtap12-1-1367"
"Cpt1a-1478","Mpp6-73994666"
"Ncdn-684","Rad23b-881"
"Pls3-355886","Scn5a-73907501"
"BC031353-77371767","Pgrmc1-797"
