gene1,gene2
"Fam105a-74819326","Pttg1ip-1956"
"Aif1-75080249","Gxylt2-73931405"
"Pttg1ip-1956","Zfand3-293694"
"LOC66376-293468","Rhobtb3-74583162"
"Cox4i1-73992933","Dpysl4-1345"
"Cox4i1-73992933","Syt2-1023"
"Cox4i1-73992933","Efna5-383"
"Cox4i1-73992933","Tulp4-2699"
"Cox4i1-73992933","Prkcb-72129247"
"Rbm38-2535","Slc35a3-2609"
"Cox4i1-73992933","Rasal2-71670719"
"Arf3-655120","Cox4i1-73992933"
"Acta1-60","Cox4i1-73992933"
"Nlk-76085742","Tmem22-74511956"
"Cox4i1-73992933","Efna3-381"
"Nrgn-736","Ywhaz-1133"
"Cox4i1-73992933","Nkiras2-2429"
"Cox4i1-73992933","Tsc22d4-1464"
"Cox4i1-73992933","Ghitm-1207"
"Cox4i1-73992933","Trim25-1545"
"Adamts1-69","Slc35a3-2609"
"Cdh4-2083","Slc35a3-2609"
"Cdh10-73592529","Ms4a6b-293474"
"Cox4i1-73992933","Mapre2-659"
"Cox4i1-73992933","Dmwd-2151"
"Prkar1b-70616006","Rufy3-73817983"
"Cox4i1-73992933","Taf1d-1317"
"Gxylt2-73931405","Kcnn4-130911"
"Plekha5-70743870","Rad51-293471"
"Cox4i1-73992933","Kcnab2-1754"
"Cox4i1-73992933","Serpina3n-75043155"
"Bcl7b-1601","Cox4i1-73992933"
"Fbxo18-293462","Ybx1-743"
"Cox4i1-73992933","Wwox-72077451"
"Btg1-73718576","Plekha5-70743870"
"Oxct1-77869796","Sp8-74272904"
"Cox4i1-73992933","Syt3-1026"
"Npdc1-715","Ybx1-743"
"Cox4i1-73992933","Lepre1-2371"
"Acsl3-75042266","Chd5-72283806"
"Dbndd2-45668","Pttg1ip-1956"
"Aif1-75080249","Kcnn4-130911"
"Cox4i1-73992933","Cry2-302"
"1500032L24Rik-75651168","Tcerg1l-75041511"
"Cox4i1-73992933","Cx3cl1-2135"
"Fhl1-2218","Rhobtb3-74583162"
"Cox4i1-73992933","Ninj1-71670490"
"Cox4i1-73992933","Ptpn18-2509"
"Cox4i1-73992933","Syt13-1020"
"Cdh13-234","Cox4i1-73992933"
"Cnih2-2109","Cox4i1-73992933"
"Adamts1-69","Cplx1-67752308"
"Cox4i1-73992933","Etv6-1353"
"Slc25a1-2587","Ybx1-743"
"Crlf2-1882","Flrt3-73931404"
"Cox4i1-73992933","Rgs16-1567"
"Agtr1b-74724627","Cox4i1-73992933"
"Celf4-73592527","Ugp2-2705"
"Eef1a1-73817934","Phyhip-544328"
"Cnr2-2111","Tbr1-1041"
"Brd8-1673","Cox4i1-73992933"
"Cox4i1-73992933","Ubxn11-322"
"Anp32a-94","Cox4i1-73992933"
"Cox4i1-73992933","Ryk-2541"
"Cox4i1-73992933","Med24-2675"
"Lhx4-2377","Pttg1ip-1956"
"Slc25a1-2587","Slc35a3-2609"
