gene1,gene2
"Kank2-112644736","Marcksl1-670"
"Tomm20-74819230","Zfp790-356855"
"1500032L24Rik-75651168","Zfp790-356855"
"Hrh3-73636034","Pdzrn3-71836787"
"Ptgds-79567709","Zfp790-356855"
"Bmp7-2065","Sytl3-2653"
"Eif2d-323588","Slc22a23-72128754"
"Mef2d-67810540","Slc25a5-2591"
"Tmem106b-71920509","Ubr3-74988721"
"Barx2-2057","Sytl3-2653"
"Med8-112196048","Tomm20-74819230"
"Ephb1-72077478","Zfp790-356855"
"Il17rb-2317","Spns2-73512500"
"Crispld1-72077456","Sacm1l-74882832"
"Eps8l1-1707","Gmfb-1726"
"Capzb-75080633","Tagln3-75988633"
"Bsg-166","Mrap2-71924480"
"Cep78-322963","Irx2-1752"
"Sacm1l-74882832","Stat5a-77413690"
"Nrsn1-71358557","Usp48-149"
"Lat-2367","Pax9-2466"
"B630019K06Rik-74881160","Rasal2-75147758"
"B3gnt1-77332102","Smarca2-76085747"
"Gmps-1361","Kifc2-614"
"Bmp7-2065","Tomm70a-320"
"Miat-72340194","Sod1-79587726"
"Bmp7-2065","Eps8l1-1707"
"Dyrk1a-79907941","Pogk-71064277"
"Pdk3-2474","Tgfb3-2667"
"Mef2d-67810540","Ywhaq-1130"
"Grk5-77371851","Rasal2-75147758"
"Mageh1-17","Pogk-71064277"
"Eps8l2-74658244","Tomm20-74819230"
"Dyrk1a-79907941","Rasal2-75147758"
"Grin3a-73907499","Rfx7-1998"
"Resp18-71015810","Ubr3-74988721"
"Bsg-166","Nacc2-74641266"
"1500032L24Rik-75651168","Pdcl-324213"
"Mageh1-17","Stat5a-77413690"
"Isl1-596","Sox2-77280331"
"Chrm3-2095","Usp48-149"
"Pvr-119504","Ywhae-2739"
"Arl3-75043143","Got2-76115728"
"Map2k6-73817433","Uqcrb-323595"
"Lrp5-653","Yars-1122"
"Ngfrap1-1786","Wbscr17-1934"
"Slc16a4-2579","Stx1a-2645"
"Stard7-74800953","Thpo-2671"
"Arhgap25-72128789","Bsg-166"
"Acot13-75042252","Plxnb2-1263"
"B630019K06Rik-74881160","Npr1-71670678"
"Nrsn1-71358557","Strn-73521824"
"Fzd1-2239","Slc35b2-2613"
"Acyp2-73930820","Cspg5-73931385"
"Hdc-71016663","Zfp790-356855"
"Plxnb2-1263","Prdx3-70743842"
"C130018E23Rik*-75144623","Ednrb-74750017"
"Ntf5-1393","Rasal2-75147758"
"Leprotl1-2373","Psap-846"
"Hpse-77340468","Nacc2-74641266"
"Hoxd9-1623","Vps18-1325"
"Chst11-73931625","Gca-74641159"
"Fzd1-2239","Ncor1-686"
"Mrap2-71924480","Ywhaz-1133"
"Fnta-2226","Rfx1-895"
"Pogk-71064277","Smarca2-1972"
"Arl3-75043143","Miat-72340194"
"Wnt7a-1936","Ywhaz-1133"
"Eef1b2-75934526","Slc22a23-72128754"
