gene1,gene2
"LOC433258-73931636","Tmem86b-72472763"
"C130096N06Rik-73635978","Prokr1-74724728"
"Alg2-73931383","Synpo-75080644"
"Lass4-176962","Ppapdc1a-74881927"
"Crlf2-1882","Dner-1699"
"Dnajb12-2153","Gatm-1205"
"Sox10-79556652","Trip4-1924"
"Pcsk2-72080025","Vezt-74819329"
"Fez2-74272477","Mlec-73930854"
"Cds2-250","Kat8-2417"
"Cit-75079801","Gng7-77371857"
"Erdr1-378","St8sia2-77925023"
"9630013P03Rik*-77280434","BC032203-77867708"
"LOC433093-71924514","Slc16a2-73929597"
"Kank2-112644736","Slc35a4-112647750"
"Cdkn1b-112204566","Pcp2-79490073"
"Inpp5a-73994713","Mgat5-73931638"
"Il17ra-73520990","Itga11-74882626"
"Atp6v1b2-129","Ugp2-2705"
"Lims2-75145999","Npr1-71670678"
"Gpr173-74724531","Tspyl4-67936212"
"Etv3-1494","Gabre-75749417"
"Hmgcr-75079789","Sorbs1-74425572"
"Ids-73994671","Lhcgr-77869818"
"Matn4-77371795","Robo1-73521820"
"Il17rd-74958537","Slc22a23-72128754"
"Mdfi-112648831","Sowaha-71250306"
"Cdkn1b-112204566","Tcerg1-1872"
"Itga5-74882636","Ssrp1-74819346"
"Ctss-77371797","Tm2d3-77414123"
"Cds2-250","Stat3-2637"
"Gabarap-2245","Lmo4-2385"
"Hmx3-74641309","St6galnac5-73787946"
"Ampd3-77371807","D0H4S114-72472773"
"Agrp-72283799","Celf3-74641324"
"Edc3-77414911","Sox10-79556652"
"Actc1-62","Irak1-2323"
"Gabrr2-79589524","Trip4-1924"
"Fam163b-73520970","Grn-77371839"
"Pmaip1-823","Reep5-2159"
"Gpr139-79490116","Npffr2-70562070"
"Glra4-75551476","Slc18a2-79591703"
"Sorbs1-74425572","Ube2t-276069"
"Htr5b-71247644","Slc39a5-76135744"
"Pitx1-199398","Zdhhc2-72128751"
"Bcar3-77371769","Paip2-77869857"
"Atp6v1c2-74881265","Gabrr2-79589524"
"Otx2-112194935","Wnt5a-79556660"
"Foxa1-77869794","Snhg7-1968"
"Gabrg2-474","Traip-77887842"
"Ankrd6-71247671","Cited1-74641326"
"Scn5a-73907501","Ubl4-75774670"
"Cd1d1-219","Grb10-522"
"Cd44-79556644","Cyp26b1-79568022"
"Tac2-77279001","Yme1l1-356849"
"Accn4-71924089","Ssr2-121097"
"App-106","Pcsk2-72080025"
"Gcgr-1613","Iqcj-74272918"
"Gng2-67936006","Kcna6-74819554"
"Rcsd1-75934525","St6galnac6-74047902"
"Elavl2-72340123","Oprk1-80517217"
"Strn-73521824","Zfyve9-73521827"
"Otof-73788043","Ttll6-74363338"
"Mlec-73930854","Vezt-74819329"
"Ms4a6b-293474","Nr2e3-2434"
"Klhl1-73520995","Mup5-73997144"
"Cyb5-75043146","Sirpa-73512197"
"Dpp4-79568049","Lhcgr-77869818"
"Cd44-79556644","Fam69c-73636086"
"Atp6v1c2-74881265","Tm2d3-77414123"
"Sowaha-71250306","Susd4-75774678"
"Fam114a2-79583813","Sap30l-73907495"
"Kank2-112644736","Nfkbie-2425"
"D0H4S114-72472773","Ssrp1-74819346"
"Matn4-77371795","Plcd3-77414915"
"L1cam-620","Slc9a3r2-74657980"
"Fzd4-77925095","Gm4887-73931418"
"Lrrc38-72340184","Rcn2-73997151"
"Ptn-2507","Tle3-2681"
"Nxph4-73521000","Zfp238-2741"
"Frs3-2234","Tcerg1-1872"
"Ampd3-77371807","Rasal2-75147758"
"Cryzl1-304","Mrc1-74581428"
"Kank2-112644736","Snhg7-1968"
"Heg1-74958616","Rasal2-75147758"
"Ctss-77371797","Klf7-112202624"
"Gng2-67936006","Sorcs3-75988635"
"Morc3-1311","Rtn3-83161"
"Calml3-79490064","Reps2-76135799"
"Ms4a6b-293474","Ndrg2-1237"
"Rasgrp1-76115742","Spata2l-73817441"
"Prokr1-74724728","Vangl1-71670709"
"Hgf-77867710","Ids-73994671"
"Foxb2-1609","Postn-77371799"
"Rasal2-75147758","Satb1-927"
"Aqp3-293692","Mrpl54-74819464"
"Cyp26b1-79568022","Ddx26b-75988610"
"Ccdc37-74581372","Fam65a-75774668"
"B4galnt3-73636090","C230081A13Rik-73931624"
"Csrp2bp-276275","D630014O11Rik-75080645"
"Lhcgr-77869818","Ttc27-74819241"
"Alg2-73931383","Slc29a4-77414149"
"C230081A13Rik-73931624","Cryzl1-304"
"Foxa1-77869794","Ids-73994671"
"Grin2c-75888748","Ngfrap1-1786"
"Pcsk1n-777","Tspyl4-67936212"
"Slc20a1-1571","Syap1-1858"
"B4galnt3-73636090","Gpr173-74724531"
"Atp6v1b2-129","Syt3-1026"
"Rpl8-74749928","Sap30l-73907495"
"Otc-74581369","Rasal2-75147758"
"Ccr1-73718058","Ssrp1-74819346"
"Adcy9-83","St8sia2-77925023"
"Slc35f3-75084156","Vstm2b-77869820"
"Aqp2-112195601","Rps5-77868800"
"Ctps-1185","Klhl24-1982"
"Ccr1-73718058","Hectd1-357092"
"Gng7-77371857","Ogfrl1-73818756"
"Cirh1a-77925143","Tcea1-227534"
"C130096N06Rik-73635978","Cdhr1-72104186"
"Gng7-77371857","Isl1-596"
"Gnaz-1730","Leprel4-2547"
"Fut8-72007749","Pwp2-112645814"
"C230081A13Rik-73931624","Ccdc37-74581372"
"Cryzl1-304","St8sia2-77925023"
"App-106","Pcp2-79490073"
"Cyc1-357103","Inpp5a-73994713"
"Ddit4l-71836878","Inpp5a-73994713"
"Prss12-71836879","Rcsd1-75934525"
"Rpl8-74749928","Setbp1-1532"
"Camk1d-73992927","Npffr2-70562070"
"C030034I22Rik-72472751","Kcna6-74819554"
"Mras-72119592","Synpo-75080644"
"Cdkn1b-112204566","Tmeff1-77395095"
"Acan-77869840","Alg2-73931383"
"Dmbx1-1484","Dnahc11-73520976"
"Il17rd-112647967","Oprd1-112646675"
"Etv3-1494","Lef1-77866900"
"Ciao1-2051","Fbxo18-293462"
