"","gene1","gene2"
"1","Snap47-3","Snap47-3"
"2","Nvl-5","Nvl-5"
"3","Gata2-100","Nvl-5"
"4","Gtf3c2-7","Gtf3c2-7"
"5","Cd1d1-219","Gtf3c2-7"
"6","Dcn-329","Gtf3c2-7"
"7","Sept5-958","Gtf3c2-7"
"8","Tsc22d4-1464","Gtf3c2-7"
"9","Cpt1a-1478","Gtf3c2-7"
"10","Mapre1-2401","Gtf3c2-7"
"11","Nprl2-2701","Gtf3c2-7"
"12","Ltn1-2747","Gtf3c2-7"
"13","Pcdh9-10","Pcdh9-10"
"14","Crabp1-1179","Pcdh9-10"
"15","Ndufv3-12","Ndufv3-12"
"16","Mageh1-17","Mageh1-17"
"17","Mrpl39-673","Mageh1-17"
"18","Ntf5-1393","Mageh1-17"
"19","Smarca2-1972","Mageh1-17"
"20","Slc39a3-2619","Mageh1-17"
"21","Pttg1-293036","Mageh1-17"
"22","Eif2d-323588","Mageh1-17"
"23","Pdcl-324213","Mageh1-17"
"24","Yme1l1-356849","Mageh1-17"
"25","Zfp790-356855","Mageh1-17"
"26","Pmm1-67936010","Mageh1-17"
"27","Gpr18-71015809","Mageh1-17"
"28","Hdc-71016663","Mageh1-17"
"29","Pogk-71064277","Mageh1-17"
"30","Htr5b-71247644","Mageh1-17"
"31","Sema4g-71587856","Mageh1-17"
"32","Npr1-71670678","Mageh1-17"
"33","Ntrk1-71670679","Mageh1-17"
"34","Cdk14-71670684","Mageh1-17"
"35","Scd1-71836746","Mageh1-17"
"36","Pdzrn3-71836787","Mageh1-17"
"37","Chst1-71836872","Mageh1-17"
"38","Thsd7a-71924155","Mageh1-17"
"39","Col25a1-71924301","Mageh1-17"
"40","Crispld1-72077456","Mageh1-17"
"41","Ephb1-72077478","Mageh1-17"
"42","Igsf11-72103820","Mageh1-17"
"43","Slc22a23-72128754","Mageh1-17"
"44","Ero1lb-72340145","Mageh1-17"
"45","Ankrd34c-72472747","Mageh1-17"
"46","Pcdhac1-73512189","Mageh1-17"
"47","Rab3c-73521805","Mageh1-17"
"48","Kctd16-73636009","Mageh1-17"
"49","Ddn-73636031","Mageh1-17"
"50","Hrh3-73636034","Mageh1-17"
"51","LOC545854-73732153","Mageh1-17"
"52","LOC380720-73931422","Mageh1-17"
"53","Pkp2-73997149","Mageh1-17"
"54","Stoml2-74581379","Mageh1-17"
"55","Itgav-74658082","Mageh1-17"
"56","Eps8l2-74658244","Mageh1-17"
"57","Tomm20-74819230","Mageh1-17"
"58","Ndufs8-74819243","Mageh1-17"
"59","Copg2-74819259","Mageh1-17"
"60","Strada-74819330","Mageh1-17"
"61","B630019K06Rik-74881160","Mageh1-17"
"62","Sacm1l-74882832","Mageh1-17"
"63","Slc12a2-74882926","Mageh1-17"
"64","Palm3-74958547","Mageh1-17"
"65","Pdzd2-74988286","Mageh1-17"
"66","Cblb-74988451","Mageh1-17"
"67","1110037F02Rik-74988462","Mageh1-17"
"68","Tnfaip8-75038412","Mageh1-17"
"69","Rasal2-75147758","Mageh1-17"
"70","1500032L24Rik-75651168","Mageh1-17"
"71","Smpd4-75651226","Mageh1-17"
"72","F11r-75773698","Mageh1-17"
"73","Sult1a1-75774114","Mageh1-17"
"74","P2rx3-75888751","Mageh1-17"
"75","Eef1b2-75934526","Mageh1-17"
"76","Pbx3-76085744","Mageh1-17"
"77","Golga7b-76097699","Mageh1-17"
"78","Nol4-76115737","Mageh1-17"
"79","Rasgrp1-76115742","Mageh1-17"
"80","Reps2-76135799","Mageh1-17"
"81","Mxra7-77332080","Mageh1-17"
"82","Grk5-77371851","Mageh1-17"
"83","Rfx1-77371867","Mageh1-17"
"84","Stat5a-77413690","Mageh1-17"
"85","Nfix-77413698","Mageh1-17"
"86","Mmgt1-77414585","Mageh1-17"
"87","Tmem64-77414589","Mageh1-17"
"88","Zfand3-77414923","Mageh1-17"
"89","Vps35-77869144","Mageh1-17"
"90","Cdh13-77869863","Mageh1-17"
"91","Tdrd3-77887882","Mageh1-17"
"92","Ptgds-79567709","Mageh1-17"
"93","Ndrg2-79568051","Mageh1-17"
"94","Dyrk1a-79907941","Mageh1-17"
"95","Sox11-79912528","Mageh1-17"
"96","Galr2-80517343","Mageh1-17"
"97","Otx2-112194935","Mageh1-17"
"98","Med8-112196048","Mageh1-17"
"99","Terf2ip-112196711","Mageh1-17"
"100","Pla2g16-112650769","Mageh1-17"
"101","S1pr5-112651200","Mageh1-17"
"102","Cdca7-26","Cdca7-26"
"103","9130024F11Rik-51","Cdca7-26"
"104","App-106","Cdca7-26"
"105","Prkag2-29","Prkag2-29"
"106","Rpn2-906","Prkag2-29"
"107","Pllp-1880","Prkag2-29"
"108","Dopey2-31","Dopey2-31"
"109","Anln-33","Anln-33"
"110","Mmp15-1383","Anln-33"
"111","Hepacam-35","Hepacam-35"
"112","Lrig1-1371","Hepacam-35"
"113","Setd5-37","Setd5-37"
"114","F2r-1711","Setd5-37"
"115","Slc8a2-74581450","Setd5-37"
"116","Fxyd5-74819694","Setd5-37"
"117","Slc31a2-75773700","Setd5-37"
"118","9430020K01Rik-75988537","Setd5-37"
"119","Hcrtr1-77868713","Setd5-37"
"120","Cnih3-39","Cnih3-39"
"121","Thap1-44","Thap1-44"
"122","Cdca7-26","9130024F11Rik-51"
"123","9130024F11Rik-51","9130024F11Rik-51"
"124","Mansc1-53","Mansc1-53"
"125","Psmd4-2503","Mansc1-53"
"126","Sfn-2561","Mansc1-53"
"127","Pmch-55","Pmch-55"
"128","Rnf13-72109423","Pmch-55"
"129","Nrg1-74743257","Pmch-55"
"130","D11Wsu47e-74819575","Pmch-55"
"131","Dusp6-75650864","Pmch-55"
"132","Prune2-57","Prune2-57"
"133","Insig1-75041453","Prune2-57"
"134","Acta1-60","Acta1-60"
"135","Actc1-62","Actc1-62"
"136","Cd81-226","Actc1-62"
"137","Hspb7-579","Actc1-62"
"138","Nudt9-2444","Actc1-62"
"139","Actr10-64","Actr10-64"
"140","Actr2-67","Actr2-67"
"141","Gabrg2-474","Actr2-67"
"142","Lsamp-625","Actr2-67"
"143","Adamts1-69","Adamts1-69"
"144","9130024F11Rik-71","9130024F11Rik-71"
"145","Adcy2-73","Adcy2-73"
"146","Adcy3-75","Adcy3-75"
"147","Adcy4-77","Adcy4-77"
"148","Adcy5-79","Adcy5-79"
"149","Donson-2157","Adcy5-79"
"150","Rgs14-2529","Adcy5-79"
"151","Stat1-2635","Adcy5-79"
"152","Adcy6-81","Adcy6-81"
"153","Adcy9-83","Adcy9-83"
"154","Agpat3-85","Agpat3-85"
"155","Cds2-250","Agpat3-85"
"156","Slc36a2-1069","Agpat3-85"
"157","Trpc4-1305","Agpat3-85"
"158","Kcnc4-1756","Agpat3-85"
"159","Slc29a1-1838","Agpat3-85"
"160","Ldlrap1-2010","Agpat3-85"
"161","Cnih2-2109","Agpat3-85"
"162","Hoxb13-2299","Agpat3-85"
"163","Leprel4-2547","Agpat3-85"
"164","Sbf1-276264","Agpat3-85"
"165","Adamts16-276267","Agpat3-85"
"166","Cct2-356082","Agpat3-85"
"167","B4galt3-357099","Agpat3-85"
"168","Agt-87","Agt-87"
"169","Mllt11-89","Mllt11-89"
"170","Akap8-91","Akap8-91"
"171","Anp32a-94","Anp32a-94"
"172","Ap2b1-96","Ap2b1-96"
"173","Nvl-5","Gata2-100"
"174","Gata2-100","Gata2-100"
"175","Lrp5-653","Gata2-100"
"176","Psap-846","Gata2-100"
"177","Syt3-1026","Gata2-100"
"178","Efna1-1347","Gata2-100"
"179","Gmps-1361","Gata2-100"
"180","Aph1a-1990","Gata2-100"
"181","Gnat1-2265","Gata2-100"
"182","Il17rb-2317","Gata2-100"
"183","Slc12a3-2573","Gata2-100"
"184","Ywhae-2739","Gata2-100"
"185","Cdca7-26","App-106"
"186","App-106","App-106"
"187","Syt2-1023","App-106"
"188","Aqp4-108","Aqp4-108"
"189","Dcn-329","Aqp4-108"
"190","Fgfr1-440","Aqp4-108"
"191","Ltn1-2747","Aqp4-108"
"192","Arf3-110","Arf3-110"
"193","Arhgap5-113","Arhgap5-113"
"194","Arx-118","Arx-118"
"195","Atp5j-124","Atp5j-124"
"196","Atp6v0a1-126","Atp6v0a1-126"
"197","Atp6v1b2-129","Atp6v1b2-129"
"198","Ndn-688","Atp6v1b2-129"
"199","Avp-131","Avp-131"
"200","Tmem50b-133","Tmem50b-133"
"201","Islr2-142","Islr2-142"
"202","Bace2-143","Bace2-143"
"203","Sh3bgr-1416","Bace2-143"
"204","Acot7-145","Acot7-145"
"205","Usp48-149","Acot7-145"
"206","Bcan-154","Acot7-145"
"207","Bsg-166","Acot7-145"
"208","Ywhaz-1133","Acot7-145"
"209","Papola-1251","Acot7-145"
"210","Plxnb2-1263","Acot7-145"
"211","Pdgfa-1516","Acot7-145"
"212","Pxn-1814","Acot7-145"
"213","Usp16-1886","Acot7-145"
"214","Wnt7a-1936","Acot7-145"
"215","Agap3-2089","Acot7-145"
"216","Chrm3-2095","Acot7-145"
"217","Cx3cl1-2135","Acot7-145"
"218","Fem1a-2212","Acot7-145"
"219","Uqcrb-323595","Acot7-145"
"220","Prdx3-70743842","Acot7-145"
"221","Nrsn1-71358557","Acot7-145"
"222","Rab3ip-71717136","Acot7-145"
"223","Mrap2-71924480","Acot7-145"
"224","Arhgap25-72128789","Acot7-145"
"225","Atp10a-72128790","Acot7-145"
"226","Ralyl-72129250","Acot7-145"
"227","Strn-73521824","Acot7-145"
"228","Map2k6-73817433","Acot7-145"
"229","Gckr-74274683","Acot7-145"
"230","Epn3-74357584","Acot7-145"
"231","Nacc2-74641266","Acot7-145"
"232","Top1-74957897","Acot7-145"
"233","Acot13-75042252","Acot7-145"
"234","Hpse-77340468","Acot7-145"
"235","Pofut2-147","Pofut2-147"
"236","Acot7-145","Usp48-149"
"237","Usp48-149","Usp48-149"
"238","Bcan-154","Usp48-149"
"239","Bsg-166","Usp48-149"
"240","Ywhaz-1133","Usp48-149"
"241","Papola-1251","Usp48-149"
"242","Plxnb2-1263","Usp48-149"
"243","Pdgfa-1516","Usp48-149"
"244","Pxn-1814","Usp48-149"
"245","Usp16-1886","Usp48-149"
"246","Wnt7a-1936","Usp48-149"
"247","Agap3-2089","Usp48-149"
"248","Chrm3-2095","Usp48-149"
"249","Cx3cl1-2135","Usp48-149"
"250","Fem1a-2212","Usp48-149"
"251","Uqcrb-323595","Usp48-149"
"252","Prdx3-70743842","Usp48-149"
"253","Nrsn1-71358557","Usp48-149"
"254","Rab3ip-71717136","Usp48-149"
"255","Mrap2-71924480","Usp48-149"
"256","Arhgap25-72128789","Usp48-149"
"257","Atp10a-72128790","Usp48-149"
"258","Ralyl-72129250","Usp48-149"
"259","Strn-73521824","Usp48-149"
"260","Map2k6-73817433","Usp48-149"
"261","Gckr-74274683","Usp48-149"
"262","Epn3-74357584","Usp48-149"
"263","Nacc2-74641266","Usp48-149"
"264","Top1-74957897","Usp48-149"
"265","Acot13-75042252","Usp48-149"
"266","Hpse-77340468","Usp48-149"
"267","Acot7-145","Bcan-154"
"268","Usp48-149","Bcan-154"
"269","Bcan-154","Bcan-154"
"270","Bsg-166","Bcan-154"
"271","Ywhaz-1133","Bcan-154"
"272","Papola-1251","Bcan-154"
"273","Plxnb2-1263","Bcan-154"
"274","Pdgfa-1516","Bcan-154"
"275","Pxn-1814","Bcan-154"
"276","Usp16-1886","Bcan-154"
"277","Wnt7a-1936","Bcan-154"
"278","Agap3-2089","Bcan-154"
"279","Chrm3-2095","Bcan-154"
"280","Cx3cl1-2135","Bcan-154"
"281","Fem1a-2212","Bcan-154"
"282","Uqcrb-323595","Bcan-154"
"283","Prdx3-70743842","Bcan-154"
"284","Nrsn1-71358557","Bcan-154"
"285","Rab3ip-71717136","Bcan-154"
"286","Mrap2-71924480","Bcan-154"
"287","Arhgap25-72128789","Bcan-154"
"288","Atp10a-72128790","Bcan-154"
"289","Ralyl-72129250","Bcan-154"
"290","Strn-73521824","Bcan-154"
"291","Map2k6-73817433","Bcan-154"
"292","Gckr-74274683","Bcan-154"
"293","Epn3-74357584","Bcan-154"
"294","Nacc2-74641266","Bcan-154"
"295","Top1-74957897","Bcan-154"
"296","Acot13-75042252","Bcan-154"
"297","Hpse-77340468","Bcan-154"
"298","Acot7-145","Bsg-166"
"299","Usp48-149","Bsg-166"
"300","Bcan-154","Bsg-166"
"301","Bsg-166","Bsg-166"
"302","Ywhaz-1133","Bsg-166"
"303","Papola-1251","Bsg-166"
"304","Plxnb2-1263","Bsg-166"
"305","Pdgfa-1516","Bsg-166"
"306","Pxn-1814","Bsg-166"
"307","Usp16-1886","Bsg-166"
"308","Wnt7a-1936","Bsg-166"
"309","Agap3-2089","Bsg-166"
"310","Chrm3-2095","Bsg-166"
"311","Cx3cl1-2135","Bsg-166"
"312","Fem1a-2212","Bsg-166"
"313","Uqcrb-323595","Bsg-166"
"314","Prdx3-70743842","Bsg-166"
"315","Nrsn1-71358557","Bsg-166"
"316","Rab3ip-71717136","Bsg-166"
"317","Mrap2-71924480","Bsg-166"
"318","Arhgap25-72128789","Bsg-166"
"319","Atp10a-72128790","Bsg-166"
"320","Ralyl-72129250","Bsg-166"
"321","Strn-73521824","Bsg-166"
"322","Map2k6-73817433","Bsg-166"
"323","Gckr-74274683","Bsg-166"
"324","Epn3-74357584","Bsg-166"
"325","Nacc2-74641266","Bsg-166"
"326","Top1-74957897","Bsg-166"
"327","Acot13-75042252","Bsg-166"
"328","Hpse-77340468","Bsg-166"
"329","Btg3-168","Btg3-168"
"330","Fgfr3-448","Btg3-168"
"331","Rbbp6-170","Rbbp6-170"
"332","Nrcam-172","Nrcam-172"
"333","Calm1-179","Calm1-179"
"334","Mup2-680","Calm1-179"
"335","Cdkn2b-1476","Calm1-179"
"336","Calm2-182","Calm2-182"
"337","Calm3-184","Calm3-184"
"338","Camk2g-189","Camk2g-189"
"339","Car8-191","Car8-191"
"340","Ctnnb1-196","Ctnnb1-196"
"341","Cbx5-198","Cbx5-198"
"342","Cck-200","Cck-200"
"343","Cckar-203","Cckar-203"
"344","Ccnd2-205","Ccnd2-205"
