"","gene1","gene2"
"1","Snap47-3","Snap47-3"
"2","Mllt11-89","Snap47-3"
"3","Npdc1-715","Snap47-3"
"4","Stxbp1-1009","Snap47-3"
"5","Nvl-5","Nvl-5"
"6","Gtf3c2-7","Gtf3c2-7"
"7","Dcn-329","Gtf3c2-7"
"8","Hnrpdl-571","Gtf3c2-7"
"9","Nr5a1-734","Gtf3c2-7"
"10","Rad23b-881","Gtf3c2-7"
"11","Tiam1-1059","Gtf3c2-7"
"12","Krtap12-1-1367","Gtf3c2-7"
"13","Arhgap17-1413","Gtf3c2-7"
"14","Wnt8b-1890","Gtf3c2-7"
"15","Clic6-1984","Gtf3c2-7"
"16","Hectd2-2002","Gtf3c2-7"
"17","Ets1-2199","Gtf3c2-7"
"18","Fkbp10-2220","Gtf3c2-7"
"19","Hes7-2289","Gtf3c2-7"
"20","Kif5b-2353","Gtf3c2-7"
"21","Lmo2-2383","Gtf3c2-7"
"22","Slc16a4-2579","Gtf3c2-7"
"23","Slc5a1-2621","Gtf3c2-7"
"24","Tfap2a-2661","Gtf3c2-7"
"25","Adipor1-61210","Gtf3c2-7"
"26","Ccdc136-324214","Gtf3c2-7"
"27","Zfp790-356855","Gtf3c2-7"
"28","Kcnj14-67853369","Gtf3c2-7"
"29","Pcdh9-10","Pcdh9-10"
"30","Ndufv3-12","Ndufv3-12"
"31","Arx-118","Ndufv3-12"
"32","Avp-131","Ndufv3-12"
"33","Cd1d1-219","Ndufv3-12"
"34","Crh-292","Ndufv3-12"
"35","Cxcl12-308","Ndufv3-12"
"36","Entpd1-393","Ndufv3-12"
"37","Fabp3-418","Ndufv3-12"
"38","Grik1-527","Ndufv3-12"
"39","Kcnj6-609","Ndufv3-12"
"40","Lpl-649","Ndufv3-12"
"41","Nrgn-736","Ndufv3-12"
"42","Ntrk2-746","Ndufv3-12"
"43","Rxrg-917","Ndufv3-12"
"44","Slc6a3-978","Ndufv3-12"
"45","Snca-986","Ndufv3-12"
"46","Syt7-1035","Ndufv3-12"
"47","Th-1056","Ndufv3-12"
"48","Uchl1-1088","Ndufv3-12"
"49","Ywhah-1127","Ndufv3-12"
"50","Ywhaq-1130","Ndufv3-12"
"51","Atp5o-1158","Ndufv3-12"
"52","Cbfb-1168","Ndufv3-12"
"53","ORF63-1247","Ndufv3-12"
"54","Shroom1-1315","Ndufv3-12"
"55","Mx1-1385","Ndufv3-12"
"56","Gtf2h4-1458","Ndufv3-12"
"57","Lmx1b-1508","Ndufv3-12"
"58","Mtf2-1510","Ndufv3-12"
"59","Rara-1528","Ndufv3-12"
"60","Fkbp6-2222","Ndufv3-12"
"61","Gnai2-2263","Ndufv3-12"
"62","Gtf2i-2277","Ndufv3-12"
"63","Leprotl1-2373","Ndufv3-12"
"64","Mapre1-2401","Ndufv3-12"
"65","Mtrr-2413","Ndufv3-12"
"66","Pcsk1-2470","Ndufv3-12"
"67","Pnrc1-2501","Ndufv3-12"
"68","Leprel4-2547","Ndufv3-12"
"69","Slc35c2-2615","Ndufv3-12"
"70","Usp21-2711","Ndufv3-12"
"71","Ptprcap-121091","Ndufv3-12"
"72","Ssr2-121097","Ndufv3-12"
"73","Pgf-121099","Ndufv3-12"
"74","Tnfrsf11a-199393","Ndufv3-12"
"75","Mlx-227539","Ndufv3-12"
"76","Prpsap2-293663","Ndufv3-12"
"77","Usp11-355883","Ndufv3-12"
"78","Vps35-355884","Ndufv3-12"
"79","Ncaph2-355887","Ndufv3-12"
"80","Cct2-356082","Ndufv3-12"
"81","Hectd1-357092","Ndufv3-12"
"82","Apln-67850953","Ndufv3-12"
"83","Smpd1-67881552","Ndufv3-12"
"84","Cbln2-70231306","Ndufv3-12"
"85","Phactr4-71924214","Ndufv3-12"
"86","Cacng8-72108823","Ndufv3-12"
"87","Clcn2-72119656","Ndufv3-12"
"88","Gng12-73512194","Ndufv3-12"
"89","Cpne8-73520974","Ndufv3-12"
"90","Crym-73592526","Ndufv3-12"
"91","Lypd6b-73635774","Ndufv3-12"
"92","Filip1-73635796","Ndufv3-12"
"93","Alox8-73718055","Ndufv3-12"
"94","Khdrbs3-73769321","Ndufv3-12"
"95","Spata2l-73817441","Ndufv3-12"
"96","Scn5a-73907501","Ndufv3-12"
"97","Csf2rb2-73992937","Ndufv3-12"
"98","Cyld-73992938","Ndufv3-12"
"99","Kcna1-73994714","Ndufv3-12"
"100","Rplp0-74047927","Ndufv3-12"
"101","Fez2-74272477","Ndufv3-12"
"102","Slc26a10-74273116","Ndufv3-12"
"103","Epn3-74357584","Ndufv3-12"
"104","Gsto1-74511807","Ndufv3-12"
"105","Ccdc37-74581372","Ndufv3-12"
"106","3110082D06Rik-74581400","Ndufv3-12"
"107","Mrc1-74581428","Ndufv3-12"
"108","Hmx3-74641309","Ndufv3-12"
"109","Chst10-74657931","Ndufv3-12"
"110","Col19a1-74658066","Ndufv3-12"
"111","Rapgef4-74749895","Ndufv3-12"
"112","Fn3krp-74819239","Ndufv3-12"
"113","Copg2-74819259","Ndufv3-12"
"114","Uba6-74819486","Ndufv3-12"
"115","Dbnl-74819497","Ndufv3-12"
"116","Iscu-74819565","Ndufv3-12"
"117","Ppapdc1a-74881927","Ndufv3-12"
"118","Zmiz1-74988259","Ndufv3-12"
"119","Hebp1-74988456","Ndufv3-12"
"120","LOC545352-74988758","Ndufv3-12"
"121","Casc1-75038484","Ndufv3-12"
"122","Six3os1-75041431","Ndufv3-12"
"123","Fam196a-75042244","Ndufv3-12"
"124","Dok1-75042248","Ndufv3-12"
"125","Cd33-75043153","Ndufv3-12"
"126","9330182L06Rik-75081005","Ndufv3-12"
"127","Nog-75084476","Ndufv3-12"
"128","Dusp6-75650864","Ndufv3-12"
"129","Bcl6-75651139","Ndufv3-12"
"130","Cul4a-75749399","Ndufv3-12"
"131","Zfp932-75774665","Ndufv3-12"
"132","Susd4-75774678","Ndufv3-12"
"133","Hmox2-75774681","Ndufv3-12"
"134","Nrbp2-75774686","Ndufv3-12"
"135","Rps15-75774687","Ndufv3-12"
"136","Rps4y2-75934917","Ndufv3-12"
"137","Rec8-77278975","Ndufv3-12"
"138","Nmbr-77332086","Ndufv3-12"
"139","Nsun7-77332090","Ndufv3-12"
"140","Mpzl1-77332711","Ndufv3-12"
"141","Hbb-77340464","Ndufv3-12"
"142","C1qc-77340474","Ndufv3-12"
"143","Postn-77371799","Ndufv3-12"
"144","Rmnd1-77371805","Ndufv3-12"
"145","Stat5a-77413690","Ndufv3-12"
"146","Enpp2-77413700","Ndufv3-12"
"147","Pias4-77414895","Ndufv3-12"
"148","Ppp2r3d-77414925","Ndufv3-12"
"149","Hcrtr1-77868713","Ndufv3-12"
"150","Gbx2-77868786","Ndufv3-12"
"151","Thbs4-77874596","Ndufv3-12"
"152","Satb1-79488931","Ndufv3-12"
"153","Gpr139-79490116","Ndufv3-12"
"154","Galp-79556611","Ndufv3-12"
"155","Cuedc2-79556640","Ndufv3-12"
"156","Wnt5a-79556660","Ndufv3-12"
"157","Tspo-79556668","Ndufv3-12"
"158","Ngb-79556712","Ndufv3-12"
"159","Gabrq-79591569","Ndufv3-12"
"160","Chrm4-79591641","Ndufv3-12"
"161","Stub1-79912552","Ndufv3-12"
"162","Ankrd24-80343396","Ndufv3-12"
"163","Pth1r-112202195","Ndufv3-12"
"164","Ptger4-112203056","Ndufv3-12"
"165","Grb7-112204995","Ndufv3-12"
"166","Pwp2-112645814","Ndufv3-12"
"167","Oxt-112648396","Ndufv3-12"
"168","Dhrs3-112650553","Ndufv3-12"
"169","Thbs4-112651416","Ndufv3-12"
"170","Mageh1-17","Mageh1-17"
"171","Cdca7-26","Cdca7-26"
"172","Prkag2-29","Prkag2-29"
"173","Dopey2-31","Dopey2-31"
"174","Anln-33","Anln-33"
"175","Hepacam-35","Hepacam-35"
"176","Setd5-37","Setd5-37"
"177","Cnih3-39","Cnih3-39"
"178","Pls3-355886","Cnih3-39"
"179","Thap1-44","Thap1-44"
"180","9130024F11Rik-51","9130024F11Rik-51"
"181","Mansc1-53","Mansc1-53"
"182","Pmch-55","Pmch-55"
"183","Prune2-57","Prune2-57"
"184","Acta1-60","Acta1-60"
"185","Actc1-62","Actc1-62"
"186","Actr10-64","Actr10-64"
"187","Actr2-67","Actr2-67"
"188","Adamts1-69","Adamts1-69"
"189","Fzd3-466","Adamts1-69"
"190","Lrp5-653","Adamts1-69"
"191","Tle1-1061","Adamts1-69"
"192","Pde1b-1257","Adamts1-69"
"193","Lrig1-1371","Adamts1-69"
"194","Ano1-1472","Adamts1-69"
"195","Aldh1l1-1724","Adamts1-69"
"196","Barx2-2057","Adamts1-69"
"197","Dip2a-2147","Adamts1-69"
"198","Dkk1-2149","Adamts1-69"
"199","Slc35a2-2607","Adamts1-69"
"200","Tat-2657","Adamts1-69"
"201","Tgfb3-2667","Adamts1-69"
"202","Htr5b-71247644","Adamts1-69"
"203","LOC432928-73931424","Adamts1-69"
"204","Ablim3-73992943","Adamts1-69"
"205","Cyfip1-74819653","Adamts1-69"
"206","Gprc5a-77414145","Adamts1-69"
"207","9130024F11Rik-71","9130024F11Rik-71"
"208","Adcy3-75","9130024F11Rik-71"
"209","Adcy2-73","Adcy2-73"
"210","Nfia-1239","Adcy2-73"
"211","Sox9-1422","Adcy2-73"
"212","Tsc2-1431","Adcy2-73"
"213","1500002O20Rik-1954","Adcy2-73"
"214","Tnfrsf1a-2689","Adcy2-73"
"215","9130024F11Rik-71","Adcy3-75"
"216","Adcy3-75","Adcy3-75"
"217","Adcy4-77","Adcy4-77"
"218","Adcy5-79","Adcy5-79"
"219","Adcy6-81","Adcy6-81"
"220","Adcy9-83","Adcy9-83"
"221","Agpat3-85","Agpat3-85"
"222","Agt-87","Agt-87"
"223","Snap47-3","Mllt11-89"
"224","Mllt11-89","Mllt11-89"
"225","Npdc1-715","Mllt11-89"
"226","Akap8-91","Akap8-91"
"227","Anp32a-94","Anp32a-94"
"228","Ap2b1-96","Ap2b1-96"
"229","Gata2-100","Gata2-100"
"230","Bsg-166","Gata2-100"
"231","Ccnd2-205","Gata2-100"
"232","Cd44-224","Gata2-100"
"233","Cdk5-244","Gata2-100"
"234","Cdk5r1-247","Gata2-100"
"235","Chat-252","Gata2-100"
"236","Crhr1-297","Gata2-100"
"237","Tnrc6a-314","Gata2-100"
"238","Dcn-329","Gata2-100"
"239","Dlx1-348","Gata2-100"
"240","Rcan1-362","Gata2-100"
"241","Fbxl5-422","Gata2-100"
"242","Gdi2-491","Gata2-100"
"243","Hes1-556","Gata2-100"
"244","Hnrpdl-571","Gata2-100"
"245","Ifnar1-588","Gata2-100"
"246","Klc2-618","Gata2-100"
"247","Limk1-640","Gata2-100"
"248","Map4k3-657","Gata2-100"
"249","Mef2c-667","Gata2-100"
"250","Mtif2-677","Gata2-100"
"251","Nr4a2-732","Gata2-100"
"252","Nr5a1-734","Gata2-100"
"253","Pdxk-788","Gata2-100"
"254","Pfkl-795","Gata2-100"
"255","Pip4k2c-799","Gata2-100"
"256","Prdx1-836","Gata2-100"
"257","Ptgds-851","Gata2-100"
"258","Satb1-927","Gata2-100"
"259","Sept5-958","Gata2-100"
"260","Sept7-961","Gata2-100"
"261","Syt6-1032","Gata2-100"
"262","Tcf4-1044","Gata2-100"
"263","Trappc10-1063","Gata2-100"
"264","Trim28-1071","Gata2-100"
"265","Tubb4a-1081","Gata2-100"
"266","Txnip-1084","Gata2-100"
"267","Wnt7b-1113","Gata2-100"
"268","Wnt8a-1115","Gata2-100"
"269","Cyp4f15-1189","Gata2-100"
"270","Hook3-1197","Gata2-100"
"271","E4f1-1199","Gata2-100"
"272","Pcnt-1255","Gata2-100"
"273","Plxnb3-1265","Gata2-100"
"274","Krtap12-1-1367","Gata2-100"
"275","Ntf5-1393","Gata2-100"
"276","Plxna3-1403","Gata2-100"
"277","Tcf7l1-1424","Gata2-100"
"278","Dlx5-1450","Gata2-100"
"279","1700086L19Rik-1643","Gata2-100"
"280","Zfp280c-1669","Gata2-100"
"281","Copa-1689","Gata2-100"
"282","Cpe-1691","Gata2-100"
"283","Eps8-1705","Gata2-100"
"284","Gng7-1734","Gata2-100"
"285","Mmaa-1772","Gata2-100"
"286","Setd4-1798","Gata2-100"
"287","Wnt8b-1890","Gata2-100"
"288","Slc4a10-1922","Gata2-100"
"289","Trip4-1924","Gata2-100"
"290","Clic6-1984","Gata2-100"
"291","Dlx6as1-2000","Gata2-100"
"292","Abhd8-2012","Gata2-100"
"293","Ar-2039","Gata2-100"
"294","B4galt6-2055","Gata2-100"
"295","Cer1-2091","Gata2-100"
"296","Dok2-2155","Gata2-100"
"297","Reep5-2159","Gata2-100"
"298","Epha4-2187","Gata2-100"
"299","Fkbp10-2220","Gata2-100"
"300","Gas1-2251","Gata2-100"
"301","Hes7-2289","Gata2-100"
"302","Hs3st1-2305","Gata2-100"
"303","Junb-2335","Gata2-100"
"304","Kif5b-2353","Gata2-100"
"305","Aff4-2363","Gata2-100"
"306","Ldb3-2369","Gata2-100"
"307","Lhx2-2375","Gata2-100"
"308","Lhx8-2379","Gata2-100"
"309","Lmo2-2383","Gata2-100"
"310","Pam16-2391","Gata2-100"
"311","Nfix-2423","Gata2-100"
"312","Pdlim2-2476","Gata2-100"
"313","Phox2b-2480","Gata2-100"
"314","Slc16a4-2579","Gata2-100"
"315","Syt11-2649","Gata2-100"
"316","Sytl3-2653","Gata2-100"
"317","Tfap2a-2661","Gata2-100"
"318","Eif3j-321196","Gata2-100"
"319","1700037H04Rik-324211","Gata2-100"
"320","Dusp1-324212","Gata2-100"
"321","Ccdc136-324214","Gata2-100"
"322","Bzw1-324215","Gata2-100"
"323","Rbm18-356083","Gata2-100"
"324","Abcd1-356086","Gata2-100"
"325","Homer3-356087","Gata2-100"
"326","Tmem33-356284","Gata2-100"
"327","Yme1l1-356849","Gata2-100"
"328","Psmc2-356850","Gata2-100"
"329","Zfp790-356855","Gata2-100"
"330","Slco1a5-67850945","Gata2-100"
"331","E2f4-67855419","Gata2-100"
"332","Hbb-b1-67936011","Gata2-100"
"333","Cst3-69120555","Gata2-100"
"334","Hkdc1-70634299","Gata2-100"
"335","Iyd-71015205","Gata2-100"
"336","Lamb1-71670482","Gata2-100"
"337","Gnal-71670716","Gata2-100"
"338","A4galt-71717165","Gata2-100"
"339","Nmb-71836874","Gata2-100"
"340","Dbi-71836880","Gata2-100"
"341","Tnfrsf21-71836885","Gata2-100"
"342","Zic1-72103843","Gata2-100"
"343","LOC433254-72108822","Gata2-100"
"344","Cadps-72119581","Gata2-100"
"345","Hpca-72129291","Gata2-100"
"346","Lrrn1-72129293","Gata2-100"
"347","Ero1lb-72340145","Gata2-100"
"348","Kctd17-72340180","Gata2-100"
"349","Fam78b-72472750","Gata2-100"
"350","Tmem86b-72472763","Gata2-100"
"351","Slc6a11-72472802","Gata2-100"
"352","Scn3b-73512195","Gata2-100"
"353","Slc41a3-73512484","Gata2-100"
"354","Dnahc11-73520976","Gata2-100"
"355","Klhl1-73520995","Gata2-100"
"356","Nxph4-73521000","Gata2-100"
"357","Ptrf-73521818","Gata2-100"
"358","Dpysl5-73635770","Gata2-100"
"359","Rgs2-73635771","Gata2-100"
"360","Fancd2-73635979","Gata2-100"
"361","Lmod2-73636019","Gata2-100"
"362","Gm261-73636032","Gata2-100"
"363","Tmem215-73636150","Gata2-100"
"364","Dnajc12-73718054","Gata2-100"
"365","Enpep-73769289","Gata2-100"
"366","Ostf1-73907505","Gata2-100"
"367","Lancl3-73925716","Gata2-100"
"368","Fhdc1-73925717","Gata2-100"
"369","Slc6a15-73929609","Gata2-100"
"370","Fbln7-73929875","Gata2-100"
"371","Emb-73930836","Gata2-100"
"372","Slc22a3-73931644","Gata2-100"
"373","Mylk3-73992942","Gata2-100"
"374","Meis3-74047845","Gata2-100"
"375","Slc10a3-74047876","Gata2-100"
"376","Lrmp-74274684","Gata2-100"
"377","Cdc25b-74274686","Gata2-100"
"378","Filip1l-74363347","Gata2-100"
"379","E130012A19Rik-74363349","Gata2-100"
"380","N4bp2-74363354","Gata2-100"
"381","Sun1-74425548","Gata2-100"
"382","Ldhd-74425554","Gata2-100"
"383","Magix-74581446","Gata2-100"
"384","Nkd1-74586666","Gata2-100"
"385","Mm.86217-74641161","Gata2-100"
"386","Gpr151-74724649","Gata2-100"
"387","Myo10-74743255","Gata2-100"
"388","Pcdh8-74750019","Gata2-100"
"389","Col9a2-74750022","Gata2-100"
"390","Krt73-74750042","Gata2-100"
"391","Yjefn3-74750064","Gata2-100"
"392","Egr4-74800827","Gata2-100"
"393","Acacb-74881515","Gata2-100"
"394","F13a1-74882565","Gata2-100"
"395","0610010F05Rik-74957923","Gata2-100"
"396","Mon1b-74958566","Gata2-100"
"397","Alpk2-74988275","Gata2-100"
"398","Ascl5-ps-74988285","Gata2-100"
"399","Mgat2-74988614","Gata2-100"
"400","Rassf4-74988636","Gata2-100"
"401","Grin2b-74988710","Gata2-100"
"402","Cep72-74988742","Gata2-100"
