"","gene1","gene2"
"1","Snap47-3","Snap47-3"
"2","Cabp7-73930835","Snap47-3"
"3","Dach1-74047769","Snap47-3"
"4","Rtl1-74988325","Snap47-3"
"5","Nvl-5","Nvl-5"
"6","Gtf3c2-7","Gtf3c2-7"
"7","Kitl-616","Gtf3c2-7"
"8","Plxdc1-814","Gtf3c2-7"
"9","Pcdh9-10","Pcdh9-10"
"10","Gabrb1-2247","Pcdh9-10"
"11","Ndufv3-12","Ndufv3-12"
"12","Mageh1-17","Mageh1-17"
"13","Rbbp6-170","Mageh1-17"
"14","Mrpl39-673","Mageh1-17"
"15","Scg2-934","Mageh1-17"
"16","Cbfb-1168","Mageh1-17"
"17","Gmps-1361","Mageh1-17"
"18","Ntf5-1393","Mageh1-17"
"19","Folr2-1717","Mageh1-17"
"20","Tbl2-1868","Mageh1-17"
"21","Slc4a10-1922","Mageh1-17"
"22","Smarca2-1972","Mageh1-17"
"23","Ar-2039","Mageh1-17"
"24","Cstf2-2131","Mageh1-17"
"25","Il17rc-2319","Mageh1-17"
"26","Mapk14-2399","Mageh1-17"
"27","Pomc-2493","Mageh1-17"
"28","Slc39a3-2619","Mageh1-17"
"29","Zfp358-2743","Mageh1-17"
"30","Ube2t-276069","Mageh1-17"
"31","Pttg1-293036","Mageh1-17"
"32","Actr1a-321206","Mageh1-17"
"33","Map2k5-323585","Mageh1-17"
"34","Eif2d-323588","Mageh1-17"
"35","Pdcl-324213","Mageh1-17"
"36","Yme1l1-356849","Mageh1-17"
"37","Pmm1-67936010","Mageh1-17"
"38","Gpr18-71015809","Mageh1-17"
"39","Hdc-71016663","Mageh1-17"
"40","Htr5b-71247644","Mageh1-17"
"41","Asb4-71358591","Mageh1-17"
"42","Sema4g-71587856","Mageh1-17"
"43","Cdk14-71670684","Mageh1-17"
"44","Ube3c-71670707","Mageh1-17"
"45","Scd1-71836746","Mageh1-17"
"46","Ina-71836833","Mageh1-17"
"47","Nmb-71836874","Mageh1-17"
"48","Thsd7a-71924155","Mageh1-17"
"49","Col25a1-71924301","Mageh1-17"
"50","Pcsk1-72008494","Mageh1-17"
"51","Ephb1-72077478","Mageh1-17"
"52","Kcnj5-72119660","Mageh1-17"
"53","Spock1-72340122","Mageh1-17"
"54","Ero1lb-72340145","Mageh1-17"
"55","Ankrd34c-72472747","Mageh1-17"
"56","Pcdhac1-73512189","Mageh1-17"
"57","Etv1-73512203","Mageh1-17"
"58","Kctd16-73636009","Mageh1-17"
"59","Hrh3-73636034","Mageh1-17"
"60","LOC545854-73732153","Mageh1-17"
"61","Sap30l-73907495","Mageh1-17"
"62","Grin3a-73907499","Mageh1-17"
"63","Kalrn-73930821","Mageh1-17"
"64","Cd109-73931384","Mageh1-17"
"65","LOC380720-73931422","Mageh1-17"
"66","Pkp2-73997149","Mageh1-17"
"67","Slc26a10-74273116","Mageh1-17"
"68","Stoml2-74581379","Mageh1-17"
"69","Chst14-74657927","Mageh1-17"
"70","Itgav-74658082","Mageh1-17"
"71","Cacng7-74750054","Mageh1-17"
"72","Ndufs8-74819243","Mageh1-17"
"73","Copg2-74819259","Mageh1-17"
"74","B630019K06Rik-74881160","Mageh1-17"
"75","Manea-74882656","Mageh1-17"
"76","Sacm1l-74882832","Mageh1-17"
"77","Slc12a2-74882926","Mageh1-17"
"78","Il17rd-74958537","Mageh1-17"
"79","Palm3-74958547","Mageh1-17"
"80","Pdzd2-74988286","Mageh1-17"
"81","Cblb-74988451","Mageh1-17"
"82","Hebp1-74988456","Mageh1-17"
"83","1110037F02Rik-74988462","Mageh1-17"
"84","Tnfaip8-75038412","Mageh1-17"
"85","Tcerg1l-75041511","Mageh1-17"
"86","Atp11a-75043137","Mageh1-17"
"87","Ctla4-75079745","Mageh1-17"
"88","Sypl-75233089","Mageh1-17"
"89","Napb-75651234","Mageh1-17"
"90","Sult1a1-75774114","Mageh1-17"
"91","Arhgdia-75774677","Mageh1-17"
"92","P2rx3-75888751","Mageh1-17"
"93","Eef1b2-75934526","Mageh1-17"
"94","Slc38a1-75988508","Mageh1-17"
"95","Fdps-76085745","Mageh1-17"
"96","Golga7b-76097699","Mageh1-17"
"97","Nol4-76115737","Mageh1-17"
"98","Rasgrp1-76115742","Mageh1-17"
"99","Reps2-76135799","Mageh1-17"
"100","Mxra7-77332080","Mageh1-17"
"101","Grk5-77371851","Mageh1-17"
"102","Kcne3-77371863","Mageh1-17"
"103","Nfix-77413698","Mageh1-17"
"104","Ak1-77414110","Mageh1-17"
"105","Mmgt1-77414585","Mageh1-17"
"106","Vps35-77869144","Mageh1-17"
"107","Cdh13-77869863","Mageh1-17"
"108","Zfp189-79490078","Mageh1-17"
"109","Ptgds-79567709","Mageh1-17"
"110","Ndrg2-79568051","Mageh1-17"
"111","Gpr101-79591639","Mageh1-17"
"112","Dyrk1a-79907941","Mageh1-17"
"113","Sox11-79912528","Mageh1-17"
"114","Galr2-80517343","Mageh1-17"
"115","Otx2-112194935","Mageh1-17"
"116","Med8-112196048","Mageh1-17"
"117","Terf2ip-112196711","Mageh1-17"
"118","Nr2f2-112646890","Mageh1-17"
"119","Oxt-112648396","Mageh1-17"
"120","Hnrnph2-112649906","Mageh1-17"
"121","Pla2g16-112650769","Mageh1-17"
"122","S1pr5-112651200","Mageh1-17"
"123","Cdca7-26","Cdca7-26"
"124","9130024F11Rik-51","Cdca7-26"
"125","Prkag2-29","Prkag2-29"
"126","Kitl-616","Prkag2-29"
"127","Nbr1-1235","Prkag2-29"
"128","Krt9-71670723","Prkag2-29"
"129","Shisa2-75043156","Prkag2-29"
"130","Dopey2-31","Dopey2-31"
"131","Anln-33","Anln-33"
"132","Gng11-1732","Anln-33"
"133","Foxi1-2232","Anln-33"
"134","Nprl2-2701","Anln-33"
"135","Ccr1-73718058","Anln-33"
"136","Hepacam-35","Hepacam-35"
"137","Gpr165-70560278","Hepacam-35"
"138","Setd5-37","Setd5-37"
"139","Adcy2-73","Setd5-37"
"140","Col18a1-287","Setd5-37"
"141","Fgfr3-448","Setd5-37"
"142","Grm3-539","Setd5-37"
"143","Hgf-558","Setd5-37"
"144","Ifnar1-588","Setd5-37"
"145","Igsf5-592","Setd5-37"
"146","Nr5a1-734","Setd5-37"
"147","Pde1a-782","Setd5-37"
"148","Pmp22-825","Setd5-37"
"149","Prdx1-836","Setd5-37"
"150","Nr1d2-1245","Setd5-37"
"151","Ifngr2-1460","Setd5-37"
"152","Dok4-1486","Setd5-37"
"153","Ephb3-1492","Setd5-37"
"154","Six1-1834","Setd5-37"
"155","Syap1-1858","Setd5-37"
"156","Efha1-1946","Setd5-37"
"157","Axin1-2053","Setd5-37"
"158","Cmtm3-2099","Setd5-37"
"159","Nudt21-2115","Setd5-37"
"160","Epha4-2187","Setd5-37"
"161","Madcam1-2389","Setd5-37"
"162","Mtpn-2411","Setd5-37"
"163","Pax3-2464","Setd5-37"
"164","Slc11a2-2571","Setd5-37"
"165","Slc16a6-2581","Setd5-37"
"166","Tcf19-2659","Setd5-37"
"167","Ywhab-2737","Setd5-37"
"168","1810031K17Rik-227165","Setd5-37"
"169","Rpl11-276067","Setd5-37"
"170","Fbxw2-355882","Setd5-37"
"171","Apln-67850953","Setd5-37"
"172","Kcnj14-67853369","Setd5-37"
"173","Hbb-b1-67936011","Setd5-37"
"174","Tspan11-70436731","Setd5-37"
"175","Cish-70634310","Setd5-37"
"176","Bok-71064032","Setd5-37"
"177","Ryr1-71247657","Setd5-37"
"178","Pou6f2-71249067","Setd5-37"
"179","Dsel-71249745","Setd5-37"
"180","Ier2-71836849","Setd5-37"
"181","Rftn1-71920515","Setd5-37"
