"","gene1","gene2"
"1","Snap47-3","Snap47-3"
"2","Nvl-5","Nvl-5"
"3","Gtf3c2-7","Gtf3c2-7"
"4","Pcdh9-10","Pcdh9-10"
"5","Ndufv3-12","Ndufv3-12"
"6","Gdi2-491","Ndufv3-12"
"7","Grm1-537","Ndufv3-12"
"8","Lix1-643","Ndufv3-12"
"9","Neurod6-698","Ndufv3-12"
"10","Shroom1-1315","Ndufv3-12"
"11","Cbs-1335","Ndufv3-12"
"12","Cpt1a-1478","Ndufv3-12"
"13","Suv39h2-1538","Ndufv3-12"
"14","Ngfrap1-1786","Ndufv3-12"
"15","Tcerg1-1872","Ndufv3-12"
"16","Efha1-1946","Ndufv3-12"
"17","Rfx7-1998","Ndufv3-12"
"18","Ankrd10-2027","Ndufv3-12"
"19","Agap3-2089","Ndufv3-12"
"20","Fbxo2-2210","Ndufv3-12"
"21","Lhx4-2377","Ndufv3-12"
"22","Mtrr-2413","Ndufv3-12"
"23","Traf2-2691","Ndufv3-12"
"24","Ltn1-2747","Ndufv3-12"
"25","Ube2i-45666","Ndufv3-12"
"26","Dbndd2-45668","Ndufv3-12"
"27","Arxes1-45841","Ndufv3-12"
"28","Tnfrsf25-121096","Ndufv3-12"
"29","Prrg2-276063","Ndufv3-12"
"30","Prpsap2-293663","Ndufv3-12"
"31","Zfand3-293694","Ndufv3-12"
"32","Cep78-322963","Ndufv3-12"
"33","Rer1-323586","Ndufv3-12"
"34","Cd47-357100","Ndufv3-12"
"35","E2f4-67855419","Ndufv3-12"
"36","Smpd1-67881552","Ndufv3-12"
"37","Cbln2-70231306","Ndufv3-12"
"38","Dyrk1b-71717583","Ndufv3-12"
"39","Cacng8-72108823","Ndufv3-12"
"40","Gng12-73512194","Ndufv3-12"
"41","BC100451-73615805","Ndufv3-12"
"42","Cd8b1-73732149","Ndufv3-12"
"43","C230081A13Rik-73931624","Ndufv3-12"
"44","Kcna1-73994714","Ndufv3-12"
"45","Slc10a3-74047876","Ndufv3-12"
"46","Sqrdl-74047907","Ndufv3-12"
"47","Rplp0-74047927","Ndufv3-12"
"48","Fez2-74272477","Ndufv3-12"
"49","Epn3-74357584","Ndufv3-12"
"50","Chrna7-74511738","Ndufv3-12"
"51","Col19a1-74658066","Ndufv3-12"
"52","Fam105a-74819326","Ndufv3-12"
"53","Iscu-74819565","Ndufv3-12"
"54","Zmiz1-74988259","Ndufv3-12"
"55","Fam196a-75042244","Ndufv3-12"
"56","Dok1-75042248","Ndufv3-12"
"57","9330182L06Rik-75081005","Ndufv3-12"
"58","Nog-75084476","Ndufv3-12"
"59","Plcb1-75084969","Ndufv3-12"
"60","Hmox2-75774681","Ndufv3-12"
"61","Nrbp2-75774686","Ndufv3-12"
"62","Rps15-75774687","Ndufv3-12"
"63","Sox2-77280331","Ndufv3-12"
"64","Nsun7-77332090","Ndufv3-12"
"65","Mpzl1-77332711","Ndufv3-12"
"66","Hbb-77340464","Ndufv3-12"
"67","C1qc-77340474","Ndufv3-12"
"68","Postn-77371799","Ndufv3-12"
"69","Enpp2-77413700","Ndufv3-12"
"70","Tgfb2-77869842","Ndufv3-12"
"71","Satb1-79488931","Ndufv3-12"
"72","Cuedc2-79556640","Ndufv3-12"
"73","Sssca1-79556714","Ndufv3-12"
"74","Gabrq-79591569","Ndufv3-12"
"75","Magel2-79591571","Ndufv3-12"
"76","Ankrd24-80343396","Ndufv3-12"
"77","Ptger4-112203056","Ndufv3-12"
"78","Mageh1-17","Mageh1-17"
"79","Rbbp6-170","Mageh1-17"
"80","Yme1l1-356849","Mageh1-17"
"81","Zfp790-356855","Mageh1-17"
"82","Sacm1l-74882832","Mageh1-17"
"83","Sypl-75233089","Mageh1-17"
"84","Cdca7-26","Cdca7-26"
"85","Prkag2-29","Prkag2-29"
"86","Dopey2-31","Dopey2-31"
"87","Anln-33","Anln-33"
"88","Hepacam-35","Hepacam-35"
"89","Setd5-37","Setd5-37"
"90","Prdx1-836","Setd5-37"
"91","Nr1d2-1245","Setd5-37"
"92","Aurka-2643","Setd5-37"
"93","Pdha1-323397","Setd5-37"
"94","Dab1-74750263","Setd5-37"
"95","Fxyd5-74819694","Setd5-37"
"96","Hcrtr1-77868713","Setd5-37"
"97","Cnih3-39","Cnih3-39"
"98","Thap1-44","Thap1-44"
"99","9130024F11Rik-51","9130024F11Rik-51"
"100","Mansc1-53","Mansc1-53"
"101","Pmch-55","Pmch-55"
"102","Prune2-57","Prune2-57"
"103","Acta1-60","Acta1-60"
"104","Actc1-62","Actc1-62"
"105","Actr10-64","Actr10-64"
"106","Actr2-67","Actr2-67"
"107","Adamts1-69","Adamts1-69"
"108","9130024F11Rik-71","9130024F11Rik-71"
"109","Igsf5-592","9130024F11Rik-71"
"110","Plxnc1-820","9130024F11Rik-71"
"111","Rbm4-888","9130024F11Rik-71"
"112","Wrb-1117","9130024F11Rik-71"
"113","Rasgrf1-1274","9130024F11Rik-71"
"114","Morc3-1311","9130024F11Rik-71"
"115","Csrp1-2129","9130024F11Rik-71"
"116","Gabrg3-71587875","9130024F11Rik-71"
"117","Adcy2-73","Adcy2-73"
"118","Adcy3-75","Adcy3-75"
"119","Adcy4-77","Adcy4-77"
"120","Adcy5-79","Adcy5-79"
"121","Adcy6-81","Adcy6-81"
"122","Adcy9-83","Adcy9-83"
"123","Agpat3-85","Agpat3-85"
"124","Agt-87","Agt-87"
"125","Mllt11-89","Mllt11-89"
"126","Akap8-91","Akap8-91"
"127","Anp32a-94","Anp32a-94"
"128","Ap2b1-96","Ap2b1-96"
"129","Gata2-100","Gata2-100"
"130","App-106","App-106"
"131","Aqp4-108","Aqp4-108"
"132","Arf3-110","Arf3-110"
"133","Arhgap5-113","Arhgap5-113"
"134","Arx-118","Arx-118"
"135","Atp5j-124","Atp5j-124"
"136","Atp6v0a1-126","Atp6v0a1-126"
"137","Calm1-179","Atp6v0a1-126"
"138","Atp6v1b2-129","Atp6v1b2-129"
"139","Avp-131","Avp-131"
"140","Tmem50b-133","Tmem50b-133"
"141","Islr2-142","Islr2-142"
"142","Bace2-143","Bace2-143"
"143","Acot7-145","Acot7-145"
"144","Pofut2-147","Pofut2-147"
"145","Usp48-149","Usp48-149"
"146","Bcan-154","Bcan-154"
"147","Bsg-166","Bsg-166"
"148","Btg3-168","Btg3-168"
"149","Mageh1-17","Rbbp6-170"
"150","Rbbp6-170","Rbbp6-170"
"151","Yme1l1-356849","Rbbp6-170"
"152","Zfp790-356855","Rbbp6-170"
"153","Sacm1l-74882832","Rbbp6-170"
"154","Sypl-75233089","Rbbp6-170"
"155","Nrcam-172","Nrcam-172"
"156","Atp6v0a1-126","Calm1-179"
"157","Calm1-179","Calm1-179"
"158","Calm2-182","Calm2-182"
"159","Calm3-184","Calm3-184"
"160","Camk2g-189","Camk2g-189"
"161","Cd44-224","Camk2g-189"
"162","Dlx3-350","Camk2g-189"
"163","Nrtn-741","Camk2g-189"
"164","Ogt-758","Camk2g-189"
"165","Homer1-1748","Camk2g-189"
"166","Tsen34-1944","Camk2g-189"
"167","Pttg1ip-1956","Camk2g-189"
"168","Apbb1-2033","Camk2g-189"
"169","Cpt1c-2117","Camk2g-189"
"170","Donson-2157","Camk2g-189"
"171","Erf-2195","Camk2g-189"
"172","Gabarap-2245","Camk2g-189"
"173","158303","Camk2g-189"
"174","Kpna4-2359","Camk2g-189"
"175","Mapk13-2397","Camk2g-189"
"176","Ptn-2507","Camk2g-189"
"177","Mef2a-199392","Camk2g-189"
"178","Slc22a3-73931644","Camk2g-189"
"179","Filip1l-74363347","Camk2g-189"
"180","Sart3-74819691","Camk2g-189"
"181","Cep72-74988742","Camk2g-189"
"182","A130014H13Rik-75041574","Camk2g-189"
"183","Tmem91-75651161","Camk2g-189"
"184","Zfp932-75774665","Camk2g-189"
"185","Gbx2-77868786","Camk2g-189"
"186","Nr1h3-112205214","Camk2g-189"
"187","Car8-191","Car8-191"
"188","Ctnnb1-196","Ctnnb1-196"
"189","Cbx5-198","Cbx5-198"
"190","Cck-200","Cck-200"
"191","Cckar-203","Cckar-203"
"192","Ccnd2-205","Ccnd2-205"
"193","Ccnl2-211","Ccnl2-211"
"194","Cd1d1-219","Cd1d1-219"
"195","Camk2g-189","Cd44-224"
"196","Cd44-224","Cd44-224"
"197","Dlx3-350","Cd44-224"
"198","Nrtn-741","Cd44-224"
"199","Ogt-758","Cd44-224"
"200","Homer1-1748","Cd44-224"
"201","Tsen34-1944","Cd44-224"
"202","Pttg1ip-1956","Cd44-224"
"203","Apbb1-2033","Cd44-224"
"204","Cpt1c-2117","Cd44-224"
"205","Donson-2157","Cd44-224"
"206","Erf-2195","Cd44-224"
"207","Gabarap-2245","Cd44-224"
"208","158303","Cd44-224"
"209","Kpna4-2359","Cd44-224"
"210","Mapk13-2397","Cd44-224"
"211","Ptn-2507","Cd44-224"
"212","Mef2a-199392","Cd44-224"
"213","Slc22a3-73931644","Cd44-224"
"214","Filip1l-74363347","Cd44-224"
"215","Sart3-74819691","Cd44-224"
"216","Cep72-74988742","Cd44-224"
"217","A130014H13Rik-75041574","Cd44-224"
"218","Tmem91-75651161","Cd44-224"
"219","Zfp932-75774665","Cd44-224"
"220","Gbx2-77868786","Cd44-224"
"221","Nr1h3-112205214","Cd44-224"
"222","Cd81-226","Cd81-226"
"223","Cdh11-232","Cdh11-232"
"224","Cdh13-234","Cdh13-234"
"225","Cdh2-236","Cdh2-236"
"226","Cdh6-238","Cdh6-238"
"227","Cdk5-244","Cdk5-244"
"228","Cdk5r1-247","Cdk5r1-247"
"229","Cds2-250","Cds2-250"
"230","Chat-252","Chat-252"
"231","Rab1-878","Chat-252"
"232","Mdk-1227","Chat-252"
"233","Syt4-2651","Chat-252"
"234","Serpinb8-293668","Chat-252"
"235","Tspyl4-67936212","Chat-252"
"236","Slc20a2-70231308","Chat-252"
"237","2010300C02Rik-70743898","Chat-252"
"238","Rfx4-71249068","Chat-252"
"239","Insrr-71670480","Chat-252"
"240","Npnt-71670677","Chat-252"
"241","Shb-71670695","Chat-252"
"242","2010111I01Rik-71717630","Chat-252"
"243","Pck2-71836804","Chat-252"
"244","Gpr123-71924056","Chat-252"
"245","Gabra4-71924402","Chat-252"
"246","LOC545810-71924492","Chat-252"
"247","Adora2a-72109410","Chat-252"
"248","Kcnj9-72119580","Chat-252"
"249","Lrrc38-72340184","Chat-252"
"250","Bmp3-72472749","Chat-252"
"251","Fam124a-72472790","Chat-252"
"252","Dpysl5-73635770","Chat-252"
"253","Rgs2-73635771","Chat-252"
"254","Fzd9-73907498","Chat-252"
"255","Fhdc1-73925717","Chat-252"
"256","Svip-73931622","Chat-252"
"257","Tex261-74047919","Chat-252"
"258","Iqcj-74272918","Chat-252"
"259","N4bp2-74363354","Chat-252"
"260","Fat4-74363356","Chat-252"
"261","Sh3d19-74425516","Chat-252"
"262","Decr1-74425550","Chat-252"
"263","Rasa4-74425552","Chat-252"
"264","Gpnmb-74581367","Chat-252"
"265","Ccdc37-74581372","Chat-252"
"266","Znrf1-74581382","Chat-252"
"267","Epha1-74640882","Chat-252"
"268","Vti1a-74641238","Chat-252"
"269","Kcnh3-74641310","Chat-252"
"270","Gpr151-74724649","Chat-252"
"271","Ptprk-74743303","Chat-252"
"272","Slc35f2-74819683","Chat-252"
"273","Apc-74881517","Chat-252"
"274","Sik3-74881867","Chat-252"
"275","Rassf4-74988636","Chat-252"
"276","Nrm-75042265","Chat-252"
"277","Tmem29-75080656","Chat-252"
"278","Alg14-75081004","Chat-252"
"279","Ccdc85a-75081006","Chat-252"
"280","Adam33-75147767","Chat-252"
"281","Pole4-75651230","Chat-252"
"282","Grik3-75749418","Chat-252"
"283","Mtap1a-76115734","Chat-252"
"284","Matk-76135823","Chat-252"
"285","9830001H06Rik-77340458","Chat-252"
"286","Gpr146-77371845","Chat-252"
"287","Smpd1-77413684","Chat-252"
"288","Tbl3-77413694","Chat-252"
"289","Serinc1-77413696","Chat-252"
"290","1200011I18Rik-77414569","Chat-252"
"291","Ntm-77866868","Chat-252"
"292","Nnat-77887874","Chat-252"
"293","Tmc6-77887880","Chat-252"
"294","Sox10-79556652","Chat-252"
"295","Mtap-79568030","Chat-252"
"296","Cdkn1b-112204566","Chat-252"
"297","Chd2-255","Chd2-255"
"298","Chrd-257","Chrd-257"
"299","Chrm4-261","Chrm4-261"
"300","Crh-292","Chrm4-261"
"301","Ndel1-1514","Chrm4-261"
"302","Usp21-2711","Chrm4-261"
"303","Chst2-266","Chst2-266"
"304","Clock-273","Clock-273"
"305","Clu-275","Clu-275"
"306","Cnih-278","Cnih-278"
"307","Cnr1-283","Cnr1-283"
"308","Col18a1-287","Col18a1-287"
"309","Col6a1-290","Col6a1-290"
"310","Chrm4-261","Crh-292"
"311","Crh-292","Crh-292"
"312","Ndel1-1514","Crh-292"
"313","Usp21-2711","Crh-292"
"314","Crhr1-297","Crhr1-297"
"315","E130016E03Rik-1488","Crhr1-297"
"316","Mx2-1778","Crhr1-297"
"317","Fkbp10-2220","Crhr1-297"
"318","Map2k4-276073","Crhr1-297"
"319","Cyc1-357103","Crhr1-297"
"320","Ctsb-67779877","Crhr1-297"
"321","Kcnh8-70562113","Crhr1-297"
"322","Vangl1-71670709","Crhr1-297"
"323","Ddit4l-71836878","Crhr1-297"
"324","Chd7-71836884","Crhr1-297"
"325","Utp23-71924008","Crhr1-297"
"326","B2m-71924291","Crhr1-297"
"327","9030425E11Rik-71924353","Crhr1-297"
"328","Gabra5-72077453","Crhr1-297"
"329","Adssl1-72104185","Crhr1-297"
"330","Sipa1l2-72118960","Crhr1-297"
"331","Kcnq5-72128745","Crhr1-297"
"332","Tspan32-72129242","Crhr1-297"
"333","D0H4S114-72472773","Crhr1-297"
"334","Dnahc9-72472774","Crhr1-297"
"335","Baalc-73520964","Crhr1-297"
"336","Adamts19-73635973","Crhr1-297"
"337","B4galt5-73635976","Crhr1-297"
"338","C130096N06Rik-73635978","Crhr1-297"
"339","Sox14-73636036","Crhr1-297"
"340","Fam69c-73636086","Crhr1-297"
"341","Trim3-73732147","Crhr1-297"
